Sample ID	Sample Composite Start	Sample Composite End	Sample Received Date	Sample Flow (MGD)	Assay Target 1	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Result (CN/L)
A02-0939	12/07/2022 09:00 AM	12/09/2022 09:00 AM	12/09/2022	NA	Flu A	23788.3134931326	Flu B	0
J01-0190	12/08/2022 07:30 AM	12/09/2022 07:30 AM	12/14/2022	0.222	SARS-CoV-2 N1	2368.0969	SARS-CoV-2 N2	4736.327576
R02-0219	12/09/2022 06:00 AM	12/10/2022 06:00 AM	12/14/2022	2.9421	SARS-CoV-2 N1	7494.727084	SARS-CoV-2 N2	9993.267786
A04-0228	12/09/2022 08:00 AM	12/10/2022 08:00 AM	12/12/2022	0.699	Flu A	114319.431334734	Flu B	0
H01-0423	12/03/2022 08:00 AM	12/04/2022 08:00 AM	12/09/2022	1.9	Flu A	13532.2921536863	Flu B	0
H01-0422	12/02/2022 08:00 AM	12/03/2022 08:00 AM	12/09/2022	1.8	Flu A	13270.9156349301	Flu B	2211.52752405032
J01-0188	12/06/2022 07:30 AM	12/07/2022 07:30 AM	12/14/2022	0.188	SARS-CoV-2 N1	8334.43014	SARS-CoV-2 N2	10418.29593
M03-0160	12/11/2022 11:00 AM	12/12/2022 11:00 AM	12/14/2022	0.252	SARS-CoV-2 N1	124036.0956	SARS-CoV-2 N2	146125.4346
H01-0425	12/05/2022 08:00 AM	12/06/2022 08:00 AM	12/09/2022	1.6	Flu A	56020.3843563795	Flu B	0
B01-0278	12/06/2022 07:00 AM	12/07/2022 07:00 AM	12/14/2022	13.01	Flu A	43943.5820281505	Flu B	0
E01-0215	12/06/2022 08:30 AM	12/07/2022 08:30 AM	12/08/2022	6.927	Flu A	5956.33699558676	Flu B	0
Q01-0199	12/06/2022 08:00 AM	12/07/2022 08:00 AM	12/08/2022	0.623	Flu A	10586.7199413478	Flu B	0
R02-0164	11/29/2022 06:00 AM	11/30/2022 06:00 AM	12/14/2022	2.106	SARS-CoV-2 N1	70584.53433	SARS-CoV-2 N2	70584.53433
M03-0163	12/12/2022 11:00 AM	12/13/2022 11:00 AM	12/14/2022	0.169	SARS-CoV-2 N1	81287.38493	SARS-CoV-2 N2	92137.63028
J01-0192	12/12/2022 07:30 AM	12/13/2022 07:30 AM	12/14/2022	0.14	Flu A	2086.25211613253	Flu B	0
R02-0208	12/08/2022 06:00 AM	12/09/2022 06:00 AM	12/14/2022	3.7151	SARS-CoV-2 N1	2552.560391	SARS-CoV-2 N2	2552.560391
Q01-0198	12/05/2022 08:00 AM	12/06/2022 08:00 AM	12/08/2022	0.355	Flu A	12212.6457095146	Flu B	0
G01-0296	12/02/2022 09:00 AM	12/03/2022 09:00 AM	12/09/2022	0.716	Flu A	108263.535350561	Flu B	0
R01-0204	12/04/2022 09:00 AM	12/05/2022 09:00 AM	12/14/2022	0.171	SARS-CoV-2 N1	1013562.874	SARS-CoV-2 N2	1050716.665
L01-0283	12/09/2022 09:00 AM	12/10/2022 09:00 AM	12/14/2022	0.304	SARS-CoV-2 N1	101288.6252	SARS-CoV-2 N2	101288.6252
D01-0218	12/08/2022 07:30 AM	12/09/2022 07:30 AM	12/13/2022	1.17	Flu A	33113.1353974342	Flu B	0
J01-0189	12/07/2022 07:30 AM	12/08/2022 07:30 AM	12/14/2022	0.299	SARS-CoV-2 N1	0	SARS-CoV-2 N2	2258.846378
N02-0221	11/29/2022 07:00 AM	11/30/2022 07:00 AM	12/09/2022	8.569	Flu A	4025.33269487323	Flu B	0
R01-0207	12/05/2022 09:00 AM	12/06/2022 09:00 AM	12/14/2022	0.171	SARS-CoV-2 N1	1507639.389	SARS-CoV-2 N2	1613947.012
A02-0848	12/07/2022 09:00 AM	12/09/2022 09:00 AM	12/09/2022	NA	Flu A	10534.5646105707	Flu B	0
M03-0172	12/06/2022 11:00 AM	12/07/2022 11:00 AM	12/14/2022	0.21	SARS-CoV-2 N1	136537.1181	SARS-CoV-2 N2	156954.0042
B01-0283	11/27/2022 07:00 AM	11/28/2022 07:00 AM	12/14/2022	10.5	Flu A	81905.2478671075	Flu B	2153.35191227496
A01-0431	12/07/2022 12:00 AM	12/08/2022 12:00 AM	12/09/2022	12.5	Flu A	48501.3362020252	Flu B	0
