Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/uL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Accepted Droplets,Positives,Negatives
A01,,,,,SARS-CoV-2 N2,2.92966103553772,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20633,48,20585
A01,,,,,FLUA,0.182904049754143,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20633,3,20630
A02,,,,,SARS-CoV-2 N2,7.20244932174683,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20667,118,20549
A02,,,,,FLUA,0.182603120803833,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20667,3,20664
A03,,,,,SARS-CoV-2 N2,6.50479316711426,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,18612,96,18516
A03,,,,,FLUA,0.135173991322517,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,18612,2,18610
A04,,,,,SARS-CoV-2 N2,13.2721548080444,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,19722,207,19515
A04,,,,,FLUA,1.27623963356018,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,19722,20,19702
A05,,,,,SARS-CoV-2 N2,0.520875215530396,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,12077,5,12072
A05,,,,,FLUA,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,12077,0,12077
A06,,,,,SARS-CoV-2 N2,1.4481703042984,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,19989,23,19966
A06,,,,,FLUA,0.125861674547195,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,19989,2,19987
A07,,,,,SARS-CoV-2 N2,10.1574306488037,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,21013,169,20844
A07,,,,,FLUA,1.5573525428772,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,21013,26,20987
B01,,,,,SARS-CoV-2 N2,4.51021718978882,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20675,74,20601
B01,,,,,FLUA,0.243382498621941,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20675,4,20671
B02,,,,,SARS-CoV-2 N2,25.7245082855225,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,22032,446,21586
B02,,,,,FLUA,0.970946907997131,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,22032,17,22015
