concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
D01-0409.c1	D01-0409	CB25	C04	
C01-0601.c1	C01-0601	CB25	A03	
A01-0807.c1	A01-0807	CB25	A02	
P01-0094.c1	P01-0094	CB25	B06	
M03-0293.c1	M03-0293	CB25	C03	
L01-0526.c1	L01-0526	CB25	C02	
N02-0427.c1	N02-0427	CB25	D01	
C01-0602.c1	C01-0602	CB25	A04	
K01-0360.c1	K01-0360	CB25	B03	
R01-0370.c1	R01-0370	CB25	B02	
C01-0604.c1	C01-0604	CB25	A06	
H01-0905.c1	H01-0905	CB25	B04	
R02-0392.c1	R02-0392	CB25	C06	
C01-0603.c1	C01-0603	CB25	A05	
C01-0605.c1	C01-0605	CB25	B01	
T01-0253.c1	T01-0253	CB25	C05	
A01-0806.c1	A01-0806	CB25	A01	
M04-0217.c1	M04-0217	CB25	B05	
J01-0393.c1	J01-0393	CB25	D02	
O01-0479.c1	O01-0479	CB25	C01	
A01-0805.c1	A01-0805	CB24	A04	
E01-0402.c1	E01-0402	CB24	C02	
A01-0803.c1	A01-0803	CB24	A02	
A01-0804.c1	A01-0804	CB24	A03	
A02-1326.c1	A02-1326	CB24	B01	
E01-0401.c1	E01-0401	CB24	C01	
E01-0400.c1	E01-0400	CB24	B04	
E01-0399.c1	E01-0399	CB24	B03	
G01-0550.c1	G01-0550	CB24	B02	
A01-0802.c1	A01-0802	CB24	A01	
Q01-0492.c1	Q01-0492	CB26	B06	
A01-0809.c1	A01-0809	CB26	A02	
A01-0810.c1	A01-0810	CB26	A03	
M04-0204.c1	M04-0204	CB26	C04	
A01-0811.c1	A01-0811	CB26	A04	
T01-0254.c1	T01-0254	CB26	D01	
M03-0298.c1	M03-0298	CB26	C02	
H01-0906.c1	H01-0906	CB26	C03	
C01-0607.c1	C01-0607	CB26	A06	
C01-0609.c1	C01-0609	CB26	B02	
C01-0610.c1	C01-0610	CB26	B03	
R02-0391.c1	R02-0391	CB26	C06	
E01-0403.c1	E01-0403	CB26	D05	
O01-0464.c1	O01-0464	CB26	B04	
C01-0608.c1	C01-0608	CB26	B01	
C01-0606.c1	C01-0606	CB26	A05	
A04-0526.c1	A04-0526	CB26	C05	
E01-0404.c1	E01-0404	CB26	D06	
N03-0478.c1	N03-0478	CB26	B05	
P01-0082.c1	P01-0082	CB26	D04	
A01-0808.c1	A01-0808	CB26	A01	
Q01-0493.c1	Q01-0493	CB26	C01	
L01-0550.c1	L01-0550	CB26	D03	
J01-0394.c1	J01-0394	CB26	D02	
