concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
A02-2038.c1	A02-2038	CB262	A01	
A02-4039.c1	A02-4039	CB262	B02	
A02-3041.c1	A02-3041	CB262	C03	
A02-3038.c1	A02-3038	CB262	B01	
A02-4041.c1	A02-4041	CB262	D03	
A02-3039.c1	A02-3039	CB262	A02	
A02-2039.c1	A02-2039	CB262	D01	
A02-2041.c1	A02-2041	CB262	B03	
A02-2040.c1	A02-2040	CB262	C02	
A02-4040.c1	A02-4040	CB262	A03	
A02-3040.c1	A02-3040	CB262	D02	
A02-4038.c1	A02-4038	CB262	C01	
A01-1602.c1	A01-1602	CB261	A01	
M03-1027.c1	M03-1027	CB261	C03	
O01-1017.c1	O01-1017	CB261	C04	
A01-1603.c1	A01-1603	CB261	B01	
R02-1032.c1	R02-1032	CB261	D05	
Q01-1033.c1	Q01-1033	CB261	B05	
C01-1309.c1	C01-1309	CB261	D01	
C01-1312.c1	C01-1312	CB261	C02	
W01-1020.c1	W01-1020	CB261	B06	
K01-1013.c1	K01-1013	CB261	A05	
W02-1005.c1	W02-1005	CB261	A06	
C01-1311.c1	C01-1311	CB261	B02	
H01-1039.c1	H01-1039	CB261	C06	
L01-1024.c1	L01-1024	CB261	D04	
U01-0166.c1	U01-0166	CB261	C05	
C01-1310.c1	C01-1310	CB261	A02	
D01-1029.c1	D01-1029	CB261	D03	
P01-1022.c1	P01-1022	CB261	B03	
M04-1014.c1	M04-1014	CB261	A04	
J01-1033.c1	J01-1033	CB261	A03	
C01-1313.c1	C01-1313	CB261	D02	
N02-1015.c1	N02-1015	CB261	B04	
A01-1604.c1	A01-1604	CB261	C01	
