sample_id	location_id	sample_event	sample_qc	sample_collection_start_datetime	sample_collection_end_datetime	sample_recovered_datetime	sample_collection_by	sample_flow	sample_received_by	sample_received_date	sample_comment
O01-1012	GraftonWWTP-01	Routine Surveillance	Pass	05/24/2026 08:00 AM	05/25/2026 08:00 AM	05/25/2026 08:00 AM		2.89	LS	06/04/2026	
A01-1580	StarCityWWTP-01	Routine Surveillance		05/31/2026 12:00 AM	06/01/2026 12:00 AM	06/01/2026 12:00 AM		9.6	LS	06/04/2026	
A01-1575	StarCityWWTP-01	Routine Surveillance	Pass	05/23/2026 12:00 AM	05/24/2026 12:00 AM	05/24/2026 12:00 AM		13.1	LS	05/28/2026	
M04-1010	FarmingtonWWTP-01	Routine Surveillance	Pass	05/24/2026 08:00 AM	05/25/2026 08:00 AM	05/25/2026 08:00 AM		0.009	LS	05/28/2026	
A02-2004	EvansdaleWVU-01	Upstream Collection		05/27/2026 07:00 AM	05/29/2026 07:00 AM	05/29/2026 08:44 AM	Aidan/Hannah				
A01-1576	StarCityWWTP-01	Routine Surveillance	Pass	05/24/2026 12:00 AM	05/25/2026 12:00 AM	05/25/2026 12:00 AM		16.0	LS	05/28/2026	
C01-1282	WheelingWWTP-01	Routine Surveillance	Pass	05/21/2026 08:00 AM	05/22/2026 08:00 AM	05/22/2026 08:00 AM		8.1	LS	05/28/2026	
C01-1283	WheelingWWTP-01	Routine Surveillance	Pass	05/24/2026 08:00 AM	05/25/2026 08:00 AM	05/25/2026 08:00 AM		12.9	LS	05/28/2026	
D01-1023	CharlesTownWWTP-01	Routine Surveillance	Pass	05/20/2026 06:45 AM	05/21/2026 07:28 AM	05/21/2026 07:28 AM		1.272	LS	05/28/2026	
M03-1021	ManningtonWWTP-01	Routine Surveillance	Pass	05/24/2026 09:00 AM	05/25/2026 09:00 AM	05/25/2026 10:00 AM		0.756	LS	05/28/2026	
W01-1014	SummersvilleWWTP-01	Routine Surveillance	Pass	05/24/2026 10:00 AM	05/25/2026 12:40 PM	05/25/2026 10:00 AM		1.59	LS	05/28/2026	
