concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
O01-1012.c1	O01-1012	CB249	D01	
T01-1003.c1	T01-1003	CB249	C01	
M03-1022.c1	M03-1022	CB249	C02	
H01-1034.c1	H01-1034	CB249	B01	
W01-1015.c1	W01-1015	CB249	A02	
U01-1008.c1	U01-1008	CB249	A01	
N02-0587.c1	N02-0587	CB249	B02	
Q01-1027.c1	Q01-1027	CB246	A01	
F01-1017.c1	F01-1017	CB246	B01	
K01-0483.c1	K01-0483	CB246	C01	
A04-0577.c1	A04-0577	CB248	D04	
O01-1011.c1	O01-1011	CB248	D06	
F01-1018.c1	F01-1018	CB248	D05	
A01-1579.c1	A01-1579	CB248	C01	
C01-1287.c1	C01-1287	CB248	A03	
C01-1285.c1	C01-1285	CB248	C02	
N02-1011.c1	N02-1011	CB248	A06	
A01-1578.c1	A01-1578	CB248	B01	
R02-1028.c1	R02-1028	CB248	A05	
J01-1028.c1	J01-1028	CB248	A04	
C01-1284.c1	C01-1284	CB248	B02	
K01-0484.c1	K01-0484	CB248	D03	
C01-1288.c1	C01-1288	CB248	B03	
C01-1286.c1	C01-1286	CB248	D02	
A04-0579.c1	A04-0579	CB248	C04	
G01-1014.c1	G01-1014	CB248	C05	
L01-1020.c1	L01-1020	CB248	C06	
A01-1580.c1	A01-1580	CB248	D01	
A01-1581.c1	A01-1581	CB248	A02	
W02-1003.c1	W02-1003	CB248	C03	
N03-1008.c1	N03-1008	CB248	B06	
A01-1577.c1	A01-1577	CB248	A01	
Q01-1028.c1	Q01-1028	CB248	B05	
D01-1024.c1	D01-1024	CB248	B04	
A01-1575.c1	A01-1575	CB245	B02	
U01-1007.c1	U01-1007	CB245	B06	
R02-1027.c1	R02-1027	CB245	B05	
A01-1570.c1	A01-1570	CB245	A01	
M03-1021.c1	M03-1021	CB245	B04	
C01-1283.c1	C01-1283	CB245	D03	
A01-1574.c1	A01-1574	CB245	A02	
W01-1014.c1	W01-1014	CB245	A06	
P01-1019.c1	P01-1019	CB245	A05	
A01-1571.c1	A01-1571	CB245	B01	
M04-1010.c1	M04-1010	CB245	A04	
C01-1282.c1	C01-1282	CB245	C03	
C01-1280.c1	C01-1280	CB245	A03	
L01-1019.c1	L01-1019	CB245	C04	
H01-1033.c1	H01-1033	CB245	C05	
A01-1576.c1	A01-1576	CB245	C02	
D01-1023.c1	D01-1023	CB245	C06	
A01-1573.c1	A01-1573	CB245	D01	
G01-1013.c1	G01-1013	CB245	D04	
C01-1281.c1	C01-1281	CB245	B03	
C01-1279.c1	C01-1279	CB245	D02	
J01-1027.c1	J01-1027	CB245	D05	
A01-1572.c1	A01-1572	CB245	C01	
A02-3003.c1	A02-3003	CB247	A02	
A02-3002.c1	A02-3002	CB247	B01	
A02-3007.c1	A02-3007	CB247	A05	
A02-2006.c1	A02-2006	CB247	A04	
A02-3005.c1	A02-3005	CB247	C03	
A02-4003.c1	A02-4003	CB247	B02	
A02-2002.c1	A02-2002	CB247	A01	
A02-4007.c1	A02-4007	CB247	B05	
A02-4005.c1	A02-4005	CB247	D03	
A02-3006.c1	A02-3006	CB247	B04	
A02-2005.c1	A02-2005	CB247	B03	
A02-2007.c1	A02-2007	CB247	D04	
A02-4002.c1	A02-4002	CB247	C01	
A02-3004.c1	A02-3004	CB247	D02	
A02-4004.c1	A02-4004	CB247	A03	
A02-4006.c1	A02-4006	CB247	C04	
A02-2003.c1	A02-2003	CB247	D01	
A02-2004.c1	A02-2004	CB247	C02	
