concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
Q01-0514.c1	Q01-0514	CB63	A02	
U01-0063.c1	U01-0063	CB63	A04	
R02-0473.c1	R02-0473	CB63	A03	
Q01-0505.c1	Q01-0505	CB63	A01	
M03-0383.c1	M03-0383	CB62	D03	
A01-0924.c1	A01-0924	CB62	B01	
O01-0492.c1	O01-0492	CB62	D05	
P01-0115.c1	P01-0115	CB62	D06	
N02-0434.c1	N02-0434	CB62	D04	
L01-0572.c1	L01-0572	CB62	D02	
C01-0671.c1	C01-0671	CB62	B03	
K01-0396.c1	K01-0396	CB62	D01	
C01-0673.c1	C01-0673	CB62	B05	
C01-0674.c1	C01-0674	CB62	B06	
C01-0672.c1	C01-0672	CB62	B04	
A04-0537.c1	A04-0537	CB62	B02	
K01-0378.c1	K01-0378	CB62	C05	
H01-0930.c1	H01-0930	CB62	C03	
D01-0532.c1	D01-0532	CB62	C02	
J01-0408.c1	J01-0408	CB62	C04	
A01-0918.c1	A01-0918	CB62	A01	
K01-0381.c1	K01-0381	CB62	C06	
A01-0921.c1	A01-0921	CB62	A04	
A01-0919.c1	A01-0919	CB62	A02	
A01-0923.c1	A01-0923	CB62	A06	
C01-0675.c1	C01-0675	CB62	C01	
A01-0922.c1	A01-0922	CB62	A05	
A01-0920.c1	A01-0920	CB62	A03	
