extraction_id	concentration_id	extraction_batch_id	extraction_location_in_batch	extraction_location_in_storage	extraction_comment
A01-1224.e1	A01-1224.c1	EB143	A01	NAB 149 F1	
C01-0877.e1	C01-0877.c1	EB143	A06	F6	
E01-0615.e1	E01-0615.c1	EB143	B03	G3	
P01-0176.e1	P01-0176.c1	EB143	C03	H3	
Q01-0609.e1	Q01-0609.c1	EB143	D01	I1	
F01-0130.e1	F01-0130.c1	EB143	D06	I6	
D01-0589.e1	D01-0589.c1	EB143	B05	G5	
M03-0511.e1	M03-0511.c1	EB143	C05	H5	
C01-0876.e1	C01-0876.c1	EB143	A05	F5	
T01-0314.e1	T01-0314.c1	EB143	D03	I3	
H01-0979.e1	H01-0979.c1	EB143	D05	I5	
A01-1226.e1	A01-1226.c1	EB143	A03	F3	
C01-0881.e1	C01-0881.c1	EB143	B01	G1	
F01-0127.e1	F01-0127.c1	EB143	B06	G6	
M04-0413.e1	M04-0413.c1	EB143	C06	H6	
Q01-0608.e1	Q01-0608.c1	EB143	C01	H1	
A01-1227.e1	A01-1227.c1	EB143	A04	F4	
E01-0614.e1	E01-0614.c1	EB143	B02	G2	
K01-0454.e1	K01-0454.c1	EB143	C02	H2	
N03-0583.e1	N03-0583.c1	EB143	D07	I7	
C01-0879.e1	C01-0879.c1	EB143	A08	F8	
J01-0530.e1	J01-0530.c1	EB143	D04	I4	
C01-0878.e1	C01-0878.c1	EB143	A07	F7	
G01-0617.e1	G01-0617.c1	EB143	D08	I8	
N02-0569.e1	N02-0569.c1	EB143	C07	H7	
R02-0537.e1	R02-0537.c1	EB143	B07	G7	
T01-0313.e1	T01-0313.c1	EB143	D02	I2	
U01-0059.e1	U01-0059.c1	EB143	B08	G8	
L01-0622.e1	L01-0622.c1	EB143	C08	H8	
E01-0616.e1	E01-0616.c1	EB143	B04	G4	
A01-1225.e1	A01-1225.c1	EB143	A02	F2	
O01-0316.e1	O01-0316.c1	EB143	C04	H4	
