concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
R02-0537.c1	R02-0537	CB142	C03	
C01-0877.c1	C01-0877	CB142	A06	
A01-1224.c1	A01-1224	CB142	A01	
C01-0881.c1	C01-0881	CB142	B03	
L01-0622.c1	L01-0622	CB142	D06	
P01-0176.c1	P01-0176	CB142	D01	
Q01-0608.c1	Q01-0608	CB142	C05	
E01-0615.c1	E01-0615	CB142	B05	
C01-0876.c1	C01-0876	CB142	A05	
M03-0511.c1	M03-0511	CB142	D03	
N02-0569.c1	N02-0569	CB142	D05	
K01-0454.c1	K01-0454	CB142	C06	
D01-0589.c1	D01-0589	CB142	C01	
A01-1226.c1	A01-1226	CB142	A03	
C01-0878.c1	C01-0878	CB142	B01	
E01-0616.c1	E01-0616	CB142	B06	
F01-0127.c1	F01-0127	CB142	C02	
A01-1227.c1	A01-1227	CB142	A04	
C01-0879.c1	C01-0879	CB142	B02	
M04-0413.c1	M04-0413	CB142	D04	
O01-0316.c1	O01-0316	CB142	D02	
U01-0059.c1	U01-0059	CB142	C04	
E01-0614.c1	E01-0614	CB142	B04	
A01-1225.c1	A01-1225	CB142	A02	
T01-0313.c1	T01-0313	CB143	A02	
N03-0583.c1	N03-0583	CB143	B01	
T01-0314.c1	T01-0314	CB143	A03	
G01-0617.c1	G01-0617	CB143	B02	
H01-0979.c1	H01-0979	CB143	A05	
Q01-0609.c1	Q01-0609	CB143	A01	
J01-0530.c1	J01-0530	CB143	A04	
F01-0130.c1	F01-0130	CB143	A06	
