concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
Q01-0638.c1	Q01-0638	CB192	B02	
N02-0573.c1	N02-0573	CB192	A05	
O01-0584.c1	O01-0584	CB192	B01	
G01-0641.c1	G01-0641	CB192	A02	
L01-0656.c1	L01-0656	CB192	A03	
J01-0557.c1	J01-0557	CB192	A01	
P01-1000.c1	P01-1000	CB192	A06	
M03-0530.c1	M03-0530	CB192	A04	
C01-1016.c1	C01-1016	CB191	B05	
F01-0149.c1	F01-0149	CB191	D05	
A01-1388.c1	A01-1388	CB191	A04	
A01-1392.c1	A01-1392	CB191	A06	
R02-0557.c1	R02-0557	CB191	D04	
A01-1389.c1	A01-1389	CB191	A05	
C01-1019.c1	C01-1019	CB191	C02	
U01-0167.c1	U01-0167	CB191	D06	
C01-1017.c1	C01-1017	CB191	B06	
A02-1397.c1	A02-1397	CB191	B04	
A01-1386.c1	A01-1386	CB191	A02	
H01-1004.c1	H01-1004	CB191	C05	
A02-1395.c1	A02-1395	CB191	B02	
D01-0616.c1	D01-0616	CB191	C06	
A04-0677.c1	A04-0677	CB191	D02	
K01-0552.c1	K01-0552	CB191	C04	
A01-1385.c1	A01-1385	CB191	A01	
C01-1020.c1	C01-1020	CB191	C03	
Q01-0636.c1	Q01-0636	CB191	D01	
A02-1394.c1	A02-1394	CB191	B01	
A01-1387.c1	A01-1387	CB191	A03	
A02-1396.c1	A02-1396	CB191	B03	
C01-1018.c1	C01-1018	CB191	C01	
A04-0682.c1	A04-0682	CB191	D03	
