concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
A02-1348.c1	A02-1348	CB82	A05	
A02-1346.c1	A02-1346	CB82	A03	
A02-1349.c1	A02-1349	CB82	A06	
K01-0461.c1	K01-0461	CB82	A02	
A02-1347.c1	A02-1347	CB82	A04	
D01-0414.c1	D01-0414	CB82	A01	
A01-0984.c1	A01-0984	CB81	A01	
P01-0121.c1	P01-0121	CB81	C01	
C01-0728.c1	C01-0728	CB81	B01	
N02-0359.c1	N02-0359	CB81	D03	
C01-0730.c1	C01-0730	CB81	B03	
M03-0382.c1	M03-0382	CB81	D01	
N03-0456.c1	N03-0456	CB81	C03	
A01-0986.c1	A01-0986	CB81	A03	
O01-0486.c1	O01-0486	CB81	C06	
C01-0727.c1	C01-0727	CB81	A06	
N02-0453.c1	N02-0453	CB81	D02	
Q01-0520.c1	Q01-0520	CB81	D05	
R02-0453.c1	R02-0453	CB81	B06	
J01-0419.c1	J01-0419	CB81	D04	
R02-0452.c1	R02-0452	CB81	B04	
Q01-0521.c1	Q01-0521	CB81	D06	
A01-0985.c1	A01-0985	CB81	A02	
L01-0563.c1	L01-0563	CB81	B05	
H01-0940.c1	H01-0940	CB81	C02	
A04-0559.c1	A04-0559	CB81	C05	
C01-0729.c1	C01-0729	CB81	B02	
A01-0987.c1	A01-0987	CB81	A04	
J01-0420.c1	J01-0420	CB81	C04	
C01-0726.c1	C01-0726	CB81	A05	
