concentration_plate_id	concentration_date	concentration_input_ml	concentration_output_ml	concentration_method	concentration_method_lot_id	concentration_machine	concentration_run_by	concentration_plate_comments
CP158	6/1/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP159	6/2/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP16	9/24/21	10	0.425	Ceres Nanotrap	NT04155	Halcyon	JL	
CP160	6/2/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP161	6/3/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP162	6/8/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP163	6/8/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP164	6/8/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP165	6/10/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP166	6/10/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP167	6/15/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP168	6/14/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP169	6/17/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP17	9/27/21	10	0.425	Ceres Nanotrap	NT04474	Halcyon	JL	
CP170	6/17/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP172	6/22/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP173	6/22/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP174	6/24/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP175	6/24/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP176	6/29/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP177	6/29/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP178	6/29/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP179	6/30/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP18	9/29/21	10	0.425	Ceres Nanotrap	NT04474	Halcyon	JL	
CP180	7/6/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP181	7/6/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP182	7/7/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP183	7/8/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP184	7/8/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP185	7/13/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP186	7/13/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP187	7/13/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP19	10/1/21	10	0.425	Ceres Nanotrap	NT04474	Halcyon	JL	
CP2	8/23/21	10	0.425	Ceres Nanotrap	NT04155	Kookaburra	JL	
CP20	10/5/21	10	0.425	Ceres Nanotrap	NT04474	Halcyon	JL	
CP21	10/7/21	10	0.425	Ceres Nanotrap	NT04474	Halcyon	JL	
CP22	10/8/21	10	0.425	Ceres Nanotrap	NT04474	Halcyon	JL	
CP23	10/11/21	10	0.425	Ceres Nanotrap	NT04474	Halcyon	JL	
CP24	10/13/21	10	0.425	Ceres Nanotrap	NT04474	Halcyon	JL	
