assay_plate_id	assay_date	assay_amplification_method	assay_amplification_method_lot_id	assay_quantification_method	assay_method	assay_method_lot_id	assay_machine	assay_run_by	assay_plate_comment
AP4	8/25/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477036	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP5	8/27/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477036	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP5	8/30/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477036	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP0.4	9/2/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ZPM Lab QX200	JL	
AP0.5	9/3/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ZPM Lab QX200	JL	
AP7	9/9/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477037	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP8	9/20/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477037	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP9	9/24/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	XXXXXX	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP9	9/24/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP10	9/29/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477037	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP11	10/5/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477037	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP12	10/11/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477037	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP13	10/14/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP14	10/20/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP15	11/1/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP16	11/4/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP17	11/8/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	AJ	
AP19	11/17/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP20	11/18/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP21	11/22/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP22	11/29/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP23	12/3/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP24	12/6/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP25	12/9/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP27	12/14/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	XXXXXX	ddPCR	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ZPM Lab QX200	JL	
AP28	12/21/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP30	12/28/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP32	1/12/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	XXXXXX	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP33	1/13/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP35	1/14/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	XXXXXX	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP36	1/19/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	XXXXXX	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP38	1/24/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	XXXXXX	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP39	1/26/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	XXXXXX	ddPCR	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ZPM Lab QX200	JL	
AP40	2/2/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP41	2/7/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	XXXXXX	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP42	2/10/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	XXXXXX	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
