extraction_id	concentration_id	extraction_batch_id	extraction_location_in_batch	extraction_location_in_storage	extraction_comment
M04-0408.e1	M04-0408.c1	EB188	B04	J4	
D01-0615.e1	D01-0615.c1	EB188	B08	J8	
A04-0672.e1	A04-0672.c1	EB188	B03	J3	
J01-0555.e1	J01-0555.c1	EB188	A07	I7	
T01-0403.e1	T01-0403.c1	EB188	B06	J6	
A01-1377.e1	A01-1377.c1	EB188	A05	I5	
A01-1373.e1	A01-1373.c1	EB188	A01	NAB-157 I1	
M03-0537.e1	M03-0537.c1	EB188	B02	J2	
R02-0560.e1	R02-0560.c1	EB188	C01	K1	
A01-1378.e1	A01-1378.c1	EB188	A06	I6	
N03-0608.e1	N03-0608.c1	EB188	C02	K2	
U01-0183.e1	U01-0183.c1	EB188	B05	J5	
L01-0657.e1	L01-0657.c1	EB188	B01	J1	
K01-0556.e1	K01-0556.c1	EB188	B07	J7	
A01-1376.e1	A01-1376.c1	EB188	A04	I4	
A04-0692.e1	A04-0692.c1	EB188	A08	I8	
A01-1375.e1	A01-1375.c1	EB188	A03	I3	
A01-1374.e1	A01-1374.c1	EB188	A02	I2	
G01-0640.e1	G01-0640.c1	EB188	C03	K3	
C01-1007.e1	C01-1007.c1	EB189	A02	L2	
C01-1009.e1	C01-1009.c1	EB189	A04	L4	
C01-1010.e1	C01-1010.c1	EB189	A05	L5	
F01-0147.e1	F01-0147.c1	EB189	A08	L8	
C01-1008.e1	C01-1008.c1	EB189	A03	L3	
C01-1006.e1	C01-1006.c1	EB189	A01	NAB-157 L1	
H01-1003.e1	H01-1003.c1	EB189	A06	L6	
Q01-0635.e1	Q01-0635.c1	EB189	A07	L7	
