extraction_id	concentration_id	extraction_batch_id	extraction_location_in_batch	extraction_location_in_storage	extraction_comment
A01-1505.e1	A01-1505.c1	EB222	A06	J6	
A10-0003.e1	A10-0003.c1	EB222	E01	B1	
A04-0593.e1	A04-0593.c1	EB222	D07	A7	
A01-1500.e1	A01-1500.c1	EB222	A01	NAB163 J1	
J01-1015.e1	J01-1015.c1	EB222	B08	K8	
A01-1506.e1	A01-1506.c1	EB222	A07	J7	
T01-0420.e1	T01-0420.c1	EB222	C05	L5	
C01-1188.e1	C01-1188.c1	EB222	B04	K4	
U01-0179.e1	U01-0179.c1	EB222	C03	L3	
K01-0477.e1	K01-0477.c1	EB222	C02	L2	
O01-1002.e1	O01-1002.c1	EB222	D01	NAB164 A1	
C01-1189.e1	C01-1189.c1	EB222	B05	K5	
P01-1009.e1	P01-1009.c1	EB222	C08	L8	
A04-0594.e1	A04-0594.c1	EB222	D06	A6	
C01-1187.e1	C01-1187.c1	EB222	B03	K3	
W01-1002.e1	W01-1002.c1	EB222	C04	L4	
C01-1186.e1	C01-1186.c1	EB222	B02	K2	
N02-0588.e1	N02-0588.c1	EB222	D03	A3	
M04-0435.e1	M04-0435.c1	EB222	D02	A2	
D01-1013.e1	D01-1013.c1	EB222	C01	L1	
M03-1011.e1	M03-1011.c1	EB222	D05	A5	
G01-1002.e1	G01-1002.c1	EB222	B06	K6	
C01-1185.e1	C01-1185.c1	EB222	B01	K1	
L01-1007.e1	L01-1007.c1	EB222	D04	A4	
H01-1021.e1	H01-1021.c1	EB222	C06	L6	
A04-0592.e1	A04-0592.c1	EB222	D08	A8	
A01-1503.e1	A01-1503.c1	EB222	A04	J4	
N03-0570.e1	N03-0570.c1	EB222	E02	B2	
A01-1507.e1	A01-1507.c1	EB222	A08	J8	
R02-1015.e1	R02-1015.c1	EB222	B07	K7	
A01-1501.e1	A01-1501.c1	EB222	A02	J2	
A01-1502.e1	A01-1502.c1	EB222	A03	J3	
Q01-1014.e1	Q01-1014.c1	EB222	C07	L7	
A01-1504.e1	A01-1504.c1	EB222	A05	J5	
