concentration_batch_id	concentration_date	concentration_input_ml	concentration_machine	concentration_method	concentration_method_lot_id	concentration_output_ml	concentration_run_by	concentration_batch_record_version	concentration_batch_comment
PE67	2/5/21	100	Sorvall	PEG Precipitation		4	MS	1.0.0	
PE68	2/5/21	100	Sorvall	PEG Precipitation		5	MS	1.0.0	
PE69	2/19/21	100	Sorvall	PEG Precipitation		4	AT	1.0.0	
PE7	11/13/20	100	Sorvall	PEG Precipitation		3.8	MS	1.0.0	
PE70	2/22/21	100	Sorvall	PEG Precipitation		4	AT	1.0.0	
PE71	2/22/21	100	Sorvall	PEG Precipitation		5	AT	1.0.0	
PE72	2/22/21	100	Sorvall	PEG Precipitation		5	AT	1.0.0	
PE73	2/22/21	100	Sorvall	PEG Precipitation		4	AT	1.0.0	
PE74	2/22/21	100	Sorvall	PEG Precipitation		6	AT	1.0.0	
PE75	2/22/21	100	Sorvall	PEG Precipitation		5	AT	1.0.0	
PE76	2/22/21	100	Sorvall	PEG Precipitation		5	AT	1.0.0	
PE77	2/22/21	100	Sorvall	PEG Precipitation		4	AT	1.0.0	
PE78	2/22/21	100	Sorvall	PEG Precipitation		4	AT	1.0.0	
PE79	3/12/21	100	Sorvall	PEG Precipitation		5	AHT	1.0.0	
PE8	11/13/20	100	Sorvall	PEG Precipitation		3.4	MS	1.0.0	
PE80	3/12/21	100	Sorvall	PEG Precipitation		5	AHT	1.0.0	
PE81	3/12/21	100	Sorvall	PEG Precipitation		5	AHT	1.0.0	
PE82	3/12/21	100	Sorvall	PEG Precipitation		5	AHT	1.0.0	
PE83	3/12/21	100	Sorvall	PEG Precipitation		5	AHT	1.0.0	
PE84	3/19/21	100	Sorvall	PEG Precipitation		4.2	TD	1.0.0	
PE85	3/19/21	100	Sorvall	PEG Precipitation		3.4	TD	1.0.0	
PE86	3/19/21	100	Sorvall	PEG Precipitation		3.6	TD	1.0.0	
PE87	3/19/21	100	Sorvall	PEG Precipitation		3.6	TD	1.0.0	
PE88	3/19/21	100	Sorvall	PEG Precipitation		3.5	TD	1.0.0	
PE89	3/26/21	100	Sorvall	PEG Precipitation		4	MVS	1.0.0	
PE9	11/13/20	100	Sorvall	PEG Precipitation		4	MS	1.0.0	
PE90	3/26/21	100	Sorvall	PEG Precipitation		9	MVS	1.0.0	
PE91	3/26/21	100	Sorvall	PEG Precipitation		8	MVS	1.0.0	
PE92	3/26/21	100	Sorvall	PEG Precipitation		4	MVS	1.0.0	
PE93	3/26/21	100	Sorvall	PEG Precipitation		7	MVS	1.0.0	
PE94	4/9/21	100	Sorvall	PEG Precipitation		5	MVS	1.0.0	
PE95	4/9/21	100	Sorvall	PEG Precipitation		5	MVS	1.0.0	
PE96	4/9/21	100	Sorvall	PEG Precipitation		6	MVS	1.0.0	
PE97	4/9/21	100	Sorvall	PEG Precipitation		5	MVS	1.0.0	
PE98	4/9/21	100	Sorvall	PEG Precipitation		5	MVS	1.0.0	
PE99	4/9/21	100	Sorvall	PEG Precipitation		5	MVS	1.0.0	
