concentration_batch_id	concentration_date	concentration_input_ml	concentration_machine	concentration_method	concentration_method_lot_id	concentration_output_ml	concentration_run_by	concentration_batch_record_version	concentration_batch_comment
CP142	5/13/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP143	5/13/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP144	5/17/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP145	5/18/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP146	5/18/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP147	5/19/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP148	5/19/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP149	5/20/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP150	5/23/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP151	5/25/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP152	5/25/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP153	5/25/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP154	5/27/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP155	5/27/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP156	5/31/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP157	6/1/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP158	6/1/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP159	6/2/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP16	9/24/21	10	Halcyon	Ceres Nanotrap	NT04155	0.425	JL	1.0.0	
CP160	6/2/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP161	6/3/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP162	6/8/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP163	6/8/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP164	6/8/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP165	6/10/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP166	6/10/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP167	6/15/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP168	6/14/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP169	6/17/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP17	9/27/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL	1.0.0	
CP170	6/17/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP172	6/22/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP173	6/22/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP174	6/24/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP175	6/24/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP176	6/29/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP177	6/29/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP178	6/29/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP179	6/30/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP18	9/29/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL	1.0.0	
CP180	7/6/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP181	7/6/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP182	7/7/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP183	7/8/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP184	7/8/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP185	7/13/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP186	7/13/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP187	7/13/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP19	10/1/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL	1.0.0	
CP2	8/23/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.425	JL	1.0.0	
CP20	10/5/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL	1.0.0	
CP21	10/7/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL	1.0.0	
CP22	10/8/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL	1.0.0	
CP23	10/11/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL	1.0.0	
CP24	10/13/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL	1.0.0	
CP25	10/15/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL	1.0.0	
CP26	10/18/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL	1.0.0	
CP27	10/20/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL	1.0.0	
CP28	10/25/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL	1.0.0	
CP29	10/27/21	10	Kookaburra	Ceres Nanotrap	NT04474	0.425	JL	1.0.0	
CP3	8/24/21	10	Halcyon	Ceres Nanotrap	NT04155	0.425	JL	1.0.0	
CP30	10/28/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL	1.0.0	
CP31	11/2/21	10	Kookaburra	Ceres Nanotrap	NT04474	0.425	JL	1.0.0	
CP32	11/3/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL	1.0.0	
CP33	11/5/21	10	Kookaburra	Ceres Nanotrap	NT04474	0.425	JL	1.0.0	
CP34	11/11/21	10	Kookaburra	Ceres Nanotrap	NT04474	0.425	JL	1.0.0	
CP35	11/15/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	LW	1.0.0	
CP36	11/16/21	10	Kookaburra	Ceres Nanotrap	NT04474	0.425	AJ	1.0.0	
CP37	11/17/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL	1.0.0	
CP38	11/19/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP39	11/22/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP4	8/25/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.425	JL	1.0.0	
CP40	11/29/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP41	11/30/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP42	12/2/21	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	LW	1.0.0	
CP43	12/3/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP44	12/6/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP45	12/8/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP46	12/9/21	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	LW	1.0.0	
CP47	12/10/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP48	12/13/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP49	12/15/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP5	8/27/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.425	JL	1.0.0	
CP50	12/16/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP51	12/17/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP52	12/21/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP53	12/22/21	10	Halcyon	Ceres Nanotrap	NT04774	0.475	AJ	1.0.0	
CP54	1/3/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	JL	1.0.0	
CP55	1/4/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP56	1/6/22	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP57	1/10/22	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP58	1/11/22	10	Halcyon	Ceres Nanotrap	NT04474	0.475	aj	1.0.0	
CP59	1/13/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP60	1/19/22	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP61	1/19/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP62	1/20/22	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP63	1/21/22	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP64	1/24/22	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP65	1/25/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP66	1/26/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP67	1/28/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP68	1/31/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP69	2/1/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP7	9/2/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.425	JL	1.0.0	
CP70	2/2/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP71	2/4/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	LW	1.0.0	
CP72	2/7/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP73	2/9/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP74	2/10/22	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ	1.0.0	
CP76	2/14/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP77	2/14/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP78	2/15/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP79	2/16/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP8	9/3/21	10	Halcyon	Ceres Nanotrap	NT04155	0.425	JL	1.0.0	
CP80	2/18/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP81	2/18/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP82	2/21/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP83	2/23/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP84	2/23/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP85	2/25/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	JL	1.0.0	
CP86	2/28/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP87	3/2/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	aj	1.0.0	
CP88	3/2/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP89	3/4/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP9	9/8/21	10	Halcyon	Ceres Nanotrap	NT04155	0.425	JL	1.0.0	
CP90	3/4/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP91	3/9/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP92	3/9/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP93	3/10/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP94	3/11/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP95	3/11/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP96	3/15/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP97	3/16/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP98	3/16/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
CP99	3/21/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ	1.0.0	
PE1	11/9/20	100	Sorvall	PEG Precipitation		4	MS	1.0.0	
PE10	11/13/20	100	Sorvall	PEG Precipitation		4	MS	1.0.0	
PE100	4/9/21	100	Sorvall	PEG Precipitation		5	MVS	1.0.0	
PE101	4/9/21	100	Sorvall	PEG Precipitation		5	MVS	1.0.0	
PE102	4/9/21	100	Sorvall	PEG Precipitation		5	MVS	1.0.0	
PE103	4/9/21	100	Sorvall	PEG Precipitation		5	MVS	1.0.0	
PE104	4/16/21	100	Sorvall	PEG Precipitation		5	JL	1.0.0	
PE105	4/16/21	100	Sorvall	PEG Precipitation		6	JL	1.0.0	
PE106	4/16/21	100	Sorvall	PEG Precipitation		4	JL	1.0.0	
PE107	4/16/21	100	Sorvall	PEG Precipitation		4	JL	1.0.0	
PE108	4/16/21	100	Sorvall	PEG Precipitation		8	JL	1.0.0	
PE109	4/23/21	100	Sorvall	PEG Precipitation		7	MVS	1.0.0	
PE11	11/16/20	100	Sorvall	PEG Precipitation		4.2	MS	1.0.0	
PE110	4/23/21	100	Sorvall	PEG Precipitation		5	MVS	1.0.0	
PE111	4/23/21	100	Sorvall	PEG Precipitation		4	MVS	1.0.0	
PE112	4/23/21	100	Sorvall	PEG Precipitation		7	MVS	1.0.0	
PE113	4/23/21	100	Sorvall	PEG Precipitation		7	MVS	1.0.0	
PE114	4/30/21	100	Sorvall	PEG Precipitation		2	KED	1.0.0	
PE115	4/30/21	100	Sorvall	PEG Precipitation		3	KED	1.0.0	
