concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
C01-1192.c1	C01-1192	CB223	A03	
A01-1510.c1	A01-1510	CB223	C01	
N03-1000.c1	N03-1000	CB223	D04	
C01-1193.c1	C01-1193	CB223	B03	
N02-0593.c1	N02-0593	CB223	B05	
K01-0476.c1	K01-0476	CB223	A05	
P01-1010.c1	P01-1010	CB223	C04	
A01-1511.c1	A01-1511	CB223	D01	
L01-1008.c1	L01-1008	CB223	A06	
A01-1513.c1	A01-1513	CB223	B02	
J01-1016.c1	J01-1016	CB223	B06	
A01-1512.c1	A01-1512	CB223	A02	
C01-1190.c1	C01-1190	CB223	C02	
M03-1012.c1	M03-1012	CB223	C06	
Q01-1015.c1	Q01-1015	CB223	D05	
H01-1022.c1	H01-1022	CB223	A04	
T01-0309.c1	T01-0309	CB223	D03	
F01-1005.c1	F01-1005	CB223	B04	
D01-1014.c1	D01-1014	CB223	C05	
W01-1003.c1	W01-1003	CB223	D06	
C01-1191.c1	C01-1191	CB223	D02	
A01-1509.c1	A01-1509	CB223	B01	
C01-1194.c1	C01-1194	CB223	C03	
A01-1508.c1	A01-1508	CB223	A01	
A02-2000.c1	A02-2000	CB224	D02	
G01-1003.c1	G01-1003	CB224	D01	
A02-2001.c1	A02-2001	CB224	A03	
R02-1016.c1	R02-1016	CB224	C01	
A10-0004.c1	A10-0004	CB224	C02	
U01-0153.c1	U01-0153	CB224	A01	
F01-1006.c1	F01-1006	CB224	A02	
O01-1003.c1	O01-1003	CB224	B01	
Q01-1016.c1	Q01-1016	CB224	B02	
