assay_batch_id	assay_date	assay_reaction_ul	assay_machine	assay_amplification_method	assay_amplification_method_lot_id	assay_quantification_method	assay_quantification_type	assay_batch_record_version	assay_method	assay_method_lot_id	assay_qx_manager_version	assay_run_by	assay_batch_comment
AB41	06/28/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21303		JL	GT Mol. PC
AB42	07/05/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21303		JL	E04 TO H04 WERE LAKYN'S SAMPLES, NOT INVLUDED ON AB SHEETS
AB43	07/12/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21303		JL	NO POSITIVE CONTROL ON THIS RUN -JL
AB44	07/22/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21303		JL	G01&G02 <1000 DROPLETS
AB45	07/26/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21303		JL	
AB46	08/02/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21303		JL	INCLUDES MILK AND FLU SAMPLES 
AB47	08/09/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	6458084	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21303		JL	None
AB48	08/16/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21303		JL	None
AB49	08/22/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21303		AJ	None
AB5	01/08/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64571283	ddPCR	Direct Quantification	2.0.0	Custom Design	341878142,69915334,69899693		JL	Used too dilute of PC for signal. Will change next time.
AB6	01/11/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64571283	ddPCR	Direct Quantification	2.0.0	Custom Design	341878142,69915334		JL	None
AB7	01/25/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	341878142,69915335	ddPCR	Direct Quantification	2.0.0	Custom Design	64571283		JL	None
AB8	01/31/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64571283	ddPCR	Direct Quantification	2.0.0	SARS-CoV-2 (N1, N2), Human (RNAse P) Triplex (dEXD28563542)	63101839		JL	None
AP0	08/13/2021	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		1.2	JL	
AP0.1	08/16/2021	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477036	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP0.2	08/18/2021	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477036	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP0.3	08/20/2021	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477036	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP0.4	09/02/2021	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		1.2	JL	
AP0.5	09/03/2021	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		1.2	JL	
AP0.6	06/01/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		1.2	JL	
AP10	09/29/2021	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477037	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP100	07/18/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP102	07/25/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP103	07/28/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP104	08/01/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP105	08/04/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP106	08/10/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP107	08/11/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP108	08/17/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP109	08/18/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP11	10/05/2021	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477037	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP110	08/23/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP111	08/25/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP112	08/30/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP113	09/01/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP114	09/07/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP115	09/08/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP116	09/14/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP117	09/15/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP118	09/20/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP119	09/22/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP12	10/11/2021	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477037	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP120	09/27/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP121	09/29/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP122	10/04/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP123	10/06/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP124	10/17/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		1.2	JL	
AP125	10/13/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	AJ	
AP127	10/18/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		1.2	JL	
AP128	10/20/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP129	10/25/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP13	10/14/2021	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP130	10/31/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP131	11/04/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP132	11/10/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP133	11/15/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP134	11/21/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	6310837	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	AJ	
AP135	11/29/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	6310837	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	AJ	
AP136	12/02/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63089746	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP137	12/07/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	6310837	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		1.2	AJ	
AP139	12/13/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		1.2	JL	
AP14	10/20/2021	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP142	12/16/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP143	12/20/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP146	12/29/2022	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP149	01/06/2023	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP15	11/01/2021	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP150	01/10/2023	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP153	01/12/2023	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP156	01/19/2023	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP157	01/20/2023	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP158	01/26/2023	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP159	01/27/2023	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP16	11/04/2021	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	JL	
AP162	02/01/2023	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		2	JL	
AP165	02/02/2023	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		2	JL	
AP167	02/07/2023	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		2	JL	
AP17	11/08/2021	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		1.2	AJ	
AP171	02/10/2023	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		2	JL	
AP172	02/13/2023	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		2	JL	
AP175	02/17/2023	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		2	JL	
AP176	02/21/2023	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837	ddPCR	Direct Quantification	1.0.0	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		2	JL	
