concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
L01-0631.c1	L01-0631	CB133	B04	
A04-0654.c1	A04-0654	CB133	B02	
J01-0525.c1	J01-0525	CB133	A03	
M04-0398.c1	M04-0398	CB133	B01	
U01-0081.c1	U01-0081	CB133	A02	
N02-0566.c1	N02-0566	CB133	B03	
Q01-0602.c1	Q01-0602	CB133	A04	
K01-0457.c1	K01-0457	CB133	A01	
M03-0506.c1	M03-0506	CB133	B05	
O01-0566.c1	O01-0566	CB133	A05	
G01-0616.c1	G01-0616	CB133	A06	
A01-1196.c1	A01-1196	CB132	A03	
T01-0312.c1	T01-0312	CB132	D03	
C01-0754.c1	C01-0754	CB132	B04	
A01-1197.c1	A01-1197	CB132	A04	
C01-0753.c1	C01-0753	CB132	B03	
H01-0973.c1	H01-0973	CB132	D04	
V01-0018.c1	V01-0018	CB132	C04	
V01-0010.c1	V01-0010	CB132	C03	
C01-0752.c1	C01-0752	CB132	B02	
V01-0022.c1	V01-0022	CB132	C06	
V01-0020.c1	V01-0020	CB132	C05	
C01-0751.c1	C01-0751	CB132	B01	
R02-0527.c1	R02-0527	CB132	D02	
A01-1195.c1	A01-1195	CB132	A02	
A01-1194.c1	A01-1194	CB132	A01	
V01-0028.c1	V01-0028	CB132	D01	
C01-0755.c1	C01-0755	CB132	B05	
E01-0728.c1	E01-0728	CB132	C01	
E01-0729.c1	E01-0729	CB132	C02	
E01-0727.c1	E01-0727	CB132	B06	
U01-0095.c1	U01-0095	CB132	D05	
A01-1198.c1	A01-1198	CB132	A05	
A01-1199.c1	A01-1199	CB132	A06	
Q01-0603.c1	Q01-0603	CB132	D06	
