concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
F01-1023.c1	F01-1023	CB265	D01	
R02-1033.c1	R02-1033	CB265	B01	
F01-1022.c1	F01-1022	CB265	C01	
M03-1028.c1	M03-1028	CB265	A01	
A02-2046.c1	A02-2046	CB263	A04	
A02-4049.c1	A02-4049	CB263	A06	
A02-3047.c1	A02-3047	CB263	A05	
A02-2044.c1	A02-2044	CB263	C02	
A02-3046.c1	A02-3046	CB263	B04	
A02-2047.c1	A02-2047	CB263	D04	
A02-3049.c1	A02-3049	CB263	D05	
A02-4047.c1	A02-4047	CB263	B05	
A02-4042.c1	A02-4042	CB263	C01	
A02-4043.c1	A02-4043	CB263	B02	
A02-3044.c1	A02-3044	CB263	D02	
A02-2042.c1	A02-2042	CB263	A01	
A02-4046.c1	A02-4046	CB263	C04	
A02-3042.c1	A02-3042	CB263	B01	
A02-2043.c1	A02-2043	CB263	D01	
A02-2049.c1	A02-2049	CB263	C05	
A02-3043.c1	A02-3043	CB263	A02	
A02-2045.c1	A02-2045	CB263	B03	
A02-4045.c1	A02-4045	CB263	D03	
A02-4044.c1	A02-4044	CB263	A03	
A02-3045.c1	A02-3045	CB263	C03	
C01-1315.c1	C01-1315	CB264	A03	
C01-1317.c1	C01-1317	CB264	C03	
K01-1014.c1	K01-1014	CB264	A05	
O01-1018.c1	O01-1018	CB264	B06	
N02-0603.c1	N02-0603	CB264	D06	
Q01-1034.c1	Q01-1034	CB264	D04	
T01-1008.c1	T01-1008	CB264	B04	
C01-1314.c1	C01-1314	CB264	D02	
A01-1610.c1	A01-1610	CB264	B02	
A01-1608.c1	A01-1608	CB264	D01	
J01-1034.c1	J01-1034	CB264	C05	
A01-1606.c1	A01-1606	CB264	B01	
C01-1318.c1	C01-1318	CB264	D03	
C01-1316.c1	C01-1316	CB264	B03	
A01-1611.c1	A01-1611	CB264	C02	
H01-1040.c1	H01-1040	CB264	A06	
W01-1021.c1	W01-1021	CB264	A04	
A01-1607.c1	A01-1607	CB264	C01	
D01-1030.c1	D01-1030	CB264	D05	
U01-0088.c1	U01-0088	CB264	B05	
A01-1605.c1	A01-1605	CB264	A01	
A01-1609.c1	A01-1609	CB264	A02	
L01-1025.c1	L01-1025	CB264	C06	
T01-1009.c1	T01-1009	CB264	C04	
