Sample ID	type	category	group	level	county_population	Location	status	Sample Composite Start	Sample Composite End	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	responsible_lab	responsible_lab_abbrev	daily_flow	flua	flub	flua.load	flub.load	flua.loadcap	flub.loadcap	flua.day5.mean	flua.day5.ci	flua.load.day5.mean	flua.load.day5.ci	flua.loadcap.day5.mean	flua.loadcap.day5.ci	flub.day5.mean	flub.day5.ci	flub.load.day5.mean	flub.load.day5.ci	flub.loadcap.day5.mean	flub.loadcap.day5.ci
A02-0957	higher ed dorm	upstream	Sewer Network	Residential	105612	UPlace-01	active	01/16/2023 09:00 AM	01/18/2023 09:00 AM	01/18/2023	48-hr time-weighted composite	University Place Apartments	26505	Captures UPlace and associated dining	-79.9567559	39.64019	-1	Monongalia	-1	NA	NA	NA	2066	1932	NA	NA	NA	NA	1552.57894346714	1899.64394308529	NA	NA	NA	NA	1435.61542007327	2380.62514587092	NA	NA	NA	NA
A02-0947	higher ed dorm	upstream	Sewer Network	Residential	105612	UPlace-01	active	01/11/2023 09:00 AM	01/12/2023 09:00 AM	01/17/2023	48-hr time-weighted composite	University Place Apartments	26505	Captures UPlace and associated dining	-79.9567559	39.64019	-1	Monongalia	-1	NA	NA	NA	794	3363.07710036635	NA	NA	NA	NA	1862.68407253101	2675.80381798652	NA	NA	NA	NA	1677.01542007327	2579.77793291581	NA	NA	NA	NA
J01-0221	not institution specific	wwtp	WWTP	WWTP	33432	AlpineLakeWWTP-01	active	02/02/2023 07:30 AM	02/03/2023 07:30 AM	02/08/2023	24-hr time-weighted composite	Alpine Lake	26764		-79.50179	39.45709	700	Preston	0.15	NA	NA	0.225	853	2295	726.51481425	1954.69108875	1.03787830607143	2.79241584107143	1043.8	1829.69164983861	982.002734298	1636.16096604918	1.40286104899714	2.33737280864168	1469.30982117504	1757.02725674595	1475.29097550617	1840.07915450315	2.10755853643739	2.62868450643307
H01-0467	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	active	01/17/2023 08:00 AM	01/18/2023 08:00 AM	01/25/2023	24-hr flow-weighted composite	Moundsville	26041	NA	-80.75493	39.92986	12000	Marshall	2.34	NA	NA	2.2	2326	1109	19370.700052	9235.643318	1.61422500433333	0.769636943166667	1845.06839058995	1820.9092069142	14427.3229061732	13465.0037283661	1.20227690884776	1.12208364403051	1791.33756349981	3312.37590003497	12324.5618973717	19009.3587876724	1.02704682478098	1.58411323230603
E01-0233	not institution specific	wwtp	WWTP	WWTP	58758	PrincetonWWTP-01	active	02/06/2023 10:30 AM	02/07/2023 10:30 AM	02/10/2023	24-hr time-weighted composite	Princeton	24740		-81.07993	37.38036	36000	Mercer	4.9	NA	NA	2.734	2200	2512.3381242156	22768.484068	26000.9684339236	0.632457890777778	0.722249123164544	2149.86007755697	1039.25912208703	33065.5769711277	20281.81273591	0.918488249197993	0.56338368710861	1467.46762484312	1691.81200353148	21525.4450864367	22645.0653308024	0.597929030178798	0.629029592522288
G01-0327	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	active	02/13/2023 09:00 AM	02/14/2023 09:00 AM	02/20/2023	24-hr time-weighted composite	Keyser	26726		-78.97508	39.44123	8168	Mineral	2.4	NA	NA	0.976	2645	2152	9772.1116232	7950.69346432	1.19638976777669	0.973395380058766	2243.4	932.28405808846	9445.787325822	6448.650748766	1.15643821324951	0.789501805676543	1564.8	1549.559710657	5866.79119063	3945.91992296767	0.718265326962537	0.48309499546617
K01-0208	not institution specific	wwtp	WWTP	WWTP	83518	ParkersburgWWTP-01	active	02/07/2023 06:30 AM	02/08/2023 06:30 AM	02/15/2023	24-hr flow-weighted composite	Parkersburg	26101	NA	-81.55739	39.28171	48050	Wood	15.5	NA	NA	5.261	2192.17378646135	2159	43657.2330505986	42996.57569959	0.908579251833477	0.894829879283871	1948.26602303013	1570.96335942107	55022.600785211	57111.9625420557	1.14511135869326	1.18859443375766	1035.4	1755.39627271815	22587.481660522	33747.2551052194	0.470082864943226	0.702336214468667
A02-1105	higher ed dorm	upstream	Sewer Network	Residential	105612	UPlace-01	active	03/06/2023 09:00 AM	03/08/2023 09:00 AM	03/08/2023	48-hr time-weighted composite	University Place Apartments	26505	Captures UPlace and associated dining	-79.9567559	39.64019	-1	Monongalia	-1	NA	NA	NA	61	1133	NA	NA	NA	NA	1164.24115624726	1847.99895702141	NA	NA	NA	NA	5998.41111602784	18766.5800351682	NA	NA	NA	NA
E02-0237	not institution specific	wwtp	WWTP	WWTP	58758	AthensWWTP-01	active	01/10/2023 08:00 AM	01/11/2023 08:00 AM	01/17/2023	24-hr time-weighted composite	Athens	24740		-81.01598	37.42163	2391	Mercer	0.5	NA	NA	0.188	124	2619	88.24547792	1863.82989252	0.0369073517022166	0.779518984742785	1364.48593382686	1811.051263977	886.623167971905	1315.61537365198	0.370816883300671	0.550236459076528	1731.67410242334	1308.30494216796	1099.23286064631	897.900677247684	0.459737708342247	0.375533532935041
L01-0338	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	active	02/17/2023 09:00 AM	02/18/2023 09:00 AM	02/22/2023	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	NA	NA	0.448	1938	1819	3286.58381184	3084.77603392	5.82727626212766	5.46946105304965	1862.4	1429.75578458134	2610.24839255	1599.49494509036	4.62809998679078	2.83598394519567	1343	1504.70271820923	1997.768297468	2196.32832014308	3.54214237139716	3.89419914918986
