concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
N02-0459.c1	N02-0459	CB71	D02	
O01-0501.c1	O01-0501	CB71	C05	
C01-0699.c1	C01-0699	CB71	B04	
R02-0472.c1	R02-0472	CB71	D06	
A01-0951.c1	A01-0951	CB71	A03	
E01-0544.c1	E01-0544	CB71	C01	
E01-0543.c1	E01-0543	CB71	B06	
A01-0953.c1	A01-0953	CB71	A05	
E01-0546.c1	E01-0546	CB71	C03	
C01-0697.c1	C01-0697	CB71	B02	
O01-0481.c1	O01-0481	CB71	D04	
A01-0949.c1	A01-0949	CB71	A01	
A04-0553.c1	A04-0553	CB71	D03	
A01-0954.c1	A01-0954	CB71	A06	
P01-0117.c1	P01-0117	CB71	C04	
C01-0700.c1	C01-0700	CB71	B05	
C01-0696.c1	C01-0696	CB71	B01	
A01-0950.c1	A01-0950	CB71	A02	
L01-0556.c1	L01-0556	CB71	C06	
M04-0263.c1	M04-0263	CB71	D01	
A01-0952.c1	A01-0952	CB71	A04	
C01-0698.c1	C01-0698	CB71	B03	
E01-0545.c1	E01-0545	CB71	C02	
M03-0389.c1	M03-0389	CB71	D05	
J01-0413.c1	J01-0413	CB72	A04	
N03-0470.c1	N03-0470	CB72	A05	
U01-0090.c1	U01-0090	CB72	A06	
Q01-0519.c1	Q01-0519	CB72	A01	
H01-0935.c1	H01-0935	CB72	A02	
K01-0391.c1	K01-0391	CB72	B02	
D01-0541.c1	D01-0541	CB72	B01	
T01-0275.c1	T01-0275	CB72	A03	
