assay_id	sample_id	collection_start_datetime	collection_end_datetime	event_type	sample_flow	sample_qc	location_id	target	target_genetic_locus	lab_id	target_copies_per_l	target_copies_per_ld	target_copies_per_ldcap	target_copies_flownorm	target_copies_fn_per_cap	target_per_capita_basis	nc_copies_per_rxn	pc_copies_per_rxn	target_result_validated
L01-0168.a1	L01-0168	06/18/2022 9:00	06/19/2022 9:00	Routine Surveillance	0.253	Pass	WestUnionWWTP-01	SARS-CoV-2	N1	ZooWVU	18397.14636375	18397.14636375	3261.90538364362	17619.1076796511	3123.95526234949	100	0	3031.006432	yes
G01-0550.a6	G01-0550	02/18/2024 09:00 AM	02/19/2024 09:00 AM	Routine Surveillance	1.215	Pass	KeyserWWTP-01	Human	RNase P	ZooWVU	2350	2350	28.7708129285015	10808.2919025	132.32482740573	100	0	NA	yes
A01-0279.a1	A01-0279	06/19/2022 0:00	06/20/2022 0:00	Routine Surveillance	6.4	Pass	StarCityWWTP-01	SARS-CoV-2	N1	ZooWVU	358046.1718875	358046.1718875	740.866934049619	8674249.98095783	17948.7046452529	100	0	3031.006432	yes
Q01-0073.a1	Q01-0073	07/16/2022 8:00	07/17/2022 8:00	Routine Surveillance	0.308	Pass	MadisonWWTP-01	SARS-CoV-2	N1	ZooWVU	430720.42269375	430720.42269375	9455.99171665752	502179.645742898	11024.800126079	100	0	400	yes
C01-0743.a2	C01-0743	09/25/2024 07:00 AM	09/26/2024 07:00 AM	Routine Surveillance	6.86	Pass	WheelingWWTP-01	Influenza Virus B (FluB)	NEP/NS1	ZooWVU	92685.9471201896	92685.9471201896	185.371894240379	2406860.57406531	4813.72114813061	100	373.027420043946	682.134857177734	NTC above threshold
B01-0237.a3	B01-0237	08/17/2022 7:00	08/18/2022 7:00	Routine Surveillance	10.4	Pass	CharlestonWWTP-01	Human	RNase P	ZooWVU	687	687	1.374	27045.997368	54.091994736	100	NA	NA	Missing controls: HEX
A02-0206.a1	A02-0206	11/01/2021 11:11	11/03/2021 11:11	Routine Surveillance		Pass	NorthHighSt-02	SARS-CoV-2	N1	ZooWVU	8359.107485	4179.5537425	NA	NA	NA	100	0	20819.60144	yes
J01-0052.a3	J01-0052	05/18/2022 7:30	05/19/2022 7:30	Routine Surveillance	0.122	Pass	AlpineLakeWWTP-01	Human	RNase P	ZooWVU	1307	1307	186.714285714286	603.59876614	86.2283951628572	100	NA	NA	Missing controls: HEX
C01-0564.a2	C01-0564	12/21/2023 07:00 AM	12/22/2023 07:00 AM	Routine Surveillance	6.784	Pass	WheelingWWTP-01	SARS-CoV-2	N2	ZooWVU	123300.434052944	123300.434052944	246.600868105888	3166382.45012772	6332.76490025545	100	0	0	yes
G01-0069.a1	G01-0069	11/06/2021 9:00	11/07/2021 8:00	Routine Surveillance		Pass	KeyserWWTP-01	SARS-CoV-2	N1	ZooWVU	481	481	5.88883447600392	NA	NA	100	0	23868	yes
K01-0310.a2	K01-0310	07/27/2023 6:30	07/28/2023 6:30	Routine Surveillance	3.29	Pass	ParkersburgWWTP-01	SARS-CoV-2	N2	ZooWVU	244994.32591875	244994.32591875	509.873727198231	3051159.06549835	6349.96683766567	100	0	NA	yes
K01-0312.a1	K01-0312	08/17/2023 6:30	08/18/2023 6:30	Routine Surveillance	5.254	Pass	ParkersburgWWTP-01	SARS-CoV-2	N1	ZooWVU	255529.762209375	255529.762209375	531.799713234912	5082114.95478486	10576.7220703119	100	0	NA	yes
A02-0231.a3	A02-0231	11/20/2021 10:12	11/22/2021 10:12	Routine Surveillance		Pass	HonorsSummit-01	Human	RNase P	ZooWVU	85611.0070725	42805.50353625	4897.65486684783	NA	NA	100	NA	NA	Missing controls: HEX
