concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
A01-1078.c1	A01-1078	CB96	A04	
R02-0505.c1	R02-0505	CB96	D03	
C01-0786.c1	C01-0786	CB96	B01	
E01-0663.c1	E01-0663	CB96	C01	
N03-0555.c1	N03-0555	CB96	D04	
A01-1077.c1	A01-1077	CB96	A03	
U01-0138.c1	U01-0138	CB96	D01	
C01-0788.c1	C01-0788	CB96	B03	
T01-0380.c1	T01-0380	CB96	C03	
A01-1074.c1	A01-1074	CB96	A01	
A04-0601.c1	A04-0601	CB96	C04	
C01-0789.c1	C01-0789	CB96	B04	
E01-0664.c1	E01-0664	CB96	C02	
C01-0787.c1	C01-0787	CB96	B02	
A01-1079.c1	A01-1079	CB96	A05	
N02-0540.c1	N02-0540	CB96	D05	
J01-0505.c1	J01-0505	CB96	D02	
H01-0955.c1	H01-0955	CB96	C05	
C01-0790.c1	C01-0790	CB96	B05	
A01-1076.c1	A01-1076	CB96	A02	
Q01-0584.c1	Q01-0584	CB96	C06	
E01-0662.c1	E01-0662	CB96	B06	
P01-0155.c1	P01-0155	CB96	D06	
A01-1080.c1	A01-1080	CB96	A06	
M03-0476.c1	M03-0476	CB97	A02	
K01-0510.c1	K01-0510	CB97	A05	
D01-0562.c1	D01-0562	CB97	A01	
L01-0604.c1	L01-0604	CB97	A06	
O01-0533.c1	O01-0533	CB97	A04	
N03-0554.c1	N03-0554	CB97	A03	
