concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
C01-0621.c1	C01-0621	CB33	B03	
C01-0624.c1	C01-0624	CB33	B06	
E01-0417.c1	E01-0417	CB33	B02	
A04-0533.c1	A04-0533	CB33	D05	
A01-0826.c1	A01-0826	CB33	A03	
E01-0415.c1	E01-0415	CB33	A06	
A01-0825.c1	A01-0825	CB33	A02	
A01-0827.c1	A01-0827	CB33	A04	
E01-0416.c1	E01-0416	CB33	B01	
M04-0222.c1	M04-0222	CB33	C05	
C01-0622.c1	C01-0622	CB33	B04	
A01-0824.c1	A01-0824	CB33	A01	
O01-0465.c1	O01-0465	CB33	C04	
C01-0623.c1	C01-0623	CB33	B05	
G01-0544.c1	G01-0544	CB33	D02	
C01-0625.c1	C01-0625	CB33	C01	
U01-0050.c1	U01-0050	CB33	D06	
E01-0414.c1	E01-0414	CB33	A05	
J01-0397.c1	J01-0397	CB33	D03	
A04-0539.c1	A04-0539	CB33	D04	
M03-0283.c1	M03-0283	CB33	D01	
Q01-0496.c1	Q01-0496	CB33	C02	
N02-0430.c1	N02-0430	CB33	C06	
L01-0539.c1	L01-0539	CB33	C03	
H01-0909.c1	H01-0909	CB34	A03	
T01-0257.c1	T01-0257	CB34	A01	
K01-0383.c1	K01-0383	CB34	A02	
R02-0395.c1	R02-0395	CB34	A04	
