archive_batch_id	archive_batch_comment	archive_batch_record_version	archive_date	archive_eluant	archive_input_ml	archive_machine	archive_method	archive_method_lot_id	archive_output_ml	archive_run_by
A04-0086.RB4955		1.0		Zymo DNA/RNA Shield						
L01-0033.RB6724		1.0		Zymo DNA/RNA Shield						
H01-0108.RB5632		1.0		Zymo DNA/RNA Shield						
E01-0202.RB7		1.0		Zymo DNA/RNA Shield						
H01-0212.RB7081		1.0		Zymo DNA/RNA Shield						
R01-0018.RB5900		1.0		Zymo DNA/RNA Shield						
A02-0409.RB6222		1.0		Zymo DNA/RNA Shield						
E01-0124.RB601		1.0		Zymo DNA/RNA Shield						
C01-0034.RB4868		1.0		Zymo DNA/RNA Shield						
K01-0057.RB1535		1.0		Zymo DNA/RNA Shield						
T01-0059.RB1338		1.0		Zymo DNA/RNA Shield						
N02-0048.RB7613		1.0		Zymo DNA/RNA Shield						
A04-0131.RB3332		1.0		Zymo DNA/RNA Shield						
T01-0064.RB782		1.0		Zymo DNA/RNA Shield						
Q01-0145.RB2433		1.0		Zymo DNA/RNA Shield						
B01-0126.RB1565		1.0		Zymo DNA/RNA Shield						
R01-0190.RB1301		1.0		Zymo DNA/RNA Shield						
N03-0034.RB906		1.0		Zymo DNA/RNA Shield						
C01-0251.RB376		1.0		Zymo DNA/RNA Shield						
M03-0025.RB6719		1.0		Zymo DNA/RNA Shield						
M03-0182.RB459		1.0		Zymo DNA/RNA Shield						
B01-0204.RB3281		1.0		Zymo DNA/RNA Shield						
D01-0320.RB6081		1.0		Zymo DNA/RNA Shield						
K01-0048.RB757		1.0		Zymo DNA/RNA Shield						
B01-0338.RB5732		1.0		Zymo DNA/RNA Shield						
R01-0054.RB3564		1.0		Zymo DNA/RNA Shield						
G01-0169.RB6872		1.0		Zymo DNA/RNA Shield						
T01-0007.RB3791		1.0		Zymo DNA/RNA Shield						
A02-0345.RB49		1.0		Zymo DNA/RNA Shield						
O01-0151.RB1713		1.0		Zymo DNA/RNA Shield						
H01-0175.RB6026		1.0		Zymo DNA/RNA Shield						
H01-0490.RB4977		1.0		Zymo DNA/RNA Shield						
B01-0074.RB3487		1.0		Zymo DNA/RNA Shield						
C01-0316.RB4817		1.0		Zymo DNA/RNA Shield						
K01-0113.RB3078		1.0		Zymo DNA/RNA Shield						
N02-0091.RB24		1.0		Zymo DNA/RNA Shield						
N02-0120.RB449		1.0		Zymo DNA/RNA Shield						
H01-0189.RB4183		1.0		Zymo DNA/RNA Shield						
L01-0116.RB1601		1.0		Zymo DNA/RNA Shield						
T01-0009.RB473		1.0		Zymo DNA/RNA Shield						
L01-0146.RB3799		1.0		Zymo DNA/RNA Shield						
J01-0174.RB2526		1.0		Zymo DNA/RNA Shield						
H01-0478.RB302		1.0		Zymo DNA/RNA Shield						
A03-0231.RB4291		1.0		Zymo DNA/RNA Shield						
A02-0298.RB6354		1.0		Zymo DNA/RNA Shield						
M03-0118.RB962		1.0		Zymo DNA/RNA Shield						
A01-0307.RB3699		1.0		Zymo DNA/RNA Shield						
C01-0252.RB6816		1.0		Zymo DNA/RNA Shield						
A02-0548.RB871		1.0		Zymo DNA/RNA Shield						
G01-0061.RB1623		1.0		Zymo DNA/RNA Shield						
G01-0113.RB4579		1.0		Zymo DNA/RNA Shield						
N03-0125.RB56		1.0		Zymo DNA/RNA Shield						
D01-0010.RB3193		1.0		Zymo DNA/RNA Shield						
R01-0154.RB5694		1.0		Zymo DNA/RNA Shield						
N03-0010.RB4243		1.0		Zymo DNA/RNA Shield						
A02-1130.RB359		1.0		Zymo DNA/RNA Shield						
L01-0084.RB7650		1.0		Zymo DNA/RNA Shield						
B01-0341.RB5390		1.0		Zymo DNA/RNA Shield						
T01-0049.RB4497		1.0		Zymo DNA/RNA Shield						
H01-0099.RB476		1.0		Zymo DNA/RNA Shield						
T01-0042.RB2983		1.0		Zymo DNA/RNA Shield						
G01-0101.RB2177		1.0		Zymo DNA/RNA Shield						
O01-0041.RB2379		1.0		Zymo DNA/RNA Shield						
R01-0068.RB5662		1.0		Zymo DNA/RNA Shield						
R02-0239.RB4781		1.0		Zymo DNA/RNA Shield						
D01-0211.RB4809		1.0		Zymo DNA/RNA Shield						
P01-0029.RB6613		1.0		Zymo DNA/RNA Shield						
A03-0082.RB4726		1.0		Zymo DNA/RNA Shield						
A01-0181.RB5216		1.0		Zymo DNA/RNA Shield						
N02-0268.RB4444		1.0		Zymo DNA/RNA Shield						
M04-0006.RB1368		1.0		Zymo DNA/RNA Shield						
A1109.RB6263		1.0		Zymo DNA/RNA Shield						
L01-0085.RB4205		1.0		Zymo DNA/RNA Shield						
A02-0178.RB4626		1.0		Zymo DNA/RNA Shield						
A01-0207.RB4001		1.0		Zymo DNA/RNA Shield						
A02-0562.RB1072		1.0		Zymo DNA/RNA Shield						
A03-0244.RB5847		1.0		Zymo DNA/RNA Shield						
A01-0187.RB6502		1.0		Zymo DNA/RNA Shield						
E02-0229.RB3144		1.0		Zymo DNA/RNA Shield						
A04-0079.RB4318		1.0		Zymo DNA/RNA Shield						
J01-0171.RB7354		1.0		Zymo DNA/RNA Shield						
A01-0309.RB713		1.0		Zymo DNA/RNA Shield						
O01-0210.RB6119		1.0		Zymo DNA/RNA Shield						
G01-0036.RB2264		1.0		Zymo DNA/RNA Shield						
A02-0105.RB7124		1.0		Zymo DNA/RNA Shield						
G01-0052.RB2581		1.0		Zymo DNA/RNA Shield						
G01-0111.RB3974		1.0		Zymo DNA/RNA Shield						
G01-0192.RB1858		1.0		Zymo DNA/RNA Shield						
G02-0023.RB363		1.0		Zymo DNA/RNA Shield						
O01-0098.RB5406		1.0		Zymo DNA/RNA Shield						
A02-0152 b.RB872		1.0		Zymo DNA/RNA Shield						
A03-0259.RB5894		1.0		Zymo DNA/RNA Shield						
O01-0247.RB2906		1.0		Zymo DNA/RNA Shield						
Q01-0198.RB3705		1.0		Zymo DNA/RNA Shield						
M04-0193.RB5862		1.0		Zymo DNA/RNA Shield						
N02-0216.RB5144		1.0		Zymo DNA/RNA Shield						
M04-0107.RB1598		1.0		Zymo DNA/RNA Shield						
G01-0190.RB1973		1.0		Zymo DNA/RNA Shield						
E01-0114.RB685		1.0		Zymo DNA/RNA Shield						
G01-0312.RB167		1.0		Zymo DNA/RNA Shield						
E01-0010.RB7119		1.0		Zymo DNA/RNA Shield						
E01-0249.RB3458		1.0		Zymo DNA/RNA Shield						
A02-0721.RB5647		1.0		Zymo DNA/RNA Shield						
O01-0013.RB744		1.0		Zymo DNA/RNA Shield						
N03-0196.RB1114		1.0		Zymo DNA/RNA Shield						
C01-0146.RB4023		1.0		Zymo DNA/RNA Shield						
J01-0117.RB433		1.0		Zymo DNA/RNA Shield						
Q01-0068.RB4689		1.0		Zymo DNA/RNA Shield						
M04-0155.RB5272		1.0		Zymo DNA/RNA Shield						
L01-0127.RB6884		1.0		Zymo DNA/RNA Shield						
N02-0061.RB1395		1.0		Zymo DNA/RNA Shield						
A02-1090.RB1668		1.0		Zymo DNA/RNA Shield						
L01-0100.RB6124		1.0		Zymo DNA/RNA Shield						
O01-0120.RB2782		1.0		Zymo DNA/RNA Shield						
R01-0029.RB1887		1.0		Zymo DNA/RNA Shield						
L01-0202.RB1016		1.0		Zymo DNA/RNA Shield						
O01-0093.RB2340		1.0		Zymo DNA/RNA Shield						
K01-0137.RB5078		1.0		Zymo DNA/RNA Shield						
A02-0166.RB1435		1.0		Zymo DNA/RNA Shield						
A04-0148.RB2960		1.0		Zymo DNA/RNA Shield						
A02-1066.RB1465		1.0		Zymo DNA/RNA Shield						
B01-0027.RB1317		1.0		Zymo DNA/RNA Shield						
A04-0216.RB7627		1.0		Zymo DNA/RNA Shield						
J01-0150.RB915		1.0		Zymo DNA/RNA Shield						
A03-0042.RB6336		1.0		Zymo DNA/RNA Shield						
