concentration_id	concentration_batch_id	concentration_comment	concentration_location_in_batch	sample_id
N03-0212.c5089	CP280		C01	
A02-0980.c6577	CP325		C01	
A03-0283.c1589	CP117		D03	
G01-0220.c3976	CP260		D05	
N03-0211.c2038	CP284		D02	
M04-0136.c4182	CP302		B01	
B01-0003.c4269	CP17		B06	
A02-0691.c5765	CP247		A06	
A02-0677.c3255	CP254		A06	
C01-0002.c3899	CP13		B02	
O01-0156.c4719	CP253		A03	
O01-0132.c4061	CP207		B03	
B01-0148.c1868	CP132		B03	
K01-0132.c1475	CP224		C06	
N02-0203.c6702	CP299		C05	
A02-0243.c1608	CP44		C03	
A1028.c2600	CS18			
A02-0245.c7663	CP43		B02	
B01-0265.c5153	CP256		D01	
A03-0104.c6229	CP49		D04	
E02-0169.c4178	CP205		C03	
B01-0319.c6831	CP357		B02	
K01-0009.c3044	CP84		A04	
A02-0912.c4922	CP304		B03	
A02-0893.c5179	CP320		B02	
J01-0141.c1540	CP249		A02	
M03-0007.c4253	CP92		D02	
A03-0255.c261	CP101		D06	
E01-0247.c948	CP366		B04	
B01-0196.c3106	CP175		D03	
T01-0043.c4314	CP244		A03	
A02-0166.c1435	CP24		C01	
A02-0822.c337	CP266		A03	
A02-0298.c6354	CP63		D04	
H01-0007.c6932	CP22		C05	
O01-0228.c5718	CP269		C01	
R01-0003.c7466	CP154		B04	
G01-0276.c1675	CP305		C01	
D01-0117.c2054	CP190		D01	
A04-0009.c6444	CP73		B03	
A02-0695.c688	CP247		B04	
O01-0066.c6567	CP151		A05	
A01-0488.c5598	CP342		A04	
A04-0146.c1098	CP226		C06	
H01-0082.c5394	CP47		D05	
J01-0028.c2421	CP124		D06	
N02-0172.c7499	CP246		C02	
A02-0037.c7092	CP4		A03	
Q01-0110.c2823	CP221		C05	
M03-0111.c7659	CP203		A03	
T01-0018.c1212	CP217		B03	
S01-0056.c1230	CP197		D04	
A02-0742.c798	CP273		B03	
M03-0071.c5724	CP146		C01	
N02-0115.c2245	CP179		A03	
N03-0242.c6738	CP322		B04	
C01-0167.c3068	CP139		C06	
M03-0053.c6668	CP157		D03	
N02-0010.c5901	CP116		C06	
M04-0120.c865	CP241		B03	
C01-0317.c3489	CP296		C06	
A01-0341.c4168	CP222		D03	
H01-0424.c5863	CP30		A03	
Q01-0222.c5413	CP323		C05	
J01-0119.c2979	CP225		B02	
E01-0097.c2725	CP131		A06	
A03-0363.c5329	CP156		A03	
A01-0150.c6055	CP60		A05	
A01-0513.c7463	CP368		B02	
H01-0416.c5866	CP295		C01	
C01-0008.c4256	CP17		D06	
O01-0267.c2404	CP343		A03	
T01-0007.c3791	CP205		D03	
M04-0001.c4088	CP108		B04	
A02-0633.c1365	CP239		C03	
R01-0114.c2222	CP231		C02	
Q01-0215.c4072	CP312		B05	
L01-0047.c3103	CP93		C06	
H01-0068.c5918	CP62		D02	
F01-0012.c2350	CP22		B06	
G01-0209.c5802	CP272		A02	
C01-0061.c6481	CP52		C02	
E01-0053.c4328	CP71		B01	
T01-0081.c5924	CP309		A02	
C01-0214.c2784	CP181		D01	
J01-0172.c902	CP286		B02	
E01-0144.c2826	CP193		C04	
L01-0074.c3575	CP97		D06	
A02-0871.c3307	CP283		D06	
E01-0202.c7	CP279		A01	
C01-0190.c5244	CP164		C05	
A04-0180.c2742	CP235		C04	
G01-0243.c1971	CP211		B03	
H01-0298.c5416	CP206		B06	
T01-0066.c741	CP294		C04	
L01-0124.c1595	CP152		A06	
C01-0348.c5278	CP350		A05	
R02-0105.c5095	CP190		B05	
A01-0165.c25	CP69		A06	
A02-0992.c7380	CP332		C03	
N02-0157.c857	CP267		A03	
J01-0104.c520	CP208		B02	
N03-0101.c824	CP176		C05	
E01-0226.c3963	CP330		D05	
A02-1060.c777	CP346		D01	
Q01-0178.c4990	CP287		C04	
A02-0698.c1019	CP259		A03	
A1104.c3745	CP0.1		A01	
K01-0135.c288	CP208		A01	
A02-0248.c5976	CP45		D01	
M03-0167.c7333	CP290		A04	
R02-0022.c4493	CP168		C04	
K01-0099.c7673	CP168		C06	
A01-0289.c1120	CP178		A04	
A01-0243.c3171	CP136		B04	
A01-0242.c4617	CP136		B03	
Q01-0229.c2132	CP350		D05	
M04-0086.c6747	CP196		A05	
A01-0121.c5282	CP48		C03	
L01-0372.c4585	CP359		A06	
A03-0165.c661	CP61		B04	
E01-0210.c5405	CP294		D06	
M03-0204.c199	CP364		A01	
H01-0064.c3885	CP59		D04	
G01-0021.c2304	CP38		D01	
M04-0083.c2650	CP196		A04	
J01-0085.c3057	CP186		A02	
L01-0132.c6497	CP158		A03	
C01-0357.c3966	CP347		D04	
T01-0098.c3407	CP332		A05	
T01-0100.c2395	CP345		C03	
D01-0067.c7402	CP101		B04	
G01-0250.c3440	CP197		B05	
O01-0155.c7201	CP246		D05	
C01-0250.c4696	CP224		D06	
R01-0052.c1882	CP173		C02	
A04-0012.c7224	CP77		D04	
N03-0137.c214	CP191		D06	
K01-0202.c5973	CP348		B03	
H01-0286.c4821	CP194		C04	
H01-0009.c4157	CP22		D01	
N03-0081.c849	CP159		C06	
A02-0073.c5169	CP7		D05	
E01-0005.c2969	CP33		A06	
R02-0180.c983	CP328		D01	
A02-0634.c4502	CP239		C04	
N03-0057.c4693	CP135		B02	
E02-0004.c2321	CP34		C02	
N03-0261.c1878	CP346		A03	
M03-0090.c7336	CP177		A03	
A01-0424.c7676	CP295		C06	
E01-0141.c7569	CP193		C01	
N03-0188.c1630	CP241		C05	
J01-0129.c2896	CP236		C02	
M03-0106.c4496	CP203		A01	
J01-0184.c6657	CP297		D01	
C01-0094.c2450	CP96		C02	
O01-0255.c3787	CP353		D01	
A04-0082.c7218	CP152		D03	
A02-0276.c2290	CP52		A03	
R01-0216.c6558	CP329		B01	
A01-0014.c5775	CP0.5		A01	
A03-0284.c4279	CP117		D05	
H01-0395.c3695	CP283		A06	
A02-0539.c343	CP144		A05	
M03-0056.c3115	CP124		A01	
B01-0226.c4804	CP221		A02	
L01-0250.c3082	CP265		D02	
K01-0129.c2953	CP236		B03	
A03-0364.c336	CP156		A04	
D01-0081.c7485	CP138		A05	
J01-0108.c2535	CP212		B04	
C01-0351.c7349	CP341		A01	
E01-0066.c4945	CP85		D04	
E02-0215.c5040	CP271		C04	
K01-0113.c3078	CP172		B06	
F01-0014.c185	CP20		A01	
E01-0230.c593	CP336		A04	
L01-0174.c5681	CP191		B03	
A03-0110.c1286	CP49		A06	
N03-0285.c4417	CP369		B03	
E02-0143.c5605	CP169		C06	
D01-0061.c3902	CP113		C06	
A02-0761.c5873	CP277		A04	
A01-0492.c6810	CP348		D01	
A0042.c1621	CS7			
R01-0077.c6534	CP186		B02	
A03-0374.c7556	CP164		B05	
A02-0444.c7051	CP117		A03	
C01-0299.c5481	CP278		C05	
A02-0515.c2956	CP223		B05	
N03-0268.c6682	CP359		D03	
A03-0064.c5156	CP35		A02	
A02-0868.c3752	CP284		B05	
G01-0260.c7602	CP227		A05	
A01-0299.c3495	CP183		A02	
D01-0092.c1961	CP160		B06	
N02-0180.c403	CP270		D02	
B01-0070.c2047	CP41		C05	
A02-0639.c1283	CP243		B05	
N02-0081.c2622	CP166		C05	
H01-0486.c5876	CP339		C03	
H01-0309.c1375	CP1		A02	
B01-0343.c5257	CP311		D03	
N02-0163.c7553	CP260		C02	
Q01-0160.c1192	CP276		D02	
O01-0141.c3959	CP218		D02	
A01-0323.c6678	CP124		D01	
I01-0007.c3565	CP36		B03	
E01-0098.c6117	CP131		B01	
E01-0010.c7119	CP39		D01	
C01-0015.c3512	CP22		D04	
G01-0154.c6347	CP147		A02	
B01-0159.c3640	CP140		C05	
D01-0194.c5818	CP246		B02	
E02-0057.c5007	CP105		C05	
A01-0218.c6701	CP112		C01	
H01-0091.c298	CP51		D01	
B01-0188.c3530	CP183		D04	
G01-0095.c6179	CP80		B03	
J01-0037.c3013	CP134		C06	
K01-0088.c2490	CP152		B04	
J01-0222.c195	CP338		A01	
E02-0053.c6095	CP111		B05	
H01-0352.c6832	CP250		A03	
F01-0016.c103	CP19		C05	
A02-0207.c6457	CP32		D03	
C01-0011.c4921	CP19		C06	
C01-0242.c2874	CP217		B06	
O01-0130.c7473	CP218		C04	
N02-0003.c4062	CP103		A02	
A04-0192.c3508	CP251		B04	
A02-0568.c1383	CP221		B01	
M04-0072.c1034	CP163		D06	
H01-0132.c6697	CP82		C05	
K01-0122.c4469	CP172		C03	
A01-0275.c2996	CP169		B02	
R02-0015.c5205	CP182		B02	
N02-0133.c1187	CP190		D03	
C01-0217.c4181	CP185		D03	
A03-0128.c2645	CP46		B06	
O01-0092.c5644	CP173		B02	
A02-0217.c583	CP38		A03	
M03-0147.c5824	CP241		C02	
H01-0328.c761	CP229		B04	
K01-0205.c7280	CP358		C03	
O01-0063.c3016	CP134		B04	
Q01-0116.c3162	CP227		C01	
O01-0204.c1665	CP264		A04	
J01-0203.c1772	CP317		B04	
A01-0469.c1788	CP326		B05	
A02-0661.c7167	CP248		A06	
J01-0135.c241	CP241		A02	
G02-0023.c363	CP47		C02	
K01-0163.c968	CP252		A03	
B01-0014.c7476	CP21		A03	
A04-0162.c2837	CP260		B01	
A01-0009.c5300	CP0.4		A05	
S01-0052.c2993	CP193		C06	
R01-0005.c1805	CP140		D03	
A01-0015.c5347	CP5		C06	
H01-0396.c276	CP283		B01	
B01-0013.c1988	CP22		B05	
A02-0360.c3607	CP82		D06	
G01-0231.c5294	CP193		A01	
K01-0172.c845	CP265		B05	
N03-0177.c1330	CP249		A03	
A01-0056.c1612	CP22		A06	
O01-0128.c1386	CP229		C05	
K01-0087.c5885	CP152		B03	
A03-0271.c4904	CP109		D05	
K01-0073.c1152	CP130		D01	
R01-0172.c4105	CP290		B06	
M03-0095.c5444	CP177		A05	
R02-0090.c5668	CP245		D01	
A02-1121.c1703	CP363		B04	
Q01-0283.c2029	CP356		D04	
A04-0190.c354	CP243		D02	
R02-0152.c5055	CP280		A05	
A0250.c5192	CS2			
N02-0232.c2110	CP314		C06	
B01-0303.c1275	CP372		C06	
H01-0418.c3873	CP295		C03	
H01-0109.c1906	CP67		B02	
A04-0171.c1972	CP260		B06	
E02-0064.c7593	CP99		D02	
E02-0093.c3295	CP68		A03	
M04-0030.c3455	CP108		B06	
H01-0477.c4669	CP350		B02	
Q01-0144.c993	CP255		D01	
B01-0406.c327	CP339		C01	
A04-0179.c2741	CP235		C03	
O01-0117.c5567	CP191		C01	
Q01-0066.c6478	CP188		B06	
C01-0004.c5985	CP13		B04	
A03-0161.c5783	CP53		B04	
M03-0058.c1077	CP146		B02	
A01-0368.c2690	CP245		C04	
C01-0243.c5196	CP217		C01	
C01-0159.c3999	CP128		B06	
A01-0005.c3792	CP0.3		A05	
K01-0118.c4576	CP172		C02	
A03-0130.c4217	CP50		D01	
N03-0099.c2445	CP145		D01	
A01-0012.c4071	CP3		A02	
A02-0781.c5702	CP268		C01	
J01-0192.c5801	CP301		D04	
A01-0148.c189	CP58		B04	
N03-0202.c3097	CP292		C03	
R01-0011.c1208	CP124		B03	
A0032.c2243	CS4			
B01-0178.c7685	CP193		D04	
O01-0064.c6482	CP146		A03	
A03-0011.c3390	CP16		B06	
K01-0111.c3655	CP181		B01	
H01-0280.c4453	CP189		C04	
A01-0380.c2422	CP259		C01	
Q01-0163.c5117	CP276		D05	
A04-0195.c2204	CP243		D03	
N02-0009.c3876	CP116		D01	
A02-0580.c1211	CP232		A04	
Q01-0183.c6200	CP288		C04	
A02-0387.c7091	CP92		B04	
A03-0084.c6405	CP42		B06	
A04-0064.c6605	CP128		B02	
N02-0138.c6519	CP190		D04	
A01-0508.c5902	CP361		B02	
N03-0240.c4767	CP313		B06	
H01-0014.c7596	CP25		B06	
K01-0164.c4950	CP278		B01	
L01-0137.c1903	CP172		B03	
G01-0035.c1897	CP47		A03	
A01-0003.c5468	CP0.2		A02	
M04-0064.c4573	CP151		C02	
N02-0229.c677	CP314		C05	
L01-0347.c5786	CP341		D06	
A02-0415.c6247	CP106		A01	
R02-0191.c6931	CP335		A03	
O01-0010.c4456	CP119		C02	
J01-0221.c7009	CP337		D06	
A01-0362.c2560	CP239		D03	
C01-0112.c4015	CP65		C01	
A02-0448.c5193	CP119		B01	
L01-0120.c90	CP152		A04	
A0024.c5575	CS4			
B01-0029.c2094	CP48		B01	
B01-0206.c3355	CP246		B03	
B01-0066.c3859	CP31		B06	
A04-0212.c5519	CP282		B06	
B01-0175.c6007	CP143		A03	
A03-0163.c6616	CP61		B03	
A02-0240.c5558	CP43		A04	
E01-0022.c4501	CP50		B05	
A01-0291.c3188	CP178		B01	
O01-0116.c3240	CP203		D05	
A04-0087.c3586	CP164		A01	
A01-0226.c4559	CP120		B04	
D01-0186.c4524	CP259		D01	
A03-0334.c6416	CP132		A04	
B01-0330.c6169	CP305		A01	
E02-0111.c7134	CP126		C03	
E01-0019.c2917	CP50		B02	
N02-0223.c509	CP312		D05	
M04-0161.c7401	CP312		A02	
A02-0389.c4006	CP92		B06	
H01-0247.c1683	CP169		C02	
L01-0152.c4113	CP186		B06	
A02-1112.c6329	CP361		A05	
M04-0189.c4479	CP333		D02	
M04-0162.c834	CP319		C03	
K01-0176.c2570	CP320		D06	
O01-0197.c7202	CP306		B03	
A02-0944.c4845	CP320		C01	
A03-0170.c4822	CP78		D04	
L01-0032.c530	CP84		C06	
O01-0179.c2864	CP302		B06	
B01-0112.c3720	CP112		D02	
A01-0472.c1881	CP330		A01	
E01-0155.c4346	CP216		B06	
L01-0098.c7177	CP123		C04	
P01-0029.c6613	CP92		B01	
E01-0176.c4758	CP244		D01	
L01-0227.c3583	CP248		C06	
Q01-0109.c788	CP221		C04	
L01-0362.c3172	CP353		B01	
B01-0238.c1915	CP205		B06	
B01-0215.c6238	CP238		C06	
E01-0123.c5281	CP169		A02	
N03-0236.c2131	CP318		B06	
P01-0056.c4518	CP139		C01	
A01-0124.c277	CP49		A03	
A02-0939.c7249	CP299		B04	
C01-0154.c1715	CP122		A03	
B01-0382.c698	CP336		C01	
A04-0113.c6413	CP190		A03	
P01-0021.c5959	CP70		B05	
O01-0142.c3207	CP236		A03	
O01-0233.c6910	CP323		A02	
C01-0149.c1686	CP306		A05	
N02-0060.c5657	CP140		B03	
C01-0186.c6089	CP164		C01	
G01-0086.c7087	CP57		B04	
A01-0349.c4343	CP228		D02	
A03-0195.c1762	CP68		C03	
A02-0403.c6394	CP98		C06	
N03-0046.c7327	CP93		B04	
A01-0465.c7418	CP324		C01	
L01-0007.c6729	CP74		D01	
A02-1084.c2621	CP351		C02	
R01-0137.c1816	CP247		C05	
R01-0218.c4734	CP302		D02	
H01-0176.c5577	CP115		A06	
E01-0165.c869	CP227		A01	
A01-0074.c2250	CP31		A02	
Q01-0055.c1191	CP179		D03	
A02-0358.c4116	CP81		A04	
H01-0361.c3866	CP255		B05	
N02-0072.c1555	CP148		B03	
A02-1008.c6598	CP335		D02	
O01-0057.c4003	CP130		A04	
A02-1097.c6254	CP357		C05	
E02-0117.c4653	CP138		B01	
A02-0111.c7236	CP13		C02	
C01-0371.c4296	CP363		D01	
J01-0191.c1460	CP301		D03	
C01-0183.c3511	CP157		A03	
A04-0039.c5678	CP101		C02	
R02-0113.c5213	CP208		C03	
E01-0052.c3005	CP63		A03	
A03-0251.c6681	CP94		D02	
H01-0508.c7624	CP356		C01	
A01-0498.c7158	CP351		A03	
A01-0347.c7601	CP226		C05	
P01-0032.c4197	CP103		C02	
D01-0148.c4566	CP210		B04	
N02-0075.c326	CP140		B05	
C01-0253.c484	CP229		D05	
E02-0211.c3834	CP267		D04	
D01-0119.c1265	CP175		A03	
H01-0307.c1962	CP210		D01	
G01-0141.c6153	CP85		D02	
N02-0111.c4679	CP227		C03	
E01-0168.c1311	CP233		A04	
R01-0189.c7424	CP348		C05	
A03-0171.c1486	CP61		C03	
Q01-0302.c3918	CP367		B04	
A02-0762.c1308	CP277		A05	
N03-0152.c6156	CP242		A01	
J01-0041.c7517	CP140		A03	
N03-0191.c3863	CP241		D01	
A04-0060.c7052	CP127		A05	
L01-0200.c2848	CP207		C06	
H01-0390.c1813	CP275		D02	
A01-0482.c5457	CP338		B04	
A02-1025.c1109	CP338		C05	
E01-0231.c3985	CP339		A01	
B01-0199.c6468	CP184		A01	
A01-0036.c3081	CP8		A02	
C01-0269.c4656	CP247		B05	
A04-0233.c6794	CP304		D02	
C01-0299.c5482	CP278		C05	
B01-0346.c676	CP327		C04	
H01-0152.c4293	CP95		B04	
H01-0270.c970	CP185		C04	
A02-0336.c4777	CP73		D03	
D01-0229.c5534	CP343		B01	
A02-0541.c7618	CP144		B01	
A03-0152.c4890	CP53		B02	
A01-0181.c5216	CP83		C01	
M03-0002.c714	CP84		B04	
C01-0141.c1067	CP117		C03	
A01-0394.c1483	CP270		A01	
R02-0142.c614	CP268		C06	
A04-0134.c6040	CP210		A01	
R02-0117.c5899	CP208		C04	
N03-0264.c4563	CP346		A04	
K01-0224.c2345	CP358		C06	
A02-0227.c641	CP38		C02	
K01-0036.c5338	CP88		D06	
B01-0073.c5999	CP31		A06	
A02-0736.c5682	CP270		B04	
M03-0098.c3924	CP196		B04	
C01-0278.c4339	CP248		C06	
P01-0087.c5354	CP174		D04	
H01-0409.c5478	CP288		D05	
B01-0254.c2604	CP260		C05	
N02-0123.c3901	CP189		B02	
K01-0034.c5378	CP79		B04	
A02-0376.c5400	CP89		A06	
E01-0082.c4439	CP104		C03	
E01-0175.c7174	CP244		C06	
K01-0148.c6257	CP218		C03	
K01-0007.c273	CP66		A03	
A01-0127.c6447	CP57		A03	
M03-0066.c7084	CP134		D04	
M04-0115.c2655	CP225		A04	
R01-0084.c3880	CP231		B03	
H01-0180.c194	CP115		B04	
A01-0062.c7324	CP27		A02	
R02-0203.c7318	CP316		B04	
G01-0280.c4032	CP289		A06	
A0206.c4079	CS10			
R02-0209.c7385	CP310		C02	
I01-0002.c7233	CP32		C04	
H01-0388.c829	CP275		C06	
K01-0029.c5090	CP74		C06	
B01-0133.c1411	CP169		D04	
B01-0059.c5382	CP41		C03	
K01-0084.c586	CP139		A03	
K01-0127.c366	CP212		C03	
M04-0050.c1048	CP114		A03	
A03-0014.c6397	CP21		B01	
M04-0035.c1590	CP108		C02	
R01-0149.c5654	CP282		D02	
M03-0004.c2867	CP79		A01	
A01-0084.c5770	CP34		A06	
A01-0234.c1900	CP128		A01	
R01-0263.c752	CP366		A02	
C01-0343.c2455	CP333		A03	
A02-0054.c3221	CP5		C02	
C01-0275.c4995	CP253		A01	
C01-0284.c2792	CP264		C06	
C01-0268.c2914	CP247		B04	
A02-0423.c721	CP107		D02	
H01-0443.c1635	CP311		C01	
A02-1119.c978	CP363		B02	
A02-0441.c2295	CP115		D05	
H01-0250.c3029	CP155		D01	
A02-0520.c1142	CP226		B01	
A02-0412.c6972	CP136		C01	
B01-0280.c4527	CP304		D03	
D01-0099.c5438	CP151		A02	
A02-0501.c3690	CP141		B05	
L01-0272.c3110	CP285		D06	
G01-0085.c4580	CP80		A05	
E02-0220.c7137	CP278		A05	
G01-0054.c928	CP27		B03	
I01-0008.c6705	CP40		A01	
B01-0287.c3422	CP275		D05	
D01-0240.c3741	CP316		C05	
A02-0782.c2390	CP268		C02	
R01-0012.c6004	CP140		D05	
A02-0828.c106	CP266		C04	
J01-0100.c1125	CP203		B02	
C01-0024.c219	CP29		B04	
T01-0014.c2928	CP217		A05	
K01-0055.c4379	CP102		B03	
H01-0381.c7528	CP271		A02	
A0248.c1761	CS2			
O01-0051.c7301	CP151		A03	
N02-0159.c3445	CP255		A02	
B01-0212.c6988	CP228		C06	
A02-0122.c844	CP68		C06	
K01-0101.c5454	CP186		C04	
C01-0097.c3927	CP96		C04	
A04-0033.c5600	CP10		B05	
B01-0264.c6523	CP260		D01	
D01-0041.c5357	CP84		B03	
D01-0049.c5045	CP135		A05	
M04-0026.c6815	CP135		C06	
R01-0186.c2162	CP348		C04	
B01-0225.c6278	CP221		A03	
J01-0080.c1064	CP177		C04	
N02-0014.c7276	CP109		C06	
S01-0017.c355	CP160		B02	
G01-0163.c6797	CP154		A03	
N02-0096.c4940	CP173		C01	
A02-0255.c2016	CP47		B04	
B01-0031.c7514	CP50		A01	
J01-0069.c6282	CP167		C04	
J01-0144.c4443	CP251		C04	
A02-0086.c4774	CP10		A01	
A02-0720.c1408	CP263		C01	
A02-0069.c2751	CP7		D03	
R02-0076.c2530	CP218		D03	
G01-0169.c6872	CP159		B06	
M04-0117.c7480	CP248		B06	
E01-0227.c2607	CP336		A01	
H01-0146.c3622	CP95		A04	
K01-0165.c6305	CP247		A05	
C01-0267.c7427	CP247		B03	
A04-0227.c1370	CP299		A05	
E02-0120.c3837	CP138		B04	
A02-0821.c6888	CP266		A02	
N03-0090.c6526	CP151		B06	
C01-0283.c6961	CP264		C05	
H01-0182.c3645	CP121		D04	
A04-0216.c7627	CP292		B01	
L01-0128.c3490	CP158		A02	
A02-0663.c7273	CP248		B02	
D01-0209.c3560	CP331		B01	
A02-0954.c835	CP324		C05	
L01-0015.c4194	CP70		D02	
D01-0278.c6021	CP353		C04	
H01-0234.c118	CP161		C04	
N03-0274.c3204	CP346		A06	
G01-0142.c996	CP94		B06	
N02-0082.c5574	CP161		A02	
H01-0279.c4446	CP189		C03	
H01-0520.c2013	CP367		D01	
E02-0218.c4737	CP278		A03	
C01-0137.c5548	CP112		D04	
S01-0025.c5229	CP147		B05	
L01-0040.c3849	CP88		A04	
H01-0054.c367	CP55		C02	
N03-0192.c3345	CP230		D02	
P01-0050.c4907	CP103		C05	
E02-0097.c221	CP63		C04	
A01-0441.c499	CP308		A02	
R02-0156.c6803	CP274		A01	
A03-0336.c6316	CP142		D01	
A01-0183.c5344	CP86		A05	
A1033.c3289	CS19			
O01-0236.c2834	CP329		C01	
D01-0244.c2289	CP331		B02	
K01-0245.c3604	CP369		A01	
A04-0084.c5021	CP156		C04	
A03-0018.c4356	CP25		D01	
K01-0142.c6629	CP236		B04	
L01-0291.c2508	CP306		D03	
R02-0092.c5827	CP224		C02	
A04-0044.c7164	CP107		A05	
D01-0190.c7399	CP255		A01	
A01-0215.c7042	CP111		D05	
O01-0259.c5297	CP347		B01	
F01-0032.c7025	CP199		D05	
A1007.c6552	CS15			
B01-0318.c719	CP361		C05	
A03-0299.c3094	CP120		A06	
O01-0277.c4855	CP353		D05	
B01-0292.c5749	CP299		C03	
A01-0192.c587	CP91		C02	
A01-0422.c5526	CP294		A01	
H01-0440.c5638	CP309		D05	
A02-0909.c4639	CP304		B01	
A02-0721.c5647	CP263		C02	
K01-0192.c5760	CP278		B05	
D01-0077.c107	CP146		D04	
J01-0008.c4748	CP57		D04	
B01-0044.c5368	CP59		B02	
A02-0034.c1732	CP2		B03	
L01-0061.c1037	CP103		D01	
A04-0090.c5949	CP164		A04	
A01-0288.c6694	CP178		A03	
M03-0200.c1470	CP331		D02	
A02-0904.c1184	CP315		C03	
O01-0189.c6313	CP306		B01	
G01-0140.c2877	CP110		A04	
B01-0187.c6806	CP180		D01	
C01-0349.c2511	CP350		A06	
A1034.c5953	CS19			
D01-0207.c811	CP301		B06	
D01-0097.c6454	CP172		A06	
M03-0024.c4353	CP92		D03	
N03-0135.c5004	CP207		A04	
A1021.c2107	CS17			
N02-0151.c3250	CP205		B04	
H01-0125.c2005	CP76		A06	
F01-0010.c1522	CP23		B04	
O01-0106.c4989	CP186		D06	
E01-0065.c6429	CP85		D03	
A04-0246.c5523	CP319		D02	
C01-0056.c7259	CP49		B04	
A02-0379.c390	CP90		D02	
B01-0249.c2583	CP193		D06	
E02-0171.c3131	CP205		C05	
A04-0094.c7263	CP170		A04	
R01-0156.c5733	CP358		D04	
A0231.c2506	CS11			
A02-1153.c6244	CP373		C05	
E01-0088.c4643	CP115		A01	
C01-0071.c1235	CP56		B03	
M03-0142.c2720	CP248		A03	
A01-0132.c6862	CP54		A02	
A02-0971.c5933	CP325		D03	
C01-0155.c2172	CP122		A01	
J01-0079.c1074	CP177		C03	
K01-0138.c1894	CP208		A02	
L01-0313.c6716	CP318		D02	
J01-0014.c631	CP108		A03	
C01-0079.c1545	CP83		A02	
O01-0271.c6381	CP343		A05	
L01-0346.c540	CP338		B02	
A03-0194.c2207	CP89		B03	
N02-0130.c5114	CP199		A03	
G01-0105.c4764	CP137		B01	
A02-0385.c2240	CP95		D02	
R01-0212.c4369	CP329		A04	
E01-0004.c485	CP33		A05	
H01-0085.c4129	CP48		A02	
J01-0198.c6143	CP313		D01	
C01-0138.c1430	CP112		A06	
N03-0267.c2188	CP359		D01	
C01-0265.c2586	CP240		B02	
G01-0034.c2355	CP56		D02	
M04-0100.c6268	CP176		D05	
A02-0538.c7266	CP150		C02	
A02-0247.c2858	CP44		C02	
R01-0117.c4646	CP264		D04	
C01-0285.c1360	CP264		D01	
Q01-0078.c3322	CP197		C05	
G01-0106.c7148	CP116		B04	
A02-0130.c5936	CP18		A03	
G01-0283.c323	CP294		D02	
H01-0003.c4214	CP19		C04	
A03-0370.c6139	CP159		D05	
A02-0492.c5736	CP136		D03	
H01-0013.c1932	CP25		B05	
S01-0037.c5128	CP120		D02	
A01-0199.c6713	CP10		B04	
H01-0100.c6050	CP54		D01	
N02-0078.c1829	CP154		D02	
G01-0116.c997	CP116		C02	
H01-0427.c615	CP305		C05	
C01-0089.c5564	CP91		D05	
A03-0080.c6781	CP35		B06	
A01-0060.c4228	CP26		D02	
A02-0879.c3570	CP283		D04	
R02-0244.c6146	CP360		B03	
A03-0245.c5447	CP117		A04	
A02-0229.c3725	CP38		C04	
A03-0159.c2575	CP61		B02	
O01-0266.c3949	CP337		C05	
A02-0563.c6216	CP221		A06	
A03-0006.c715	CP13		A03	
L01-0153.c3742	CP180		A04	
A03-0155.c4628	CP53		B03	
D01-0120.c4807	CP223		A03	
D01-0245.c1854	CP335		C01	
A03-0326.c3421	CP127		B05	
A02-0769.c6654	CP277		B06	
O01-0169.c5238	CP248		D05	
R01-0221.c3784	CP316		D04	
E02-0025.c7302	CP54		D04	
J01-0219.c7299	CP337		D04	
A02-0125.c1141	CP17		B03	
L01-0260.c6971	CP274		B04	
H01-0174.c5629	CP115		B02	
H01-0460.c4154	CP324		A04	
N03-0248.c7227	CP329		A02	
B01-0129.c4246	CP169		D03	
O01-0016.c4840	CP119		B04	
H01-0198.c987	CP132		C02	
A02-0082.c6368	CP9		A04	
D01-0247.c4723	CP316		C06	
M04-0021.c2103	CP103		C01	
A02-1068.c3222	CP348		D06	
K01-0146.c4536	CP224		D01	
B01-0324.c2791	CP367		A04	
L01-0283.c938	CP303		C02	
H01-0360.c495	CP255		B04	
K01-0053.c2689	CP108		B02	
A03-0238.c3350	CP81		C03	
A02-0873.c3404	CP288		B03	
A01-0378.c5146	CP247		A01	
N03-0164.c347	CP213		A02	
A01-0276.c504	CP169		B03	
A01-0080.c7449	CP34		A02	
E01-0069.c773	CP89		C05	
M03-0094.c5849	CP172		A02	
Q01-0041.c2307	CP170		D05	
D01-0009.c1412	CP82		B03	
N03-0251.c5381	CP352		B03	
N03-0146.c1710	CP192		A03	
A04-0224.c7649	CP295		D06	
N03-0077.c6744	CP159		C03	
Q01-0206.c1670	CP308		C05	
H01-0225.c6213	CP155		C03	
R02-0077.c4031	CP224		B05	
B01-0121.c4533	CP90		B02	
D01-0238.c6915	CP321		B04	
A01-0224.c4614	CP119		A04	
E01-0232.c3245	CP339		A02	
N03-0010.c4243	CP109		B06	
G01-0185.c2489	CP174		B04	
G01-0156.c6438	CP142		A03	
G01-0313.c7359	CP355		A04	
Q01-0005.c853	CP142		C02	
H01-0455.c1910	CP314		C04	
R01-0122.c2	CP270		C03	
A01-0160.c2106	CP69		A01	
J01-0029.c5143	CP124		B05	
