concentration_batch_id	concentration_batch_comment	concentration_batch_record_version	concentration_date	concentration_input_ml	concentration_machine	concentration_method	concentration_method_lot_id	concentration_output_ml	concentration_run_by
CP179		1.0	6/30/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP77		1.0	2/14/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP361		1.0	3/10/23	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP236		1.0	9/14/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP278		1.0	11/9/22	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP181		1.0	7/6/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP147		1.0	5/19/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP29		1.0	10/27/21	10	Kookaburra	Ceres Nanotrap	NT04474	0.425	JL
CP339		1.0	2/13/23	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CS15		1.0	3/19/21	100		PEG Precipitation		3.4	TD
CP153		1.0	5/25/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP105		1.0	3/29/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP368		1.0	3/20/23	10	Kookaburra	Ceres Nanotrap	NT04465	0.475	AJ
CP227		1.0	9/2/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP91		1.0	3/9/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP271		1.0	10/28/22	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP69		1.0	2/1/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	AJ
CS24		1.0	8/10/21	100		PEG Precipitation		4	
CP243		1.0	9/26/22	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP101		1.0	3/23/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP344		1.0	2/20/23	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP260		1.0	10/17/22	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP216		1.0	8/19/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP275		1.0	11/4/22	10	Halcyon	Ceres Nanotrap	4455	0.475	SB
CS1		1.0	11/9/20	100		PEG Precipitation		3.4	MS
CP185		1.0	7/13/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP130		1.0	4/27/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP123		1.0	4/20/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CS12		1.0	2/19/21	100		PEG Precipitation		4	AT
CP306		1.0	12/21/22	10	Halcyon	Ceres Nanotrap	NT0455	0.475	AJ
CP57		1.0	1/10/22	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
CP119		1.0	4/13/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	JL
CP280		1.0	11/10/22	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP71		1.0	2/4/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	LW
