sample_id	location_id	sample_collection_by	sample_collection_end_datetime	sample_collection_start_datetime	sample_comment	sample_event	sample_flow	sample_ph_lab	sample_qc	sample_received_by	sample_received_date	sample_recovered_datetime	sample_status
G01-0250.3439	KeyserWWTP-01		7/24/22 8:00	7/23/22 9:00		Routine Surveillance	0.624		Pass	AJ	7/28/22	7/24/22 8:20	Complete
L01-0245.4724	WestUnionWWTP-01		10/3/22 9:00	10/2/22 9:00		Routine Surveillance	0.38		Pass	AJ	10/5/22	10/3/22 9:00	Complete
M04-0011.2054	FarmingtonWWTP-01		3/21/22 10:00	3/20/22 10:00		Routine Surveillance	0.106	7.32	Pass	JL	3/23/22	3/21/22 14:00	Complete
A02-0437.6401	Evansdale-01	GZ	4/4/22 9:00	4/2/22 9:00		Routine Surveillance		7.26	Pass	AJ	4/4/22	4/4/22 9:58	Complete
A02-0295.6829	NorthHighSt-02 (MUB)	GZ	1/17/22 9:00	1/15/22 9:00		Routine Surveillance		8.31				1/19/22 9:33	Complete
E01-0060.4351	PrincetonWWTP-01	TT	2/9/22 9:40	2/8/22 9:40		Routine Surveillance	2.934	7.18	Pass	AJ	2/10/22	2/9/22 9:40	Complete
P01-0029.6612	StMarysWWTP-01		3/5/22 10:30	3/4/22 10:30		Routine Surveillance	0.245	7.2	Pass	JL	3/8/22	3/7/22 11:34	Complete
J01-0070.5081	AlpineLakeWWTP-01		6/15/22 7:30	6/14/22 7:30		Routine Surveillance	0.061	7.07	Pass	AJ	6/22/22	6/15/22 7:30	Complete
D01-0106.2738	CharlesTownWWTP-01		7/11/22 7:40	7/10/22 7:40		Routine Surveillance	1.21	7.2	Pass	AJ	7/15/22	7/11/22 7:40	Complete
R02-0090.5667	ElkinsWWTP-01		9/16/22 6:00	9/15/22 6:00		Routine Surveillance	1.6609		Pass	AJ	9/28/22	9/16/22 6:00	Complete
