extraction_id	concentration_id	extraction_batch_id	extraction_location_in_batch	extraction_location_in_storage	extraction_comment
C01-0719.e1	C01-0719.c1	EB78	A07	B7	
P01-0123.e1	P01-0123.c1	EB78	B02	C2	
A04-0562.e1	A04-0562.c1	EB78	B08	C8	
A01-0977.e1	A01-0977.c1	EB78	A03	B3	
C01-0716.e1	C01-0716.c1	EB78	A04	B4	
H01-0939.e1	H01-0939.c1	EB78	C03	D3	
C01-0717.e1	C01-0717.c1	EB78	A05	B5	
C01-0718.e1	C01-0718.c1	EB78	A06	B6	
A01-0975.e1	A01-0975.c1	EB78	A01	NAB 138 B1	
N03-0464.e1	N03-0464.c1	EB78	C01	D1	
N02-0446.e1	N02-0446.c1	EB78	B01	C1	
T01-0279.e1	T01-0279.c1	EB78	B06	C6	
J01-0417.e1	J01-0417.c1	EB78	C02	D2	
C01-0720.e1	C01-0720.c1	EB78	A08	B8	
R02-0463.e1	R02-0463.c1	EB78	B07	C7	
A01-0976.e1	A01-0976.c1	EB78	A02	B2	
M03-0400.e1	M03-0400.c1	EB78	B05	C5	
M04-0257.e1	M04-0257.c1	EB78	B04	C4	
O01-0490.e1	O01-0490.c1	EB78	B03	C3	
