concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
C01-0720.c1	C01-0720	CB78	B02	
N03-0464.c1	N03-0464	CB78	C05	
C01-0717.c1	C01-0717	CB78	A05	
C01-0716.c1	C01-0716	CB78	A04	
R02-0463.c1	R02-0463	CB78	C03	
A01-0977.c1	A01-0977	CB78	A03	
A04-0562.c1	A04-0562	CB78	C04	
M03-0400.c1	M03-0400	CB78	C01	
H01-0939.c1	H01-0939	CB78	D01	
A01-0975.c1	A01-0975	CB78	A01	
J01-0417.c1	J01-0417	CB78	C06	
C01-0718.c1	C01-0718	CB78	A06	
M04-0257.c1	M04-0257	CB78	B06	
C01-0719.c1	C01-0719	CB78	B01	
A01-0976.c1	A01-0976	CB78	A02	
T01-0279.c1	T01-0279	CB78	C02	
N02-0446.c1	N02-0446	CB78	B03	
P01-0123.c1	P01-0123	CB78	B04	
O01-0490.c1	O01-0490	CB78	B05	
