Sample ID	type	category	Location	Sample Composite Start	Assay Target 1 Result (CN/L)	Assay Target 2 Result (CN/L)	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev
A02-0082	not institution specific	upstream	Evansdale-01	09/04/2021 09:00 AM	6631.827205	1326.224785		48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A01-0201	not institution specific	wwtp	StarCityWWTP-01	03/14/2022 12:00 AM	14191.5022395551	8514.3253672868	11.7	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
D01-0019	not institution specific	wwtp	CharlesTownWWTP-01	02/13/2022 07:25 AM	180646.4794	95756.26999	1.29	24-hr flow-weighted composite	Charles Town	25414		-77.85589	39.27924	17000	Jefferson	2.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A02-0285	not institution specific	upstream	NorthHighSt-02 (MUB)	01/10/2022 09:00 AM	247778.2425	251723.0558		48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
H01-0091	not institution specific	wwtp	MoundsvilleWWTP-01	12/13/2021 08:00 AM	43464.41209	62796.40697		24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A0212	not institution specific	wwtp	StarCityWWTP-01	01/04/2021 12:00 AM	24480	27960	11.872	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
H01-0035	not institution specific	wwtp	MoundsvilleWWTP-01	11/04/2021 08:00 AM	6375	6375		24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A02-0165	not institution specific	upstream	Evansdale-01	10/09/2021 09:00 AM	0	0		48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
H01-0087	not institution specific	wwtp	MoundsvilleWWTP-01	12/09/2021 08:00 AM	16309.98395	0	1.8	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
L01-0016	not institution specific	wwtp	WestUnionWWTP-01	01/23/2022 09:00 AM	2833032.517	2908022.175	0.328	24-hr time-weighted composite	West Union	26456		-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
