Sample ID	type	category	Location	Sample Composite Start	Assay Target 1 Result (CN/L)	Assay Target 2 Result (CN/L)	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	latlong	population_served	counties_served	capacity_mgd	Status: WaTCH	status
H01-0011	not institution specific	wwtp	MoundsvilleWWTP-01	10/8/21 8:00	61621.91659	17238.83137		24-hr flow-weighted composite	Moundsville	26041	-80.75493,39.92986	12000	Marshall	2.34	Complete	active
H01-0101	not institution specific	wwtp	MoundsvilleWWTP-01	1/17/22 8:00	227071.3574	223621.6906	1.7	24-hr flow-weighted composite	Moundsville	26041	-80.75493,39.92986	12000	Marshall	2.34	Complete	active
A1058	not institution specific	wwtp	StarCityWWTP-01	5/27/21 0:00	0	0	7.148	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A02-0153	not institution specific	upstream	Evansdale-01	8/9/21 9:00	0	1444.04335		48-hr time-weighted composite	Evansdale campus (WVU Morgantown)	26505	-79.9721575,39.6500969	-1	Monongalia	-1	Complete	active
A02-0147	not institution specific	upstream	Evansdale-01	10/6/21 9:18	14316.84643	54447.79009		48-hr time-weighted composite	Evansdale campus (WVU Morgantown)	26505	-79.9721575,39.6500969	-1	Monongalia	-1	Complete	active
A01-0034	not institution specific	wwtp	StarCityWWTP-01	9/12/21 0:00	116087.6822	80455.10441	8.154	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A1043	not institution specific	wwtp	StarCityWWTP-01	5/4/21 0:00	0	0	11.798	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
D01-0009	not institution specific	wwtp	CharlesTownWWTP-01	2/16/22 7:40	0	0	1.28	24-hr flow-weighted composite	Charles Town	25414	-77.85589,39.27924	17000	Jefferson	2.25	Complete	active
L01-0009	not institution specific	wwtp	WestUnionWWTP-01	1/31/22 9:10	1794125.44	2055206.201	0.315	24-hr time-weighted composite	West Union	26456	-80.77899,39.29906	564	Doddridge	0.2	Complete	active
A01-0181	not institution specific	wwtp	StarCityWWTP-01	2/21/22 0:00	110520.7685	113094.4924	10.2	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
H01-0050	not institution specific	wwtp	MoundsvilleWWTP-01	11/24/21 8:00	104611.3372	86659.41373	1.6	24-hr flow-weighted composite	Moundsville	26041	-80.75493,39.92986	12000	Marshall	2.34	Complete	active
A03-0159	k12	upstream	SuncrestES-01	1/5/22 6:00	0	0		8-hr time-weighted composite	Suncrest Elementary	26505	-79.97825,39.67137	515	Monongalia	-1	Complete	active
E01-0051	not institution specific	wwtp	PrincetonWWTP-01	1/13/22 12:00	1168929.684	527546.3676	3.716	24-hr time-weighted composite	Princeton	24740	-81.07993,37.38036	36000	Mercer	4.9	Complete	active
A03-0179	k12	upstream	SuncrestES-01	2/16/22 6:00	0	0		8-hr time-weighted composite	Suncrest Elementary	26505	-79.97825,39.67137	515	Monongalia	-1	Complete	active
A0045	not institution specific	wwtp	StarCityWWTP-01	12/21/20 12:00	21336	10668	12.058	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
B01-0031	not institution specific	wwtp	CharlestonWWTP-01	12/9/21 7:00	0	0	6.747	24-hr flow-weighted composite	Charleston	25312	-81.67768,38.37287	50000	Kanawha	14	Complete	active
A02-0054	higher ed dorm	upstream	HonorsSummit-01 (MUB)	8/25/21 9:38	406899.3926	199924.6812		48-hr time-weighted composite	Honors & Summit Halls (WVU Morgantown)	26505	-79.9567626,39.6378753	874	Monongalia	-1	Complete	active
A1101	not institution specific	wwtp	StarCityWWTP-01	7/26/21 0:00	27336.25	31896.25	8.172	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A02-0018	not institution specific	upstream	NorthHighSt-02 (MUB)	8/16/21 10:05	7922.674306	10564.1241		48-hr time-weighted composite	North High Street (WVU Morgantown)	26505	-79.9532029,39.6331164	-1	Monongalia	-1	Complete	active
D01-0023	not institution specific	wwtp	CharlesTownWWTP-01	1/24/22 8:00	1257515.588	121366.1979		24-hr flow-weighted composite	Charles Town	25414	-77.85589,39.27924	17000	Jefferson	2.25	Complete	active
B01-0053	not institution specific	wwtp	CharlestonWWTP-01	11/14/21 7:00	7831.466533	27420.87394		24-hr flow-weighted composite	Charleston	25312	-81.67768,38.37287	50000	Kanawha	14	Complete	active
G01-0094	not institution specific	wwtp	KeyserWWTP-01	2/14/22 9:00	332327.6693	334613.0079	0.871	24-hr time-weighted composite	Keyser	26726	-78.97508,39.44123	8168	Mineral	2.4	Complete	active
A1064	not institution specific	wwtp	StarCityWWTP-01	6/6/21 0:00	0	3705	6.384	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A02-0317	higher ed dorm	upstream	HonorsSummit-01 (MUB)	1/29/22 9:00	549251.9546	493444.0434		48-hr time-weighted composite	Honors & Summit Halls (WVU Morgantown)	26505	-79.9567626,39.6378753	874	Monongalia	-1	Complete	active
K01-0035	not institution specific	wwtp	ParkersburgWWTP-01	2/7/22 6:25	223994.5284	144214.8024	9.554	24-hr flow-weighted composite	Parkersburg	26101	-81.55739,39.28171	48050	Wood	15.5	Complete	active
C01-0076	not institution specific	wwtp	WheelingWWTP-01	2/10/22 7:00	35296.59469	26469.6585	12.769	24-hr flow-weighted composite	Wheeling	26003	-80.72757,40.05588	50000	Ohio	10	Complete	active
A03-0244	k12	upstream	SuncrestES-01	2/23/22 6:00	0	0		8-hr time-weighted composite	Suncrest Elementary	26505	-79.97825,39.67137	515	Monongalia	-1	Complete	active
A03-0182	k12	upstream	MountainviewES-01	1/14/22 6:00	6848.327564	54817.97911		8-hr time-weighted composite	Mountainview Elementary	26501	-79.94331,39.61036	726	Monongalia	-1	Complete	active
G01-0098	not institution specific	wwtp	KeyserWWTP-01	2/4/22 9:00	23109.16241	29714.12055	2.475	24-hr time-weighted composite	Keyser	26726	-78.97508,39.44123	8168	Mineral	2.4	Complete	active
G01-0052	not institution specific	wwtp	KeyserWWTP-01	10/12/21 9:00	82535.56371	55681.60415		24-hr time-weighted composite	Keyser	26726	-78.97508,39.44123	8168	Mineral	2.4	Complete	active
A01-0052	not institution specific	wwtp	StarCityWWTP-01	9/30/21 0:00	195818.4087	291314.5196	7.101	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
B01-0064	not institution specific	wwtp	CharlestonWWTP-01	11/15/21 7:00	10921.63246	21846.11242	7.236	24-hr flow-weighted composite	Charleston	25312	-81.67768,38.37287	50000	Kanawha	14	Complete	active
A0221	not institution specific	wwtp	StarCityWWTP-01	1/17/21 0:00	88398	82296	7.146	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A01-0126	not institution specific	wwtp	StarCityWWTP-01	12/14/21 0:00	9999.228213	20000.84314	7.2	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
H01-0090	not institution specific	wwtp	MoundsvilleWWTP-01	12/12/21 8:00	10865.71125	27169.56172	2.2	24-hr flow-weighted composite	Moundsville	26041	-80.75493,39.92986	12000	Marshall	2.34	Complete	active
A1036	not institution specific	wwtp	StarCityWWTP-01	4/25/21 12:00	28845	38475	8.393	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A02-0005	not institution specific	upstream	Evansdale-01	8/12/21 9:00	0	3062.97486		48-hr time-weighted composite	Evansdale campus (WVU Morgantown)	26505	-79.9721575,39.6500969	-1	Monongalia	-1	Complete	active
A03-0127	k12	upstream	MorgantownHS-01	1/21/22 6:00	0	0		8-hr time-weighted composite	Morgantown High	26501	-79.95736,39.62542	1851	Monongalia	-1	Complete	active
A03-0027	k12	upstream	UniversityHS-01	9/24/21 6:00	0	0		8-hr time-weighted composite	University High	26508	-79.92615,39.68782	1310	Monongalia	-1	Complete	inactive
A01-0124	not institution specific	wwtp	StarCityWWTP-01	12/12/21 0:00	60678.18537	80923.78825	8.1	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A03-0064	k12	upstream	NorthES-01	11/3/21 6:00	1722.890409	3445.899244		8-hr time-weighted composite	North Elementary	26505	-79.95674,39.66064	688	Monongalia	-1	Complete	active
B01-0088	not institution specific	wwtp	CharlestonWWTP-01	2/21/22 7:00	82838.06428	65685.72141	4.7	24-hr flow-weighted composite	Charleston	25312	-81.67768,38.37287	50000	Kanawha	14	Complete	active
A03-0058	k12	upstream	MorgantownHS-01	10/27/21 6:00	0	1684.465921		8-hr time-weighted composite	Morgantown High	26501	-79.95736,39.62542	1851	Monongalia	-1	Complete	active
C01-0004	not institution specific	wwtp	WheelingWWTP-01	9/15/21 7:00	139836.6511	107365.7924		24-hr flow-weighted composite	Wheeling	26003	-80.72757,40.05588	50000	Ohio	10	Complete	active
A01-0114	not institution specific	wwtp	StarCityWWTP-01	12/1/21 0:00	747573.5235	799530.884		24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A02-0246	higher ed dorm	upstream	HonorsSummit-01 (MUB)	12/15/21 9:00	0	4789.368371		48-hr time-weighted composite	Honors & Summit Halls (WVU Morgantown)	26505	-79.9567626,39.6378753	874	Monongalia	-1	Complete	active
O01-0037	not institution specific	wwtp	GraftonWWTP-01	2/21/22 8:40	39699.29494	18318.07885	0.69	24-hr flow-weighted composite	Grafton	26354	-80.01837,39.33877	6071	Taylor	2.3	Complete	active
B01-0033	not institution specific	wwtp	CharlestonWWTP-01	12/13/21 7:00	0	0	7.429	24-hr flow-weighted composite	Charleston	25312	-81.67768,38.37287	50000	Kanawha	14	Complete	active
C01-0008	not institution specific	wwtp	WheelingWWTP-01	9/22/21 7:00	10435.36294	18786.79104	8.449	24-hr flow-weighted composite	Wheeling	26003	-80.72757,40.05588	50000	Ohio	10	Complete	active
A0246	not institution specific	wwtp	StarCityWWTP-01	11/8/20 0:00	119184	49296	6.575	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
B01-0083	not institution specific	wwtp	CharlestonWWTP-01	2/21/22 7:00	126558.0167	47765.90399	9.907	24-hr flow-weighted composite	Charleston	25312	-81.67768,38.37287	50000	Kanawha	14	Complete	active
K01-0018	not institution specific	wwtp	ParkersburgWWTP-01	1/18/22 6:22	1644788.518	1647617.383	6.226	24-hr flow-weighted composite	Parkersburg	26101	-81.55739,39.28171	48050	Wood	15.5	Complete	active
P01-0030	not institution specific	wwtp	StMarysWWTP-01	1/14/22 9:00	247866.7974	182024.2533	0.285	24-hr time-weighted composite	Saint Marys	26170	-81.20511,39.39125	2892	Pleasants	0.525	Complete	active
A02-0168	not institution specific	upstream	NorthHighSt-02 (MUB)	10/11/21 10:10	32602.15431	37495.5824		48-hr time-weighted composite	North High Street (WVU Morgantown)	26505	-79.9532029,39.6331164	-1	Monongalia	-1	Complete	active
G01-0035	not institution specific	wwtp	KeyserWWTP-01	12/6/21 9:00	162644.0272	54144.57612	0.649	24-hr time-weighted composite	Keyser	26726	-78.97508,39.44123	8168	Mineral	2.4	Complete	active
K01-0016	not institution specific	wwtp	ParkersburgWWTP-01	12/27/21 6:30	25321.05211	25321.05211	5.826	24-hr flow-weighted composite	Parkersburg	26101	-81.55739,39.28171	48050	Wood	15.5	Complete	active
A01-0095	not institution specific	wwtp	StarCityWWTP-01	11/21/21 0:00	152652.7119	69056.88554	6.506	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
H01-0074	not institution specific	wwtp	MoundsvilleWWTP-01	1/14/22 8:00	1544955.647	1667913.294		24-hr flow-weighted composite	Moundsville	26041	-80.75493,39.92986	12000	Marshall	2.34	Complete	active
A0232	not institution specific	wwtp	StarCityWWTP-01	2/1/21 0:00	39630	26400	11.395	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
M04-0015	not institution specific	wwtp	FarmingtonWWTP-01	2/18/22 11:30	0	0	0.225	24-hr time-weighted composite	Farmington	26571	-80.24933,39.51181	610	Marion	0.125	Complete	active
C01-0102	not institution specific	wwtp	WheelingWWTP-01	1/9/22 7:00	20975.10863	3495.122753	22.516	24-hr flow-weighted composite	Wheeling	26003	-80.72757,40.05588	50000	Ohio	10	Complete	active
C01-0075	not institution specific	wwtp	WheelingWWTP-01	1/5/22 7:00	50299.15564	12569.13001	15.315	24-hr flow-weighted composite	Wheeling	26003	-80.72757,40.05588	50000	Ohio	10	Complete	active
A02-0058	higher ed dorm	upstream	CollegePark-02	8/25/21 10:03	5361.347646	5361.347646		48-hr time-weighted composite	College Park (WVU Morgantown)	26505	-79.9458019,39.6362083	567	Monongalia	-1	Complete	active
D01-0047	not institution specific	wwtp	CharlesTownWWTP-01	2/8/22 7:30	412429.5938	159440.2859		24-hr flow-weighted composite	Charles Town	25414	-77.85589,39.27924	17000	Jefferson	2.25	Complete	active
G01-0036	not institution specific	wwtp	KeyserWWTP-01	1/14/22 9:00	969868.5551	429417.1894	0.956	24-hr time-weighted composite	Keyser	26726	-78.97508,39.44123	8168	Mineral	2.4	Complete	active
A03-0242	k12	upstream	NorthES-01	2/16/22 6:00	0	0		8-hr time-weighted composite	North Elementary	26505	-79.95674,39.66064	688	Monongalia	-1	Complete	active
A03-0129	k12	upstream	NorthES-01	12/3/21 6:00	0	0		8-hr time-weighted composite	North Elementary	26505	-79.95674,39.66064	688	Monongalia	-1	Complete	active
A1082	not institution specific	wwtp	StarCityWWTP-01	6/30/21 0:00	4797.5	4797.5	7.983	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A02-0142	higher ed dorm	upstream	CollegePark-02	10/2/21 10:00	17028.40373	5107.520949		48-hr time-weighted composite	College Park (WVU Morgantown)	26505	-79.9458019,39.6362083	567	Monongalia	-1	Complete	active
A02-0255	higher ed dorm	upstream	OaklandE-02	12/8/21 9:00	8424.192751	11232.6332		48-hr time-weighted composite	Oakland Hall (WVU Morgantown)	26505	-79.9622118,39.6511596	862	Monongalia	-1	Complete	active
C01-0035	not institution specific	wwtp	WheelingWWTP-01	11/8/21 7:00	11626.55532	7265.963145		24-hr flow-weighted composite	Wheeling	26003	-80.72757,40.05588	50000	Ohio	10	Complete	active
G01-0002	not institution specific	wwtp	KeyserWWTP-01	10/5/21 9:00	290754.2777	323862.5395		24-hr time-weighted composite	Keyser	26726	-78.97508,39.44123	8168	Mineral	2.4	Complete	active
P01-0018	not institution specific	wwtp	StMarysWWTP-01	2/1/22 10:23	229706.516	293737.9396	0.252	24-hr time-weighted composite	Saint Marys	26170	-81.20511,39.39125	2892	Pleasants	0.525	Complete	active
A02-0107	higher ed dorm	upstream	HonorsSummit-01 (MUB)	9/13/21 9:50	50893.70906	34596.4469		48-hr time-weighted composite	Honors & Summit Halls (WVU Morgantown)	26505	-79.9567626,39.6378753	874	Monongalia	-1	Complete	active
C01-0120	not institution specific	wwtp	WheelingWWTP-01	2/2/22 7:00	198524.7713	285846.6482	7.809	24-hr flow-weighted composite	Wheeling	26003	-80.72757,40.05588	50000	Ohio	10	Complete	active
A02-0019	higher ed dorm	upstream	CollegePark-02	8/16/21 10:33	32260.78367	42087.55088		48-hr time-weighted composite	College Park (WVU Morgantown)	26505	-79.9458019,39.6362083	567	Monongalia	-1	Complete	active
A02-0052	higher ed dorm	upstream	OaklandE-02	8/23/21 9:25	6139.847338	0		48-hr time-weighted composite	Oakland Hall (WVU Morgantown)	26505	-79.9622118,39.6511596	862	Monongalia	-1	Complete	active
H01-0094	not institution specific	wwtp	MoundsvilleWWTP-01	12/16/21 8:00	20385.09853	13588.96505		24-hr flow-weighted composite	Moundsville	26041	-80.75493,39.92986	12000	Marshall	2.34	Complete	active
A03-0193	k12	upstream	NorthES-01	1/24/22 6:00	21475.31737	16105.45658		8-hr time-weighted composite	North Elementary	26505	-79.95674,39.66064	688	Monongalia	-1	Complete	active
N02-0045	not institution specific	wwtp	ClarksburgWWTP-01	2/9/22 7:00	93613.57391	86215.41604	11.1	24-hr flow-weighted composite	Clarksburg	26301	-80.33857,39.27931	26498	Harrison	8	Complete	active
B01-0067	not institution specific	wwtp	CharlestonWWTP-01	11/2/21 7:00	14049.76763	15611.3407		24-hr flow-weighted composite	Charleston	25312	-81.67768,38.37287	50000	Kanawha	14	Complete	active
A02-0150	not institution specific	upstream	NorthHighSt-02 (MUB)	10/6/21 9:48	16062.10165	16062.10165		48-hr time-weighted composite	North High Street (WVU Morgantown)	26505	-79.9532029,39.6331164	-1	Monongalia	-1	Complete	active
M04-0003	not institution specific	wwtp	FarmingtonWWTP-01	2/21/22 10:15	2150.699899	0	0.119	24-hr time-weighted composite	Farmington	26571	-80.24933,39.51181	610	Marion	0.125	Complete	active
L01-0035	not institution specific	wwtp	WestUnionWWTP-01	2/15/22 9:00	633710.0065	516999.7877	0.26461	24-hr time-weighted composite	West Union	26456	-80.77899,39.29906	564	Doddridge	0.2	Complete	active
A02-0352	not institution specific	upstream	NorthHighSt-02 (MUB)	2/14/22 9:00	36696.61134	11287.84413		48-hr time-weighted composite	North High Street (WVU Morgantown)	26505	-79.9532029,39.6331164	-1	Monongalia	-1	Complete	active
A02-0151	not institution specific	upstream	NorthHighSt-02 (MUB)	8/9/21 9:00	0	1357.84701		48-hr time-weighted composite	North High Street (WVU Morgantown)	26505	-79.9532029,39.6331164	-1	Monongalia	-1	Complete	active
D01-0013	not institution specific	wwtp	CharlesTownWWTP-01	1/16/22 7:15	267380.5949	20827.79244		24-hr flow-weighted composite	Charles Town	25414	-77.85589,39.27924	17000	Jefferson	2.25	Complete	active
A03-0110	k12	upstream	SuncrestES-01	11/8/21 6:00	0	4923.266172		8-hr time-weighted composite	Suncrest Elementary	26505	-79.97825,39.67137	515	Monongalia	-1	Complete	active
L01-0022	not institution specific	wwtp	WestUnionWWTP-01	1/17/22 9:00	2060106.161	2129078.636	0.309	24-hr time-weighted composite	West Union	26456	-80.77899,39.29906	564	Doddridge	0.2	Complete	active
N03-0030	not institution specific	wwtp	SalemWWTP-01	2/13/22 10:50	20757.3906	20757.3906	4.857	24-hr time-weighted composite	Salem	26426	-80.54515,39.28597	1853	Harrison	0.4	Complete	active
H01-0077	not institution specific	wwtp	MoundsvilleWWTP-01	11/29/21 8:00	95816.61746	106476.4349	1.2	24-hr flow-weighted composite	Moundsville	26041	-80.75493,39.92986	12000	Marshall	2.34	Complete	active
A04-0008	not institution specific	wwtp	CheatLakeWWTP-01	2/3/22 9:00	75567.22641	85327.76043	3.96	24-hr time-weighted composite	Cheat Lake	26508	-79.857,39.67712	2000	Monongalia	0.75	Complete	active
A03-0115	k12	upstream	MountainviewES-01	12/6/21 6:00	12723.28254	10178.31707		8-hr time-weighted composite	Mountainview Elementary	26501	-79.94331,39.61036	726	Monongalia	-1	Complete	active
K01-0045	not institution specific	wwtp	ParkersburgWWTP-01	1/4/22 6:27	31563.30753	37304.64287	7.866	24-hr flow-weighted composite	Parkersburg	26101	-81.55739,39.28171	48050	Wood	15.5	Complete	active
A03-0088	k12	upstream	MountainviewES-01	12/8/21 6:00	0	0		8-hr time-weighted composite	Mountainview Elementary	26501	-79.94331,39.61036	726	Monongalia	-1	Complete	active
G01-0090	not institution specific	wwtp	KeyserWWTP-01	2/13/22 9:00	217122.3915	236476.6949	0.982	24-hr time-weighted composite	Keyser	26726	-78.97508,39.44123	8168	Mineral	2.4	Complete	active
A02-0175	not institution specific	upstream	NorthHighSt-02 (MUB)	10/16/21 9:00	2460.750965	19692.79416		48-hr time-weighted composite	North High Street (WVU Morgantown)	26505	-79.9532029,39.6331164	-1	Monongalia	-1	Complete	active
L01-0024	not institution specific	wwtp	WestUnionWWTP-01	1/15/22 9:00	813846.2377	807165.463	0.285	24-hr time-weighted composite	West Union	26456	-80.77899,39.29906	564	Doddridge	0.2	Complete	active
L01-0018	not institution specific	wwtp	WestUnionWWTP-01	1/21/22 9:00	194667.154	191415.2876	0.398	24-hr time-weighted composite	West Union	26456	-80.77899,39.29906	564	Doddridge	0.2	Complete	active
A02-0300	not institution specific	upstream	NorthHighSt-02 (MUB)	1/19/22 9:00	2935788.431	3504603.667		48-hr time-weighted composite	North High Street (WVU Morgantown)	26505	-79.9532029,39.6331164	-1	Monongalia	-1	Complete	active
E01-0065	not institution specific	wwtp	PrincetonWWTP-01	2/16/22 9:15	379737.1835	481004.8038	2.122	24-hr time-weighted composite	Princeton	24740	-81.07993,37.38036	36000	Mercer	4.9	Complete	active
A02-0252	higher ed dorm	upstream	CollegePark-02	12/8/21 9:00	0	0		48-hr time-weighted composite	College Park (WVU Morgantown)	26505	-79.9458019,39.6362083	567	Monongalia	-1	Complete	active
A1077	not institution specific	wwtp	StarCityWWTP-01	6/23/21 0:00	0	3942.5	11.82	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A1059	not institution specific	wwtp	StarCityWWTP-01	5/30/21 0:00	3491.25	6982.5	8.082	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A02-0114	higher ed dorm	upstream	CollegePark-02	9/15/21 10:57	150563.668	137516.1409		48-hr time-weighted composite	College Park (WVU Morgantown)	26505	-79.9458019,39.6362083	567	Monongalia	-1	Complete	active
A01-0168	not institution specific	wwtp	StarCityWWTP-01	2/2/22 0:00	117034.889	114371.3786	19.1	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A02-0319	not institution specific	upstream	NorthHighSt-02 (MUB)	1/29/22 9:00	989879.2827	1032752.978		48-hr time-weighted composite	North High Street (WVU Morgantown)	26505	-79.9532029,39.6331164	-1	Monongalia	-1	Complete	active
C01-0103	not institution specific	wwtp	WheelingWWTP-01	1/10/22 7:00	198800.2038	165133.8762	12.749	24-hr flow-weighted composite	Wheeling	26003	-80.72757,40.05588	50000	Ohio	10	Complete	active
A02-0159	higher ed dorm	upstream	OaklandE-02	10/4/21 10:00	2088.389946	12532.7725		48-hr time-weighted composite	Oakland Hall (WVU Morgantown)	26505	-79.9622118,39.6511596	862	Monongalia	-1	Complete	active
G01-0017	not institution specific	wwtp	KeyserWWTP-01	12/18/21 9:00	95299.17508	67481.19235	0.559	24-hr time-weighted composite	Keyser	26726	-78.97508,39.44123	8168	Mineral	2.4	Complete	active
C01-0070	not institution specific	wwtp	WheelingWWTP-01	12/29/21 7:00	65358.27801	62243.66494	15.315	24-hr flow-weighted composite	Wheeling	26003	-80.72757,40.05588	50000	Ohio	10	Complete	active
A02-0361	not institution specific	upstream	NorthHighSt-02 (MUB)	2/19/22 9:00	28843.56905	24721.84338		48-hr time-weighted composite	North High Street (WVU Morgantown)	26505	-79.9532029,39.6331164	-1	Monongalia	-1	Complete	active
B01-0090	not institution specific	wwtp	CharlestonWWTP-01	2/8/22 7:00	324225.4293	360695.3788	11.102	24-hr flow-weighted composite	Charleston	25312	-81.67768,38.37287	50000	Kanawha	14	Complete	active
N03-0040	not institution specific	wwtp	SalemWWTP-01	2/11/22 12:45	9055.803213	6036.984315	6.803	24-hr time-weighted composite	Salem	26426	-80.54515,39.28597	1853	Harrison	0.4	Complete	active
A1024	not institution specific	wwtp	StarCityWWTP-01	4/7/21 12:00	46728	33372	9.15	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A03-0111	k12	upstream	NorthES-01	11/8/21 6:00	0	0		8-hr time-weighted composite	North Elementary	26505	-79.95674,39.66064	688	Monongalia	-1	Complete	active
K01-0006	not institution specific	wwtp	ParkersburgWWTP-01	12/20/21 6:35	28460.23735	0	4.916	24-hr flow-weighted composite	Parkersburg	26101	-81.55739,39.28171	48050	Wood	15.5	Complete	active
H01-0004	not institution specific	wwtp	MoundsvilleWWTP-01	10/1/21 8:00	35406.5913	17697.02725		24-hr flow-weighted composite	Moundsville	26041	-80.75493,39.92986	12000	Marshall	2.34	Complete	active
A02-0042	not institution specific	upstream	NorthHighSt-02 (MUB)	8/25/21 9:48	1513566.399	1281789.131		48-hr time-weighted composite	North High Street (WVU Morgantown)	26505	-79.9532029,39.6331164	-1	Monongalia	-1	Complete	active
G01-0063	not institution specific	wwtp	KeyserWWTP-01	10/27/21 9:00	91382.07674	28082.003		24-hr time-weighted composite	Keyser	26726	-78.97508,39.44123	8168	Mineral	2.4	Complete	active
H01-0053	not institution specific	wwtp	MoundsvilleWWTP-01	12/25/21 8:00	13205.13116	10563.77219	2.6	24-hr flow-weighted composite	Moundsville	26041	-80.75493,39.92986	12000	Marshall	2.34	Complete	active
H01-0041	not institution specific	wwtp	MoundsvilleWWTP-01	11/16/21 8:00	43764.46769	51062.9864		24-hr flow-weighted composite	Moundsville	26041	-80.75493,39.92986	12000	Marshall	2.34	Complete	active
A02-0353	higher ed dorm	upstream	CollegePark-02	2/14/22 9:00	0	0		48-hr time-weighted composite	College Park (WVU Morgantown)	26505	-79.9458019,39.6362083	567	Monongalia	-1	Complete	active
M03-0015	not institution specific	wwtp	ManningtonWWTP-01	2/17/22 11:30	250986.8762	64063.0158	0.354	24-hr time-weighted composite	Mannington	26582	-80.32371,39.51814	1091	Marion	0.25	Complete	active
A01-0047	not institution specific	wwtp	StarCityWWTP-01	9/21/21 0:00	186878.9375	80527.74131	7.79	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
E01-0059	not institution specific	wwtp	PrincetonWWTP-01	2/7/22 9:00	240602.3383	303595.9554	3.445	24-hr time-weighted composite	Princeton	24740	-81.07993,37.38036	36000	Mercer	4.9	Complete	active
A02-0229	higher ed dorm	upstream	CollegePark-02	11/17/21 10:15	0	0		48-hr time-weighted composite	College Park (WVU Morgantown)	26505	-79.9458019,39.6362083	567	Monongalia	-1	Complete	active
A03-0228	k12	upstream	SuncrestES-01	1/31/22 6:00	15097.35446	15097.35446		8-hr time-weighted composite	Suncrest Elementary	26505	-79.97825,39.67137	515	Monongalia	-1	Complete	active
E02-0086	not institution specific	wwtp	AthensWWTP-01	1/10/22 8:00	411899.0457	422938.6657	0.529	24-hr time-weighted composite	Athens	24740	-81.01598,37.42163	2391	Mercer	0.5	Complete	active
D01-0001	not institution specific	wwtp	CharlesTownWWTP-01	1/23/22 8:00	1319094.093	612127.4078		24-hr flow-weighted composite	Charles Town	25414	-77.85589,39.27924	17000	Jefferson	2.25	Complete	active
B01-0005	not institution specific	wwtp	CharlestonWWTP-01	9/23/21 7:00	0	0		24-hr flow-weighted composite	Charleston	25312	-81.67768,38.37287	50000	Kanawha	14	Complete	active
C01-0031	not institution specific	wwtp	WheelingWWTP-01	11/1/21 7:00	5703.530684	12834.77522		24-hr flow-weighted composite	Wheeling	26003	-80.72757,40.05588	50000	Ohio	10	Complete	active
A0037	not institution specific	wwtp	StarCityWWTP-01	12/9/20 12:00	85800	85800	6.932	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
