concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
R01-0496.c1	R01-0496	CB67	A06	
J01-0410.c1	J01-0410	CB67	A01	
K01-0395.c1	K01-0395	CB67	A04	
D01-0534.c1	D01-0534	CB67	A05	
P01-0119.c1	P01-0119	CB67	A02	
O01-0503.c1	O01-0503	CB67	A03	
A01-0936.c1	A01-0936	CB66	B01	
M04-0258.c1	M04-0258	CB66	C02	
U01-0093.c1	U01-0093	CB66	C05	
Q01-0512.c1	Q01-0512	CB66	D01	
C01-0681.c1	C01-0681	CB66	B02	
A01-0932.c1	A01-0932	CB66	A03	
C01-0684.c1	C01-0684	CB66	B05	
A01-0933.c1	A01-0933	CB66	A04	
M03-0379.c1	M03-0379	CB66	C01	
H01-0932.c1	H01-0932	CB66	D05	
G01-0486.c1	G01-0486	CB66	D02	
A01-0935.c1	A01-0935	CB66	A06	
C01-0682.c1	C01-0682	CB66	B03	
A01-0934.c1	A01-0934	CB66	A05	
A01-0931.c1	A01-0931	CB66	A02	
C01-0683.c1	C01-0683	CB66	B04	
T01-0267.c1	T01-0267	CB66	D06	
D01-0528.c1	D01-0528	CB66	D03	
C01-0685.c1	C01-0685	CB66	B06	
U01-0110.c1	U01-0110	CB66	D04	
R02-0474.c1	R02-0474	CB66	C06	
A01-0930.c1	A01-0930	CB66	A01	
K01-0380.c1	K01-0380	CB66	C04	
N02-0365.c1	N02-0365	CB66	C03	
