sample_id	sbatch_id	variant	proportion	aliases
A01-0979	SARS_20240909	KP.6	0.00197101	KP.6
A01-0979	SARS_20240909	KP.3.1.1	0.20385378	KP.3.1.1
A01-0979	SARS_20240909	JN.1.13	0.02034333	JN.1.13
A01-0979	SARS_20240909	LW.1	0.01910119	LW.1
A01-0979	SARS_20240909	KP.3	0.05339378	KP.3
A01-0979	SARS_20240909	KP.3.1.3	0.00123960	KP.3.1.3
A01-0979	SARS_20240909	KP.3.3.4	0.00722626	KP.3.3.4
A01-0979	SARS_20240909	MC.13	0.00207334	MC.13
A01-0979	SARS_20240909	KP.2.15	0.03490319	KP.2.15
A01-0979	SARS_20240909	MC.10	0.03641720	MC.10
A01-0979	SARS_20240909	MC.6	0.04109800	MC.6
A01-0979	SARS_20240909	XDV.1.3	0.00133740	XDV.1.3
A01-0979	SARS_20240909	XDV.1	0.00135246	XDV.1
A01-0979	SARS_20240909	KP.3.2.3	0.06870472	KP.3.2.3
A01-0979	SARS_20240909	LB.1.2.2	0.01956950	LB.1.2.2
A01-0979	SARS_20240909	LB.1.3	0.20076720	LB.1.3
A01-0979	SARS_20240909	MC.1	0.07557326	MC.1
A01-0979	SARS_20240909	KP.2.3.6	0.10877285	KP.2.3.6
A01-0979	SARS_20240909	LB.1.5	0.00104151	LB.1.5
A01-0979	SARS_20240909	XDV	0.03144371	XDV,XDE,JN.1
A01-0979	SARS_20240909	MC.11	0.03771930	MC.11
A02-1342	SARS_20240909	MC.10	0.04384900	MC.10
A02-1342	SARS_20240909	MC.2.1	0.00199501	MC.2.1
A02-1342	SARS_20240909	XDV.1	0.00151333	XDV.1
A02-1342	SARS_20240909	MC.11.1	0.00110496	MC.11.1
A02-1342	SARS_20240909	JN.1.32.1	0.00104322	JN.1.32.1
A02-1342	SARS_20240909	JN.1.11.1	0.03473590	JN.1.11.1
A02-1342	SARS_20240909	JN.1.9	0.00102150	JN.1.9
A02-1342	SARS_20240909	XDV	0.03340770	XDV,XDE,JN.1
A02-1342	SARS_20240909	KP.2.2	0.00137811	KP.2.2
A02-1342	SARS_20240909	KV.1	0.00116930	KV.1
A02-1342	SARS_20240909	XDY	0.25677471	XDY,KP.3.2,LB.1.2.1
A02-1342	SARS_20240909	MC.16	0.04761900	MC.16
A02-1342	SARS_20240909	JN.1.1.8	0.00526316	JN.1.1.8
A02-1342	SARS_20240909	JN.1.52	0.00109736	JN.1.52
A02-1342	SARS_20240909	KP.2.3.1	0.00112108	KP.2.3.1
A02-1342	SARS_20240909	KP.3.3.4	0.00433260	KP.3.3.4
A02-1342	SARS_20240909	KP.1	0.00188054	KP.1
A02-1342	SARS_20240909	MC.13	0.00252635	MC.13
A02-1342	SARS_20240909	LB.1.2.1	0.09753822	LB.1.2.1,XDY
A02-1342	SARS_20240909	KP.2.15	0.01487310	KP.2.15
A02-1342	SARS_20240909	LK.1	0.00136318	LK.1
A02-1342	SARS_20240909	KP.1.2	0.00195519	KP.1.2
A02-1342	SARS_20240909	KP.3.1	0.19095473	KP.3.1
A02-1342	SARS_20240909	XDV.1.3	0.00156130	XDV.1.3
A02-1342	SARS_20240909	KS.1.2	0.00262263	KS.1.2
A02-1342	SARS_20240909	JN.1.48	0.00164024	JN.1.48
A02-1342	SARS_20240909	MC.11	0.00447228	MC.11
