concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
O01-0587.c1	O01-0587	CB199	C05	
L01-1000.c1	L01-1000	CB199	B06	
P01-1002.c1	P01-1002	CB199	A06	
G01-0651.c1	G01-0651	CB199	C03	
C01-1121.c1	C01-1121	CB199	B02	
A01-1415.c1	A01-1415	CB199	A02	
A01-1413.c1	A01-1413	CB199	C01	
C01-1123.c1	C01-1123	CB199	D02	
Q01-1000.c1	Q01-1000	CB199	C04	
A04-0573.c1	A04-0573	CB199	B05	
Q01-1001.c1	Q01-1001	CB199	A05	
U01-0182.c1	U01-0182	CB199	D04	
C01-1125.c1	C01-1125	CB199	B03	
C01-1124.c1	C01-1124	CB199	A03	
A01-1414.c1	A01-1414	CB199	D01	
C01-1122.c1	C01-1122	CB199	C02	
A01-1411.c1	A01-1411	CB199	A01	
A01-1412.c1	A01-1412	CB199	B01	
H01-1008.c1	H01-1008	CB199	A04	
R02-1001.c1	R02-1001	CB199	D03	
T01-0424.c1	T01-0424	CB199	B04	
N02-1000.c1	N02-1000	CB199	D05	
