Asset Tag ID,Description,Site,Location,Category,Department,Sample Collection Method,Sample Collection By,Sample Retrieved Date/Time,Sample Collection Start,Sample Collection End,Sample Received By,Sample Received Date,Assay Date,Comments,Sample pH (Lab),"Control, Process (Type)","Control, Internal (Type)",Sample QC Check,Assay Target 1,Assay Target 1 Result (CN/L),Assay Target 2,Assay Target 2 Result (CN/L),Sample Flow (MGD),Status: WaTCH
A02-0420,A02-0420,Monongalia,NorthHighSt-02,Sample,WVU Morgantown,Composite,GZ,03/25/2022 10:54 AM,03/23/2022 09:00 AM,03/25/2022 09:00 AM,,,03/30/2022,,7.23,,,,SARS-CoV-2 N1,9473.36968,SARS-CoV-2 N2,3157.55198,,Complete
A02-0421,A02-0421,Monongalia,NorthHighSt-02,Sample,WVU Morgantown,Composite,GZ,03/28/2022 10:25 AM,03/26/2022 09:00 AM,03/28/2022 09:00 AM,,,03/30/2022,,7.12,,,,SARS-CoV-2 N1,0,SARS-CoV-2 N2,0,,Processing
A02-0422,A02-0422,Monongalia,CollegePark-02,Sample,WVU Morgantown,Composite,GZ,03/28/2022 10:43 AM,03/26/2022 09:00 AM,03/28/2022 09:00 AM,,,03/30/2022,,6.84,,,,SARS-CoV-2 N1,0,SARS-CoV-2 N2,0,,Complete
A02-0424,A02-0424,Monongalia,Evansdale-01,Sample,WVU Morgantown,Composite,GZ,03/28/2022 09:36 AM,03/26/2022 09:00 AM,03/28/2022 09:00 AM,,,03/30/2022,,7.42,,,,SARS-CoV-2 N1,0,SARS-CoV-2 N2,0,,Complete
A02-0447,A02-0447,Monongalia,CollegePark-02,Sample,WVU Morgantown,Composite,GZ,04/13/2022 10:10 AM,04/11/2022 09:00 AM,04/13/2022 09:00 AM,,,04/14/2022,,6.86,,,,SARS-CoV-2 N1,76523.23052,SARS-CoV-2 N2,82651.13577,,Complete
A02-0448,A02-0448,Monongalia,Evansdale-01,Sample,WVU Morgantown,Composite,GZ,04/13/2022 08:54 AM,04/11/2022 09:00 AM,04/13/2022 08:54 AM,,,04/14/2022,,7.3,,,,SARS-CoV-2 N1,2802.61911,SARS-CoV-2 N2,0,,Complete
A02-0450,A02-0450,Monongalia,HonorsSummit-01,Sample,WVU Morgantown,Composite,GZ,04/13/2022 09:31 AM,04/11/2022 09:00 AM,04/13/2022 09:00 AM,,,04/14/2022,,7.4,,,,SARS-CoV-2 N1,157871.1498,SARS-CoV-2 N2,116111.5175,,Complete
A02-0550,A02-0550,Monongalia,OaklandE-02,Sample,WVU Morgantown,Composite,GZ,05/13/2022 10:07 AM,05/11/2022 09:00 AM,05/13/2022 09:00 AM,,,05/16/2022,,7.1,,,,SARS-CoV-2 N1,6661.64856,SARS-CoV-2 N2,0,,Processing
A02-0878,Sample,Monongalia,NorthHighSt-02,Sample,WVU Morgantown,Composite,GZ,11/14/2022 10:30 AM,11/12/2022 09:00 AM,11/14/2022 09:00 AM,,,11/21/2022,,,,,,SARS-CoV-2 N1,0,SARS-CoV-2 N2,0,,Complete
A02-0959,Sample ,Monongalia,MtValley-01,Sample,WVU Morgantown,Composite,GZ,01/20/2023 11:26 AM,01/18/2023 09:00 AM,01/20/2023 09:00 AM,,,,,,,,,,,,,,
A02-0960,Sample ,Monongalia,Evansdale-01,Sample,WVU Morgantown,Composite,GZ,01/20/2023 11:42 AM,01/18/2023 09:00 AM,01/20/2023 09:00 AM,,,,,,,,,,,,,,
A02-0961,Sample ,Monongalia,TowersBB-01,Sample,WVU Morgantown,Composite,GZ,01/20/2023 11:54 AM,01/18/2023 09:00 AM,01/20/2023 09:00 AM,,,,,,,,,,,,,,
A02-0962,Sample ,Monongalia,OaklandE-02,Sample,WVU Morgantown,Composite,GZ,01/20/2023 12:04 PM,01/18/2023 09:00 AM,01/20/2023 09:00 AM,,,,,,,,,,,,,,
A02-0963,Sample ,Monongalia,UPlace-01,Sample,WVU Morgantown,Composite,GZ,01/20/2023 12:13 PM,01/18/2023 09:00 AM,01/20/2023 09:00 AM,,,,,,,,,,,,,,
