concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
R02-0387.c1	R02-0387	CB35	C05	
G01-0528.c1	G01-0528	CB35	D02	
C01-0630.c1	C01-0630	CB35	B05	
A01-0829.c1	A01-0829	CB35	A02	
C01-0626.c1	C01-0626	CB35	B01	
E01-0419.c1	E01-0419	CB35	C01	
Q01-0497.c1	Q01-0497	CB35	D04	
A01-0831.c1	A01-0831	CB35	A04	
E01-0418.c1	E01-0418	CB35	B06	
E01-0421.c1	E01-0421	CB35	C03	
P01-0102.c1	P01-0102	CB35	C06	
C01-0628.c1	C01-0628	CB35	B03	
A01-0832.c1	A01-0832	CB35	A05	
C01-0627.c1	C01-0627	CB35	B02	
D01-0404.c1	D01-0404	CB35	D05	
E01-0420.c1	E01-0420	CB35	C02	
N02-0448.c1	N02-0448	CB35	D01	
A01-0828.c1	A01-0828	CB35	A01	
C01-0629.c1	C01-0629	CB35	B04	
H01-0910.c1	H01-0910	CB35	C04	
M04-0213.c1	M04-0213	CB35	D06	
A01-0830.c1	A01-0830	CB35	A03	
A01-0833.c1	A01-0833	CB35	A06	
T01-0258.c1	T01-0258	CB35	D03	
K01-0400.c1	K01-0400	CB36	B01	
A04-0550.c1	A04-0550	CB36	A01	
N03-0492.c1	N03-0492	CB36	A05	
U01-0067.c1	U01-0067	CB36	A02	
O01-0469.c1	O01-0469	CB36	A03	
J01-0398.c1	J01-0398	CB36	A06	
M03-0287.c1	M03-0287	CB36	A04	
