Sample ID	type	category	group	level	county_population	Location	status	Sample Composite Start	Sample Composite End	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	responsible_lab	responsible_lab_abbrev	daily_flow	flua	flub	flua.load	flub.load	flua.loadcap	flub.loadcap	flua.day5.mean	flua.day5.ci	flua.load.day5.mean	flua.load.day5.ci	flua.loadcap.day5.mean	flua.loadcap.day5.ci	flub.day5.mean	flub.day5.ci	flub.load.day5.mean	flub.load.day5.ci	flub.loadcap.day5.mean	flub.loadcap.day5.ci
Q01-0223	not institution specific	wwtp	WWTP	WWTP	21809	MadisonWWTP-01	active	01/05/2023 08:00 AM	01/06/2023 08:00 AM	01/17/2023	24-hr time-weighted composite	Danville	25053		-81.8472888	38.102484	4555	Boone	0.5	NA	NA	0.466	2380	582	4198.3225228	1026.64861692	0.921695394687157	0.22538937802854	2376.34582516849	2960.65327238605	4356.49042041326	6715.17413806089	0.956419411726292	1.4742424013306	1554.06001283526	2033.57828021339	2938.9073315316	4243.80720910449	0.645204683102437	0.931681055785838
L01-0321	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	active	12/26/2022 09:00 AM	12/27/2022 09:00 AM	12/28/2022	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	NA	NA	0.256	2357	2339	2284.08611072	2266.64294144	4.04979806865248	4.0188704635461	938.8	1691.50503860027	1004.41690399	1879.88020969173	1.78088103544326	3.33312093916973	1880	1999.90298498014	1749.233418508	1988.39678491152	3.10147769239007	3.52552621438212
A02-0933	higher ed dorm	upstream	Sewer Network	Dormitory	105612	OaklandE-02	active	12/10/2022 09:00 AM	12/12/2022 09:00 AM	12/12/2022	48-hr time-weighted composite	WVU Oakland Hall	26505	Isolates WVU Oakland Hall.	-79.9622118	39.6511596	862	Monongalia	-1	NA	NA	NA	2698.32702353597	2698.32702353597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
L01-0288	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	active	12/14/2022 09:00 AM	12/15/2022 09:00 AM	12/21/2022	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	NA	NA	0.371	2717	2441	3815.71977787	3428.10893551	6.76546059906028	6.07820733246454	11993.1270024955	20996.4859500537	12906.6251304507	23158.7224608667	22.8840871107282	41.0615646469268	1401.8	1596.17295021507	1574.246784602	2267.43876285775	2.79121770319504	4.02028149442863
R02-0220	not institution specific	wwtp	WWTP	WWTP	28695	ElkinsWWTP-01	active	12/12/2022 06:00 AM	12/13/2022 06:00 AM	12/14/2022	24-hr time-weighted composite	Elkins	26241		-79.86543	38.92026	13156	Randolph	4.99	NA	NA	2.129	21683.1721365452	2483	174747.674141024	20010.83938087	13.2827359486944	1.52104282311265	8113.7907268852	14618.1671307135	100075.728791143	148062.627653214	7.60685077463838	11.2543803324122	1222	1900.26841477816	12934.9607541634	15635.5732672911	0.983198597914518	1.18847470867217
N02-0212	not institution specific	wwtp	WWTP	WWTP	67256	ClarksburgWWTP-01	active	12/27/2022 07:00 AM	12/28/2022 07:00 AM	01/04/2023	24-hr flow-weighted composite	Clarksburg	26301		-80.33857	39.27931	26498	Harrison	8	NA	NA	7.56	1458	96	41724.6060168	2747.2991616	1.57463227476791	0.103679491342743	1066.8	1063.7542946505	40711.571248404	59963.6063537362	1.53640166232938	2.26294838681169	901.2	1138.0889832579	32865.94410988	43203.4188164305	1.24031791493245	1.63044074331763
M04-0171	not institution specific	wwtp	WWTP	WWTP	56072	FarmingtonWWTP-01	active	01/03/2023 12:00 AM	01/04/2023 12:00 AM	01/11/2023	24-hr time-weighted composite	Farmington	26571		-80.24933	39.51181	610	Marion	0.125	NA	NA	0.424	2547	35	4087.97025048	56.1754844	6.70159057455738	0.0920909580327869	1597.8	1840.2631577441	1266.481595372	3015.60624219681	2.07619933667541	4.94361679048657	1656	2732.49568176739	657.412911782	1156.08599755804	1.07772608488852	1.89522294681647
E01-0236	not institution specific	wwtp	WWTP	WWTP	58758	PrincetonWWTP-01	active	02/09/2023 10:00 AM	02/10/2023 10:00 AM	02/20/2023	24-hr time-weighted composite	Princeton	24740		-81.07993	37.38036	36000	Mercer	4.9	NA	NA	2.595	1930	66	18958.6581735	648.3271707	0.526629393708333	0.018009088075	2211.94524845779	764.405886564932	32902.79452811	26205.2656435631	0.913966514669722	0.72792404565453	1124.6	1747.7082845074	15493.242508276	20804.9373346372	0.430367847452111	0.577914925962145
L01-0287	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	active	12/15/2022 09:00 AM	12/16/2022 09:00 AM	12/21/2022	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	NA	NA	0.474	1358	2518	2436.63813372	4518.00796812	4.32028037893617	8.01065242574468	10019.7544903696	22797.86126619	11209.9304181331	24773.3866825675	19.8757631527183	43.9244444726375	1789.2	1548.11943694914	2364.803165232	2995.99077570541	4.19291341353192	5.31204038245641
N03-0250	not institution specific	wwtp	WWTP	WWTP	67256	SalemWWTP-01	active	01/15/2023 07:30 AM	01/16/2023 07:30 AM	01/18/2023	24-hr time-weighted composite	Salem	26426		-80.54515	39.28597	1853	Harrison	0.4	NA	NA	0.6346	2736	1521	6572.477164896	3653.778423906	3.54693856713222	1.97181782185969	1714.88493272066	2878.38302926959	4088.00658985287	6641.41441087563	2.20615574196053	3.58414161407212	1093	1813.28035879711	2788.48021302408	4523.93361801659	1.5048463103206	2.44141047923183
