Sample ID	type	category	group	level	county_population	Location	status	Sample Composite Start	Sample Composite End	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	responsible_lab	responsible_lab_abbrev	daily_flow	flua	flub	flua.load	flub.load	flua.loadcap	flub.loadcap	flua.day5.mean	flua.day5.ci	flua.load.day5.mean	flua.load.day5.ci	flua.loadcap.day5.mean	flua.loadcap.day5.ci	flub.day5.mean	flub.day5.ci	flub.load.day5.mean	flub.load.day5.ci	flub.loadcap.day5.mean	flub.loadcap.day5.ci
J01-0199	not institution specific	wwtp	WWTP	WWTP	33432	AlpineLakeWWTP-01	active	12/22/2022 07:30 AM	12/23/2022 07:30 AM	01/04/2023	24-hr time-weighted composite	Alpine Lake	26764		-79.50179	39.45709	700	Preston	0.15	NA	NA	0.15	2499	2503	1418.9609385	1421.2321845	2.027087055	2.03033169214286	1703.8	1962.95616174166	716.656849528	966.945702599064	1.02379549932571	1.38135100371295	1746.6	1830.38670519598	743.410613244	906.646718461051	1.06201516177714	1.2952095978015
J01-0196	not institution specific	wwtp	WWTP	WWTP	33432	AlpineLakeWWTP-01	active	12/19/2022 07:30 AM	12/20/2022 07:30 AM	12/21/2022	24-hr time-weighted composite	Alpine Lake	26764		-79.50179	39.45709	700	Preston	0.15	NA	NA	0.1	1415	1259	535.635515	476.583119	0.765193592857143	0.680833027142857	1110.05042322651	1331.09409132051	545.348344270019	699.949454205883	0.779069063242884	0.99992779172269	1557.4	1351.89032484886	721.791379652	633.90423423098	1.03113054236	0.905577477472829
B01-0350	not institution specific	wwtp	WWTP	WWTP	183279	CharlestonWWTP-01	active	01/18/2023 08:00 AM	01/19/2023 08:00 AM	01/25/2023	24-hr flow-weighted composite	Charleston	25312		-81.67768	38.37287	50000	Kanawha	14	NA	NA	13.1	9180.29587715864	134	455240.507994252	6644.908714	9.10481015988503	0.13289817428	3808.59653442949	5544.53375430408	205780.45664974	263774.788190765	4.1156091329948	5.2754957638153	1030.09002082646	1686.7228114951	63278.9133207753	100785.746472041	1.26557826641551	2.01571492944083
H01-0458	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	active	01/09/2023 08:00 AM	01/10/2023 08:00 AM	01/17/2023	24-hr flow-weighted composite	Moundsville	26041	NA	-80.75493	39.92986	12000	Marshall	2.34	NA	NA	2.1	405	772	3219.491205	6136.906692	0.26829093375	0.511408891	1494.71351560503	2181.8334554367	13254.8092196508	19871.8754624391	1.1045674349709	1.65598962186993	1641.51766260117	1336.28387174843	14082.777525462	10817.8349247862	1.1735647937885	0.901486243732182
M03-0182	not institution specific	wwtp	WWTP	WWTP	56072	ManningtonWWTP-01	active	12/27/2022 11:00 AM	12/28/2022 11:00 AM	01/11/2023	24-hr time-weighted composite	Mannington	26582		-80.32371	39.51814	1091	Marion	0.25	NA	NA	0.181	1689	1947	1157.23390569	1334.00498187	1.0607093544363	1.22273600538039	1726.44743797183	2431.66677360608	1362.27122268958	2540.37622180188	1.24864456708486	2.32848416297148	1750.2	1136.91277051547	1290.01473226	1320.10739254002	1.18241496999083	1.20999761002752
D01-0235	not institution specific	wwtp	WWTP	WWTP	57146	CharlesTownWWTP-01	active	01/03/2023 07:30 AM	01/04/2023 07:30 AM	01/11/2023	24-hr flow-weighted composite	Charles Town	25414		-77.85589	39.27924	17000	Jefferson	2.25	NA	NA	1.23	590	2505	2747.072037	11663.4160215	0.161592472764706	0.686083295382353	1178.8	1197.54661611701	5384.0643512	5573.45130327354	0.316709667717647	0.32785007666315	1284.6	1510.81344177429	5910.06221234	7150.87005011208	0.347650718372941	0.420639414712475
A02-0921	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	active	12/12/2022 09:00 AM	12/14/2022 09:00 AM	12/14/2022	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	NA	NA	NA	2258.968209	2281	NA	NA	NA	NA	17181.2924696	53217.5835971528	NA	NA	NA	NA	18725.3440786	54398.0795964456	NA	NA	NA	NA
A02-0922	higher ed dorm	upstream	Sewer Network	Dormitory	105612	Seneca-01	active	12/12/2022 09:00 AM	12/14/2022 09:00 AM	12/14/2022	48-hr time-weighted composite	WVU Seneca Hall	26505	Captures Seneca Hall and associated dining	-79.95614	39.6392	474	Monongalia	-1	NA	NA	NA	1719	211	NA	NA	NA	NA	208924.503099992	579707.923014711	NA	NA	NA	NA	174972.3969934	716583.850203615	NA	NA	NA	NA
M03-0181	not institution specific	wwtp	WWTP	WWTP	56072	ManningtonWWTP-01	active	01/28/2023 11:00 AM	01/29/2023 11:00 AM	02/01/2023	24-hr time-weighted composite	Mannington	26582		-80.32371	39.51814	1091	Marion	0.25	NA	NA	0.335	2151	263	2727.70966485	333.51354805	2.50019217676444	0.305695277772686	1530.6	1371.03415724305	1902.045877716	1542.75837085695	1.74339677150871	1.41407733350774	1457.19828713089	1790.41274039342	2046.35740867018	3102.8149608561	1.87567131867111	2.84401004661421
T01-0105	not institution specific	wwtp	WWTP	WWTP	26700	PointPleasantWWTP-01	active	02/03/2023 07:00 AM	02/04/2023 07:00 AM	02/20/2023	24-hr time-weighted composite	Point Pleasant	25550		-82.1351148	38.8567084	5515	Mason	0.7	NA	NA	0.31	1742	2290	2044.1971082	2687.262559	0.370661307017226	0.487264289936537	5606.5848525405	11017.114206205	7415.8437127029	14116.2326252664	1.34466794427976	2.55960700367479	1842.2	1810.222263285	2849.89134342	3174.55208668696	0.516752736794198	0.575621411910601
J01-0240	not institution specific	wwtp	WWTP	WWTP	33432	AlpineLakeWWTP-01	active	03/05/2023 07:30 AM	03/06/2023 07:30 AM	03/08/2023	24-hr time-weighted composite	Alpine Lake	26764		-79.50179	39.45709	700	Preston	0.15	NA	NA	0.275	2139.52675228938	2586	2227.22113993053	2691.9943215	3.18174448561504	3.84570617357143	1710.70535045788	1524.31222863395	1869.24216338411	1708.04846973283	2.67034594769158	2.44006924247547	1800.4	1001.31028381023	2008.382587108	1154.15556812569	2.86911798158286	1.64879366875098
H01-0453	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	active	01/02/2023 08:00 AM	01/03/2023 08:00 AM	01/06/2023	24-hr flow-weighted composite	Moundsville	26041	NA	-80.75493	39.92986	12000	Marshall	2.34	NA	NA	2	2599	644	19676.56118	4875.60808	1.63971343166667	0.406300673333333	1725	2005.82410459238	11145.5340794	13750.8031664024	0.928794506616667	1.14590026386687	1484.8	1915.04237540813	9398.6430726	12283.9648261558	0.78322025605	1.02366373551298
A02-0939	higher ed dorm	upstream	Sewer Network	Dormitory	105612	Seneca-01	active	12/07/2022 09:00 AM	12/09/2022 09:00 AM	12/09/2022	48-hr time-weighted composite	WVU Seneca Hall	26505	Captures Seneca Hall and associated dining	-79.95614	39.6392	474	Monongalia	-1	NA	NA	NA	23788.3134931326	8	NA	NA	NA	NA	208964.305952192	579654.084698839	NA	NA	NA	NA	176304.6459978	715225.247468165	NA	NA	NA	NA
A02-0936	higher ed dorm	upstream	Sewer Network	Residential	105612	MtValley-01	active	12/10/2022 09:00 AM	12/12/2022 09:00 AM	12/12/2022	48-hr time-weighted composite	Mountain Valley Apartments	26505	Captures all of Mountain Valley	-79.9657691	39.6727656	-1	Monongalia	-1	NA	NA	NA	121181.9109	128051.763	NA	NA	NA	NA	72648.0267536	193619.970094904	NA	NA	NA	NA	84477.207124	228092.463613558	NA	NA	NA	NA
N02-0210	not institution specific	wwtp	WWTP	WWTP	67256	ClarksburgWWTP-01	active	12/07/2022 07:00 AM	12/08/2022 07:00 AM	12/09/2022	24-hr flow-weighted composite	Clarksburg	26301		-80.33857	39.27931	26498	Harrison	8	NA	NA	8.56	15255.4353140294	287	494323.542476205	9299.6924552	18.6551265180846	0.350958278179485	9487.60272189973	10761.5680991194	341393.99081582	388604.654252419	12.8837644658397	14.6654334007253	1169.4	1415.68177321435	42789.65383276	52189.183337216	1.61482579186203	1.96955179021873
A02-1156	higher ed dorm	upstream	Sewer Network	Dormitory	105612	OaklandE-02	active	03/25/2023 09:00 AM	03/27/2023 09:00 AM	03/27/2023	48-hr time-weighted composite	WVU Oakland Hall	26505	Isolates WVU Oakland Hall.	-79.9622118	39.6511596	862	Monongalia	-1	NA	NA	NA	9582.91774615644	484	NA	NA	NA	NA	32231.0658938349	79757.9330415554	NA	NA	NA	NA	28128.5730433941	72468.923813779	NA	NA	NA	NA
A02-1159	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	active	03/25/2023 09:00 AM	03/27/2023 09:00 AM	03/27/2023	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	NA	NA	NA	1477	1971	NA	NA	NA	NA	3561.56358540654	9783.35560923296	NA	NA	NA	NA	2793.6959550485	2637.97951381831	NA	NA	NA	NA
