Sample ID	type	category	group	level	county_population	Location	status	Sample Composite Start	Sample Composite End	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	responsible_lab	responsible_lab_abbrev	daily_flow	flua	flub	flua.load	flub.load	flua.loadcap	flub.loadcap	flua.day5.mean	flua.day5.ci	flua.load.day5.mean	flua.load.day5.ci	flua.loadcap.day5.mean	flua.loadcap.day5.ci	flub.day5.mean	flub.day5.ci	flub.load.day5.mean	flub.load.day5.ci	flub.loadcap.day5.mean	flub.loadcap.day5.ci
E02-0232	not institution specific	wwtp	WWTP	WWTP	58758	AthensWWTP-01	active	12/29/2022 08:00 AM	12/30/2022 08:00 AM	01/06/2023	24-hr time-weighted composite	Athens	24740		-81.01598	37.42163	2391	Mercer	0.5	NA	NA	0.085	2380	1169	765.788443	376.13726465	0.320279566290255	0.157313786971978	2048.4	1051.6363236113	805.215002314	426.890374136766	0.336769135221246	0.17854051615925	1507.6	1302.703634602	599.318224512	544.494922272152	0.250655886454203	0.227726860005083
A02-1012	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	active	02/01/2023 09:00 AM	02/03/2023 09:00 AM	02/06/2023	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	NA	NA	NA	2116	1983	NA	NA	NA	NA	12782.4951458931	44158.0942718733	NA	NA	NA	NA	1483.4	1281.69313799925	NA	NA	NA	NA
K01-0213	not institution specific	wwtp	WWTP	WWTP	83518	ParkersburgWWTP-01	active	02/28/2023 06:30 AM	03/01/2023 06:30 AM	03/08/2023	24-hr flow-weighted composite	Parkersburg	26101	NA	-81.55739	39.28171	48050	Wood	15.5	NA	NA	8.241	1546	48	48228.34165026	1497.38706288	1.0037115848129	0.0311631022451613	1395.98337160498	1638.99482471149	35116.9557335107	38045.3207003423	0.730841950749441	0.79178607076675	1859	1912.70485679664	44708.964208404	46050.2588613509	0.930467517344516	0.958382078279935
E02-0237	not institution specific	wwtp	WWTP	WWTP	58758	AthensWWTP-01	active	01/10/2023 08:00 AM	01/11/2023 08:00 AM	01/17/2023	24-hr time-weighted composite	Athens	24740		-81.01598	37.42163	2391	Mercer	0.5	NA	NA	0.188	303	1549	215.63209524	1102.35681692	0.0901848997239649	0.461044256344626	1825.28593382686	1578.5233036061	1153.84055944591	1095.01067402453	0.482576561876163	0.457971841917413	2170.67410242334	689.342279767439	1390.47397814431	613.105842934157	0.581544951126856	0.256422351708137
A01-0446	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	active	12/25/2022 12:00 AM	12/26/2022 12:00 AM	12/28/2022	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	NA	NA	8	1208	2355	36582.20224	71317.1244	0.756956676047012	1.47568954643271	1549.2	1013.03518476651	58349.445363	52226.46700971	1.20736313033852	1.0806668393004	2192.4	632.450325396049	81085.0720722	55118.6622346141	1.67780731816338	1.14051196479503
A02-0925	higher ed dorm	upstream	Sewer Network	Residential	105612	MtValley-01	active	12/12/2022 09:00 AM	12/14/2022 09:00 AM	12/14/2022	48-hr time-weighted composite	Mountain Valley Apartments	26505	Captures all of Mountain Valley	-79.9657691	39.6727656	-1	Monongalia	-1	NA	NA	NA	1658996.57964706	982	NA	NA	NA	NA	338026.197130791	1359955.61927865	NA	NA	NA	NA	1089.8	826.099146756533	NA	NA	NA	NA
A04-0304	not institution specific	wwtp	WWTP	WWTP	105612	CheatLakeWWTP-01	active	01/18/2023 08:00 AM	01/19/2023 08:00 AM	01/26/2023	24-hr time-weighted composite	Cheat Lake	26508	NA	-79.857	39.67712	2000	Monongalia	0.75	NA	NA	0.926	2455.48208244145	718	8607.17595389728	2516.79797588	4.30358797694864	1.25839898794	6929.50775796474	16568.8300238154	25523.8170314929	72685.6554382147	12.7619085157465	36.3428277191074	972	1736.16931567199	3057.853440918	4401.76268240571	1.528926720459	2.20088134120285
A02-1009	higher ed dorm	upstream	Sewer Network	Residential	105612	UPlace-01	active	02/01/2023 09:00 AM	02/03/2023 09:00 AM	02/06/2023	48-hr time-weighted composite	University Place Apartments	26505	Captures UPlace and associated dining	-79.9567559	39.64019	-1	Monongalia	-1	NA	NA	NA	2475	2498.60997777432	NA	NA	NA	NA	1529	1752.36731670229	NA	NA	NA	NA	6118.12610151618	17511.7789468904	NA	NA	NA	NA
A04-0230	not institution specific	wwtp	WWTP	WWTP	105612	CheatLakeWWTP-01	active	12/13/2022 08:00 AM	12/14/2022 08:00 AM	12/14/2022	24-hr time-weighted composite	Cheat Lake	26508	NA	-79.857	39.67712	2000	Monongalia	0.75	NA	NA	0.56	44398.060888052	275	94116.3236530949	582.95314	47.0581618265475	0.29147657	50679.7528043389	68479.5186758524	143520.376999823	179341.960025664	71.7601884999114	89.6709800128318	1427.2	1822.7474513317	5085.462125416	10039.2324976803	2.542731062708	5.01961624884014
A02-1094	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	active	03/01/2023 09:00 AM	03/03/2023 09:00 AM	03/06/2023	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	NA	NA	NA	414	2817	NA	NA	NA	NA	1623.2	1267.23853443097	NA	NA	NA	NA	1849.6	1883.80404721887	NA	NA	NA	NA
C01-0337	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	active	01/17/2023 08:00 AM	01/18/2023 08:00 AM	01/25/2023	24-hr flow-weighted composite	Wheeling	26003		-80.72757	40.05588	50000	Ohio	10	NA	NA	12.33	1941	1530	90594.4383873	71411.381109	1.811888767746	1.42822762218	3336.86676023602	7568.06775819871	118401.798256617	231678.692465071	2.36803596513235	4.63357384930141	1908.4	1027.49365015333	73156.121245838	25549.5934557968	1.46312242491676	0.510991869115937
L01-0312	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	active	01/08/2023 09:00 AM	01/09/2023 09:00 AM	01/11/2023	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	NA	NA	0.338	2429.65365294367	2363	3108.66550922365	3023.38425454	5.51181827876534	5.36061038039007	2997.68146950752	2166.45353892247	3979.12673719194	2990.92363047402	7.05518925034033	5.30305608240075	1324.4	1574.05506854726	1731.158085758	2036.96666651	3.06942923006738	3.61164302572696
C01-0332	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	active	01/10/2023 07:00 AM	01/11/2023 07:00 AM	01/18/2023	24-hr flow-weighted composite	Wheeling	26003		-80.72757	40.05588	50000	Ohio	10	NA	NA	8.445	2274.74385872483	2340	72718.5281789082	74804.622633	1.45437056357816	1.49609245266	5699.09406543525	8843.06044530483	217298.525656241	358956.781703612	4.34597051312482	7.17913563407225	1055	1519.02978076613	37804.587594282	48339.9856620303	0.75609175188564	0.966799713240606
