Sample ID	type	category	group	level	county_population	Location	status	Sample Composite Start	Sample Composite End	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	responsible_lab	responsible_lab_abbrev	daily_flow	flua	flub	flua.load	flub.load	flua.loadcap	flub.loadcap	flua.day5.mean	flua.day5.ci	flua.load.day5.mean	flua.load.day5.ci	flua.loadcap.day5.mean	flua.loadcap.day5.ci	flub.day5.mean	flub.day5.ci	flub.load.day5.mean	flub.load.day5.ci	flub.loadcap.day5.mean	flub.loadcap.day5.ci
L01-0284	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	active	12/06/2022 09:00 AM	12/07/2022 09:00 AM	12/14/2022	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	NA	NA	0.349	76711.3141715528	592	101343.93774657	782.09598928	179.687832883989	1.3866950164539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K01-0209	not institution specific	wwtp	WWTP	WWTP	83518	ParkersburgWWTP-01	active	02/23/2023 06:30 AM	02/24/2023 06:30 AM	03/02/2023	24-hr flow-weighted composite	Parkersburg	26101	NA	-81.55739	39.28171	48050	Wood	15.5	NA	NA	5.776	1989	2018	43488.54651024	44122.61782688	0.905068605832258	0.918264679019355	2205.49550451785	847.405526285179	57297.5588391493	30809.5905239097	1.19245699977418	0.641198554087611	1623.91213291287	1507.00745968566	41217.0885516567	33710.6739737146	0.857795807526674	0.701574900597599
O01-0264	not institution specific	wwtp	WWTP	WWTP	16695	GraftonWWTP-01	active	01/25/2023 07:00 AM	01/26/2023 07:00 AM	02/06/2023	24-hr flow-weighted composite	Grafton	26354	NA	-80.01837	39.33877	6071	Taylor	2.3	NA	NA	1.83	2057	1568	14249.4567171	10862.0068704	2.34713502175918	1.78916271955197	1869.92631512582	3548.7309056492	13208.6275512836	23996.9635751159	2.17569223378086	3.95272007496555	1633.6	707.345350795697	12209.24943104	6608.04475427384	2.01107715879427	1.08846067439859
O01-0231	not institution specific	wwtp	WWTP	WWTP	16695	GraftonWWTP-01	active	01/24/2023 07:00 AM	01/25/2023 07:00 AM	02/06/2023	24-hr flow-weighted composite	Grafton	26354	NA	-80.01837	39.33877	6071	Taylor	2.3	NA	NA	1.82	5143.63157562912	1528	35436.7730129181	10527.0737936	5.83705699438611	1.73399337730193	1932.72631512582	3572.11121428991	13966.7694660836	24337.0413624407	2.30057148181249	4.0087368411202	1521.8	880.043394011836	11572.27849034	7604.11023068779	1.9061568918366	1.2525300989438
N02-0206	not institution specific	wwtp	WWTP	WWTP	67256	ClarksburgWWTP-01	active	01/18/2023 07:00 AM	01/19/2023 07:00 AM	01/30/2023	24-hr flow-weighted composite	Clarksburg	26301		-80.33857	39.27931	26498	Harrison	8	NA	NA	13.08	1694	1032	83875.2977832	51097.5840096	3.16534447064684	1.92835625366443	1616.4	1178.56184436109	70466.95159728	60940.6252543439	2.65933095317684	2.29981980731919	815.2	930.015658107084	35609.48814476	47329.6226351166	1.34385569268473	1.78615830006478
A04-0335	not institution specific	wwtp	WWTP	WWTP	105612	CheatLakeWWTP-01	active	03/08/2023 08:00 AM	03/09/2023 08:00 AM	03/10/2023	24-hr time-weighted composite	Cheat Lake	26508	NA	-79.857	39.67712	2000	Monongalia	0.75	NA	NA	0.567	2302.91760060936	2845	4942.81530733436	6106.30165215	2.47140765366718	3.053150826075	1269.38352012187	1748.77517338701	2976.19403095487	3974.46580002706	1.48809701547744	1.98723290001353	1845.8	1215.64321491511	4352.843716082	2410.95275761613	2.176421858041	1.20547637880807
A02-0892	higher ed dorm	upstream	Sewer Network	Dormitory	105612	TowersBB-01	active	01/11/2023 09:00 AM	01/12/2023 09:00 AM	01/17/2023	48-hr time-weighted composite	WVU Brooke & Braxton Towers	26505	Captures Brooke and Braxton Towers. Taken from the University Ave. side of the bottom flow, which compiles both towers	-79.9663361	39.6495489	904	Monongalia	-1	NA	NA	NA	1554	134	NA	NA	NA	NA	2343.74953177124	2511.27662055583	NA	NA	NA	NA	1618	1753.04214932557	NA	NA	NA	NA
G01-0299	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	active	12/03/2022 09:00 AM	12/04/2022 09:00 AM	12/09/2022	24-hr time-weighted composite	Keyser	26726		-78.97508	39.44123	8168	Mineral	2.4	NA	NA	0.828	53588.7593775987	1319	167964.29242624	4134.16739412	20.5636988768659	0.506141943452498	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M03-0189	not institution specific	wwtp	WWTP	WWTP	56072	ManningtonWWTP-01	active	12/28/2022 11:00 AM	12/29/2022 11:00 AM	01/11/2023	24-hr time-weighted composite	Mannington	26582		-80.32371	39.51814	1091	Marion	0.25	NA	NA	0.193	500	2553	365.292065	1865.18128389	0.334823157653529	1.70960704297892	976.2	1017.4747502928	637.491056034	643.91205546532	0.584318108188818	0.590203533882053	1490.2	1950.81836280204	1017.338779566	1397.94756285466	0.932482841032081	1.28134515385395
T01-0074	not institution specific	wwtp	WWTP	WWTP	26700	PointPleasantWWTP-01	active	12/01/2022 07:00 AM	12/02/2022 07:00 AM	12/19/2022	24-hr time-weighted composite	Point Pleasant	25550		-82.1351148	38.8567084	5515	Mason	0.7	NA	NA	0.45	51536.7331355811	986	87789.449240442	1679.586417	15.9183044860276	0.304548761015413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A02-0920	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	active	12/14/2022 09:00 AM	12/16/2022 09:00 AM	12/19/2022	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	NA	NA	NA	1930.0390756689	2577	NA	NA	NA	NA	7571.80201053396	16387.8375065913	NA	NA	NA	NA	2182.4	738.749754406706	NA	NA	NA	NA
N03-0256	not institution specific	wwtp	WWTP	WWTP	67256	SalemWWTP-01	active	02/10/2023 07:30 AM	02/11/2023 07:30 AM	02/20/2023	24-hr time-weighted composite	Salem	26426		-80.54515	39.28597	1853	Harrison	0.4	NA	NA	0.52904	1422	634	2847.7445617008	1269.6695162576	1.53682922919633	0.685196716814679	1622.45760340989	685.331053135833	3429.29187281322	1677.76071658019	1.85067019579774	0.90542942071246	1820.25760340989	1698.0958091196	3818.5098791261	3489.54122932953	2.06071768976044	1.88318468933056
G01-0317	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	active	03/05/2023 09:00 AM	03/06/2023 09:00 AM	03/10/2023	24-hr time-weighted composite	Keyser	26726		-78.97508	39.44123	8168	Mineral	2.4	NA	NA	1.976	1551	2159.00948736817	11601.43371816	16149.3265406708	1.42035182641528	1.97714575669329	1360.6	1138.82569563738	12556.796251042	10610.5756211543	1.53731589753208	1.29904206919127	1672.20189747363	1408.36534195556	16244.2631182722	13913.5373658656	1.98876874611559	1.70342034351929
N03-0246	not institution specific	wwtp	WWTP	WWTP	67256	SalemWWTP-01	active	01/19/2023 07:30 AM	01/20/2023 07:30 AM	01/26/2023	24-hr time-weighted composite	Salem	26426		-80.54515	39.28597	1853	Harrison	0.4	NA	NA	0.71966	703	496	1915.1183369018	1351.2072476576	1.03352311759406	0.729199809852995	1015.2	1225.06161028123	2725.37127324742	3468.80867854512	1.47078859862246	1.87199604886407	1289.2	1991.1653939207	3535.23907440882	5825.47817007602	1.90784623551474	3.14380905022991
A02-0993	higher ed dorm	upstream	Sewer Network	Dormitory	105612	Seneca-01	active	01/28/2023 09:00 AM	01/30/2023 09:00 AM	01/30/2023	48-hr time-weighted composite	WVU Seneca Hall	26505	Captures Seneca Hall and associated dining	-79.95614	39.6392	474	Monongalia	-1	NA	NA	NA	1561	655	NA	NA	NA	NA	2697.12424125373	4661.38661436353	NA	NA	NA	NA	2508.12424125373	4867.61971336167	NA	NA	NA	NA
A04-0223	not institution specific	wwtp	WWTP	WWTP	105612	CheatLakeWWTP-01	active	12/07/2022 08:00 AM	12/08/2022 08:00 AM	12/09/2022	24-hr time-weighted composite	Cheat Lake	26508	NA	-79.857	39.67712	2000	Monongalia	0.75	NA	NA	1.367	32282.0348292589	2683	167048.408111955	13883.60062601	83.5242040559775	6.941800313005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q01-0265	not institution specific	wwtp	WWTP	WWTP	21809	MadisonWWTP-01	active	02/12/2023 08:00 AM	02/13/2023 08:00 AM	02/20/2023	24-hr time-weighted composite	Danville	25053		-81.8472888	38.102484	4555	Boone	0.5	NA	NA	0.463	470	2189.0682913363	823.7430701	3836.6592233275	0.180843703644347	0.842296207097146	1287.8	2032.46797142734	2129.682265148	3174.5448557832	0.467548247013831	0.696936302038024	1953.81365826726	1319.58219771125	3315.2882873375	2547.57528526454	0.727834969777717	0.559292049454344
H01-0436	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	active	12/16/2022 08:00 AM	12/17/2022 08:00 AM	12/28/2022	24-hr flow-weighted composite	Moundsville	26041	NA	-80.75493	39.92986	12000	Marshall	2.34	NA	NA	2.5	2666	206	25229.75765	1949.48615	2.10247980416667	0.162457179166667	33945.9620118618	55426.5100845595	225494.819593956	364697.76197525	18.791234966163	30.3914801646042	1184.2	2151.58684268456	8419.4332138	12665.0005613671	0.701619434483333	1.05541671344726
G01-0305	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	active	02/26/2023 09:00 AM	02/27/2023 09:00 AM	03/02/2023	24-hr time-weighted composite	Keyser	26726		-78.97508	39.44123	8168	Mineral	2.4	NA	NA	1.058	1435	2621	5747.1230243	10497.01006738	0.703614474081783	1.2851383530093	1323.98895668462	956.924228912359	5080.27195994156	3819.33948414541	0.62197257100166	0.467597880037391	1908.4	1872.63990446603	7329.665913458	7261.93427394119	0.89736360350857	0.889071287211213
