Sample ID	type	category	group	level	county_population	Location	status	Sample Composite Start	Sample Composite End	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	responsible_lab	responsible_lab_abbrev	daily_flow	flua	flub	flua.load	flub.load	flua.loadcap	flub.loadcap	flua.day5.mean	flua.day5.ci	flua.load.day5.mean	flua.load.day5.ci	flua.loadcap.day5.mean	flua.loadcap.day5.ci	flub.day5.mean	flub.day5.ci	flub.load.day5.mean	flub.load.day5.ci	flub.loadcap.day5.mean	flub.loadcap.day5.ci
A02-1103	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	active	03/06/2023 09:00 AM	03/08/2023 09:00 AM	03/08/2023	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	NA	NA	NA	2536.94452811032	1022	NA	NA	NA	NA	5621.25348754078	14572.9665660645	NA	NA	NA	NA	1154.2	1510.43671552765	NA	NA	NA	NA
L01-0318	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	active	01/07/2023 09:00 AM	01/08/2023 09:00 AM	01/11/2023	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	NA	NA	0.315	2296.30900081247	1416	2738.12838225114	1688.4442764	4.85483755718288	2.99369552553192	4793.86599421502	8762.85849195091	3626.65054185433	3537.16032280616	6.43023145718853	6.27156085603928	1732.2	1557.52028479422	1914.695203772	2635.50301269372	3.39484965207801	4.67287768208107
Q01-0219	not institution specific	wwtp	WWTP	WWTP	21809	MadisonWWTP-01	active	01/01/2023 08:00 AM	01/02/2023 08:00 AM	01/06/2023	24-hr time-weighted composite	Danville	25053		-81.8472888	38.102484	4555	Boone	0.5	NA	NA	0.3711	2550	2365	3582.15241005	3322.270764615	0.786422043918771	0.729367895634468	2163.6	1202.71327512213	3241.5072252682	2019.20926675379	0.711637151540768	0.443295118936068	1494	2207.62755363939	2241.5490043008	3429.8960171321	0.492107355499627	0.752995832520769
R01-0224	not institution specific	wwtp	WWTP	WWTP	28695	HuttonsvilleWWTP-01	active	12/13/2022 09:00 AM	12/14/2022 09:00 AM	12/21/2022	24-hr time-weighted composite	Huttonsville	26273		-79.97895	38.71288	2101	Randolph	0.41	NA	NA	0.17	2122	1909	1365.5488034	1228.4791073	0.64995183407901	0.584711616991909	1765.6	1449.9934404427	1202.28785551	996.669629574332	0.572245528562589	0.474378690896874	1841	829.780287940946	1249.42378083	632.490524258378	0.594680523955259	0.301042610308604
T01-0076	not institution specific	wwtp	WWTP	WWTP	26700	PointPleasantWWTP-01	active	12/08/2022 07:00 AM	12/09/2022 07:00 AM	12/19/2022	24-hr time-weighted composite	Point Pleasant	25550		-82.1351148	38.8567084	5515	Mason	0.7	NA	NA	0.47	426121.818423272	2163.13209850341	758131.52255849	3848.52068218802	137.467184507432	0.69782786621723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A01-0488	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	active	02/12/2023 12:00 AM	02/13/2023 12:00 AM	02/15/2023	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	NA	NA	8.3	2419.29112002254	2419.29112002254	76011.4730287495	76011.4730287495	1.57282471918452	1.57282471918452	1897.34029151201	1762.73129500863	60868.0258458076	50301.1537768007	1.25947744259658	1.04082837644431	1447.85822400451	1404.83675205137	49480.0906541499	49456.0956007585	1.02383898887084	1.02334248470366
A01-0474	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	active	01/27/2023 12:00 AM	01/28/2023 12:00 AM	01/30/2023	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	NA	NA	10.6	2378.45704425126	971	95436.4118467191	38961.710966	1.97476435703359	0.80619332407714	2492.50300085768	5336.9526844857	119913.100925785	276779.157762514	2.48123450020247	5.72709728858041	1309	1517.30909298228	62704.0296106	78507.9993853423	1.29746791943801	1.62448268882102
O01-0279	not institution specific	wwtp	WWTP	WWTP	16695	GraftonWWTP-01	active	01/26/2023 07:00 AM	01/27/2023 07:00 AM	02/06/2023	24-hr flow-weighted composite	Grafton	26354	NA	-80.01837	39.33877	6071	Taylor	2.3	NA	NA	2.01	2438.11413645744	2097	18550.8158829076	15955.3895877	3.05564419089237	2.62813203552957	2115.28408403844	1262.1637027393	15379.8874363933	9353.91082919744	2.53333675447097	1.54075289560162	1049.4	1886.07605830928	7570.61558786	13677.8848411906	1.24701294479657	2.25298712587557
H01-0444	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	active	12/24/2022 08:00 AM	12/25/2022 08:00 AM	01/04/2023	24-hr flow-weighted composite	Moundsville	26041	NA	-80.75493	39.92986	12000	Marshall	2.34	NA	NA	1.6	2489	1839	15075.016784	11138.190384	1.25625139866667	0.928182532	1530	1798.66584022109	9803.3791098	11334.9737191409	0.81694825915	0.944581143261741	1385.8	1303.55714806201	8924.482616	8490.3368116283	0.743706884666667	0.707528067635692
L01-0326	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	active	01/28/2023 09:00 AM	01/29/2023 09:00 AM	02/01/2023	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	NA	NA	0.281	2043	2236	2173.13952903	2378.43366956	3.85308427132979	4.21708097439716	1927.2	1239.70761653927	2389.34322118	1626.20030998171	4.23642415102837	2.88333388294629	1359.8	1956.35067146199	1530.686557568	2041.27383664079	2.71398325809929	3.61927985219998
