Sample ID	type	category	group	level	county_population	Location	status	Sample Composite Start	Sample Composite End	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	responsible_lab	responsible_lab_abbrev	daily_flow	flua	flub	flua.load	flub.load	flua.loadcap	flub.loadcap	flua.day5.mean	flua.day5.ci	flua.load.day5.mean	flua.load.day5.ci	flua.loadcap.day5.mean	flua.loadcap.day5.ci	flub.day5.mean	flub.day5.ci	flub.load.day5.mean	flub.load.day5.ci	flub.loadcap.day5.mean	flub.loadcap.day5.ci
L01-0309	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	active	01/12/2023 09:00 AM	01/13/2023 09:00 AM	01/18/2023	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	NA	NA	0.424	1599	1182	2566.41713016	1897.12635888	4.55038498255319	3.36369921787234	8741.66448894143	27217.1008175927	10753.3320002211	32530.9074979176	19.0661914897537	57.6789140034	1306.50982117504	1569.56159230025	1769.98929098028	2249.7891009406	3.13827888471681	3.98898776762518
O01-0223	not institution specific	wwtp	WWTP	WWTP	16695	GraftonWWTP-01	active	12/21/2022 06:10 AM	12/22/2022 06:10 AM	01/04/2023	24-hr flow-weighted composite	Grafton	26354	NA	-80.01837	39.33877	6071	Taylor	2.3	NA	NA	1.52	1711	1707	9844.7914952	9821.7762024	1.62160953635315	1.61781851464339	1237.4	1224.56056140608	8429.48726276	8522.45167371645	1.38848414804151	1.40379701428372	903.4	997.951468336676	5728.56694448	5297.46865752325	0.943595279934113	0.872585843769272
D01-0278	not institution specific	wwtp	WWTP	WWTP	57146	CharlesTownWWTP-01	active	02/21/2023 07:00 AM	02/22/2023 07:00 AM	03/01/2023	24-hr flow-weighted composite	Charles Town	25414		-77.85589	39.27924	17000	Jefferson	2.25	NA	NA	1	1616	1842	6117.22256	6972.72522	0.359836621176471	0.410160307058824	2550.22748588771	2506.82024643523	11710.0217608768	12561.0768310865	0.688824809463338	0.738886872416851	1817.16731483191	1172.79764485775	8205.9517011902	5699.90353409303	0.482703041246482	0.335288443181943
M03-0180	not institution specific	wwtp	WWTP	WWTP	56072	ManningtonWWTP-01	active	01/22/2023 11:00 AM	01/23/2023 11:00 AM	01/30/2023	24-hr time-weighted composite	Mannington	26582		-80.32371	39.51814	1091	Marion	0.25	NA	NA	0.538	1915	1102	3899.9943607	2244.27873916	3.57469693923006	2.05708408722273	2024.4554952085	1422.83506431557	3386.28858450336	4341.49305543486	3.10383921586009	3.97937035328585	1499.6	1679.60765281556	2336.576119944	3161.74575077365	2.14168296970119	2.8980254360895
H01-0467	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	active	01/17/2023 08:00 AM	01/18/2023 08:00 AM	01/25/2023	24-hr flow-weighted composite	Moundsville	26041	NA	-80.75493	39.92986	12000	Marshall	2.34	NA	NA	2.2	1156	400	9627.054712	3331.1608	0.802254559333333	0.277596733333333	1738.46839058995	1499.53268472408	13249.0004813732	10254.2815905417	1.10408337344776	0.854523465878477	2152.13756349981	3145.86869440597	16472.7655917717	21582.7817941343	1.37273046598098	1.79856514951119
H01-0423	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	active	12/03/2022 08:00 AM	12/04/2022 08:00 AM	12/09/2022	24-hr flow-weighted composite	Moundsville	26041	NA	-80.75493	39.92986	12000	Marshall	2.34	NA	NA	1.9	13532.2921536863	1772	97328.0206788228	12744.718388	8.1106683899019	1.06205986566667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E02-0237	not institution specific	wwtp	WWTP	WWTP	58758	AthensWWTP-01	active	01/10/2023 08:00 AM	01/11/2023 08:00 AM	01/17/2023	24-hr time-weighted composite	Athens	24740		-81.01598	37.42163	2391	Mercer	0.5	NA	NA	0.188	1231	2303	876.04986548	1638.94625524	0.366394757624425	0.685464765888749	2032.88593382686	1003.2295338998	1297.06381804191	722.445304723134	0.542477548323674	0.302151946768354	1603.87410242334	1758.82890642287	1102.59960430031	1393.98726270678	0.461145798536308	0.583014329864818
J01-0218	not institution specific	wwtp	WWTP	WWTP	33432	AlpineLakeWWTP-01	active	01/27/2023 07:30 AM	01/28/2023 07:30 AM	02/01/2023	24-hr time-weighted composite	Alpine Lake	26764		-79.50179	39.45709	700	Preston	0.15	NA	NA	0.239	1827	320	1652.91063273	289.5081568	2.3613009039	0.413583081142857	1359.47976879627	1336.01794671646	1412.04286323607	1919.12271937734	2.01720409033724	2.74160388482477	1766.24612222314	1556.5226632807	1761.62311647051	1931.7494451269	2.51660445210073	2.759642064467
A04-0241	not institution specific	wwtp	WWTP	WWTP	105612	CheatLakeWWTP-01	active	01/02/2023 08:00 AM	01/03/2023 08:00 AM	01/04/2023	24-hr time-weighted composite	Cheat Lake	26508	NA	-79.857	39.67712	2000	Monongalia	0.75	NA	NA	0.618	2301	49	5382.92115738	114.62978562	2.69146057869	0.05731489281	1634.13196551502	1521.61239440501	3826.3647624575	3675.15801545904	1.91318238122875	1.83757900772952	1343.75156440139	1508.29827920118	3094.5251606368	3430.45025207391	1.5472625803184	1.71522512603696
A02-0846	higher ed dorm	upstream	Sewer Network	Dormitory	105612	TowersBB-01	active	12/01/2022 09:00 AM	12/03/2022 09:00 AM	12/07/2022	48-hr time-weighted composite	WVU Brooke & Braxton Towers	26505	Captures Brooke and Braxton Towers. Taken from the University Ave. side of the bottom flow, which compiles both towers	-79.9663361	39.6495489	904	Monongalia	-1	NA	NA	NA	4127.6109823957	2063.75479465351	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
