archive_id	sample_id	archive_batch_id	archive_location_in_batch	archive_location_in_storage	archive_comment
C1.a1	C1	RB42	C01	54	I AM A CCOMENT 2!
A42.a1	A42	RB42	A06	47	
B6.a1	B6	RB42	B06	53	
C42.a1	C42	RB42	C04	57	
C5.a1	C5	RB42	C05	58	
C2.a1	C2	RB42	C02	55	
C3.a1	C3	RB42	C03	56	
A1.a1	A1	RB42	A01	42	
C6.a1	C6	RB42	C06	59	
B1.a1	B1	RB42	B01	48	
A4.a1	A4	RB42	A04	45	
B4.a1	B4	RB42	B04	51	
B42.a1	B42	RB42	B05	52	
A5.a1	A5	RB42	A05	46	
B2.a1	B2	RB42	B02	49	
A2.a1	A2	RB42	A02	43	
A3.a1	A3	RB42	A03	44	
B3.a1	B3	RB42	B03	50	
