result_id	sample_id	assay_id	target	target_category	target_genetic_locus	responsible_lab_name	responsible_lab_abbrev	assay_target_copies_per_ul_reaction	assay_reaction_ul	extraction_output_ul	concentration_output_ml	assay_input_ul	extraction_input_ul	concentration_input_ml	target_copies_per_literww	target_result_validated
C01-0156.a2.a2	C01-0156	C01-0156.a2.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.29617855	20	75	0.475	5	400	10	10551.36084375	1
F4.a3	F4	F4.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.0647355020046234	20	75	0.475	5	400	10	2306.20225891471	1
A02-0287.a1	A02-0287	A02-0287.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	6.43832016	20	75	0.475	5	400	10	229365.1557	1
A02-0397.a1	A02-0397	A02-0397.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.079252958	20	75	0.475	5	400	10	2823.38662875	1
N02-0052.a2	N02-0052	N02-0052.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.242229968	20	75	0.475	5	400	10	8629.44261	1
S01-0029.a3	S01-0029	S01-0029.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
A02-0115.a3	A02-0115	A02-0115.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.214059427	20	50	0.425	5	400	10	4548.76282375	1
B01-0105.a2	B01-0105	B01-0105.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.100729533	20	75	0.475	5	400	10	3588.489613125	1
K01-0076.a2	K01-0076	K01-0076.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.965147257	20	75	0.475	5	400	10	34383.371030625	1
H01-0167.a1	H01-0167	H01-0167.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.082643434	20	75	0.475	5	400	10	2944.17233625	1
L01-0057.a2	L01-0057	L01-0057.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.129717246	20	75	0.475	5	400	10	4621.17688875	1
H01-0125.a3	H01-0125	H01-0125.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.224781826	20	75	0.475	5	400	10	8007.85255125	1
E01-0004.a2	E01-0004	E01-0004.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.690484524	20	50	0.425	5	400	10	14672.796135	1
S01-0048.a1	S01-0048	S01-0048.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.09175764	20	75	0.475	5	400	10	3268.865925	1
A02-0346.a2	A02-0346	A02-0346.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
A03-0328.a1	A03-0328	A03-0328.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
L01-0064.a1	L01-0064	L01-0064.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.084368072	20	75	0.475	5	400	10	3005.612565	1
H01-0154.a2	H01-0154	H01-0154.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	4.530924797	20	75	0.475	5	400	10	161414.195893125	1
G01-0086.a1	G01-0086	G01-0086.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.203330562	20	75	0.475	5	400	10	7243.65127125	1
A02-0268.a1	A02-0268	A02-0268.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
A02-0505.a3	A02-0505	A02-0505.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.070852511	20	75	0.475	5	400	10	2524.120704375	1
S01-0011.a1	S01-0011	S01-0011.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	2.595523596	20	75	0.475	5	400	10	92465.5281075	1
G01-0010.a3	G01-0010	G01-0010.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	1.41044116	20	75	0.475	5	400	10	50246.966325	1
A02-0194.a1	A02-0194	A02-0194.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.611266971	20	50	0.425	5	400	10	12989.42313375	1
D01-0029.a1	D01-0029	D01-0029.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
A03-0055.a1	A03-0055	A03-0055.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	50	0.425	5	400	10	0	1
J01-0013.a1	J01-0013	J01-0013.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.244410634	20	75	0.475	5	400	10	8707.12883625	1
P01-0053.a3	P01-0053	P01-0053.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.104236968	20	75	0.475	5	400	10	3713.441985	1
A03-0349.a3	A03-0349	A03-0349.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.062736735	20	75	0.475	5	400	10	2234.996184375	1
M04-0074.a1	M04-0074	M04-0074.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.214664817	20	75	0.475	5	400	10	7647.434105625	1
L01-0112.a1	L01-0112	L01-0112.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.074354276	20	75	0.475	5	400	10	2648.8710825	1
H01-0232.a3	H01-0232	H01-0232.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.067010544	20	75	0.475	5	400	10	2387.25063	1
A01-0088.a2	A01-0088	A01-0088.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.531058014	20	50	0.425	5	400	10	11284.9827975	1
A01-0187.a3	A01-0187	A01-0187.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.383610874	20	75	0.475	5	400	10	13666.13738625	1
G01-0171.a1	G01-0171	G01-0171.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	4.000438214	20	75	0.475	5	400	10	142515.61137375	1
A02-0343.a1	A02-0343	A02-0343.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	2.022875786	20	75	0.475	5	400	10	72064.94987625	1
S01-0007.a1	S01-0007	S01-0007.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	3.0311656	20	75	0.475	5	400	10	107985.2745	1
F01-0015.a2	F01-0015	F01-0015.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	4.223015785	20	50	0.425	5	400	10	89739.08543125	1
N03-0035.a1	N03-0035	N03-0035.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	3.003872395	20	75	0.475	5	400	10	107012.954071875	1
M03-0073.a2	M03-0073	M03-0073.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	2.68492508	20	75	0.475	5	400	10	95650.455975	1
D5.a1	D5	D5.a1	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.209902867674828	20	75	0.475	5	400	10	7477.78966091575	1
A03-0177.a3	A03-0177	A03-0177.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
A01-0215.a1	A01-0215	A01-0215.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	3.685040236	20	75	0.475	5	400	10	131279.5584075	1
M04-0092.a2	M04-0092	M04-0092.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	2.151701212	20	75	0.475	5	400	10	76654.3556775	1
K01-0073.a1	K01-0073	K01-0073.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.271733582	20	75	0.475	5	400	10	9680.50885875	1
B01-0045.a3	B01-0045	B01-0045.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.119057901	20	75	0.475	5	400	10	4241.437723125	1
K01-0090.a2	K01-0090	K01-0090.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.897087634	20	75	0.475	5	400	10	31958.74696125	1
E02-0071.a2	E02-0071	E02-0071.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	19.00315476	20	75	0.475	5	400	10	676987.388325	1
M03-0090.a1	M03-0090	M03-0090.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	2.127025843	20	75	0.475	5	400	10	75775.295656875	1
A04-0002.a2	A04-0002	A04-0002.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	42.84519196	20	75	0.475	5	400	10	1526359.963575	1
A01-0054.a1	A01-0054	A01-0054.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	6.197755335	20	50	0.425	5	400	10	131702.30086875	1
A02-0550.a3	A02-0550	A02-0550.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.186993644	20	75	0.475	5	400	10	6661.6485675	1
A02-0172.a2	A02-0172	A02-0172.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	50	0.425	5	400	10	0	1
G01-0163.a3	G01-0163	G01-0163.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	6.823367595	20	75	0.475	5	400	10	243082.470571875	1
C01-0182.a2	C01-0182	C01-0182.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	3.84782219	20	75	0.475	5	400	10	137078.66551875	1
K01-0061.a3	K01-0061	K01-0061.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
A1020.a1	A1020	A1020.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	60	5	5	200	100	0	1
C01-0156.a2.a3	C01-0156	C01-0156.a2.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.29617855	20	75	0.475	5	400	10	10551.36084375	1
Q01-0052.a2	Q01-0052	Q01-0052.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	10.08036137	20	75	0.475	5	400	10	359112.87380625	1
M04-0049.a1	M04-0049	M04-0049.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
A03-0374.a3	A03-0374	A03-0374.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.140156135	20	75	0.475	5	400	10	4993.062309375	1
G01-0031.a1	G01-0031	G01-0031.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	23.15581894	20	50	0.475	5	400	10	549950.699825	1
S01-0030.a3	S01-0030	S01-0030.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.23022157	20	75	0.475	5	400	10	8201.64343125	1
A01-0294.a3	A01-0294	A01-0294.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.066300578	20	75	0.475	5	400	10	2361.95809125	1
C01-0114.a3	C01-0114	C01-0114.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.627427101	20	75	0.475	5	400	10	22352.090473125	1
B01-0089.a3	B01-0089	B01-0089.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
A03-0138.a2	A03-0138	A03-0138.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
A03-0037.a3	A03-0037	A03-0037.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.577597916	20	50	0.425	5	400	10	12273.955715	1
A1109.a4	A1109	A1109.a4	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	7.081	20	50	0.95	5	400	10	336347.5	1
J01-0016.a2	J01-0016	J01-0016.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
A01-0168.a3	A01-0168	A01-0168.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.223699048	20	75	0.475	5	400	10	7969.278585	1
A01-0067.a2	A01-0067	A01-0067.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	50	0.425	5	400	10	0	1
A02-0032.a2	A02-0032	A02-0032.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.189006433	20	50	0.425	5	400	10	4016.38670125	1
O01-0062.a2	O01-0062	O01-0062.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.070801348	20	75	0.475	5	400	10	2522.2980225	1
C01-0062.a3	C01-0062	C01-0062.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	1.322855115	20	75	0.475	5	400	10	47126.713471875	1
E02-0131.a2	E02-0131	E02-0131.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
B01-0150.a2	B01-0150	B01-0150.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	8.25031948	20	75	0.475	5	400	10	293917.631475	1
A04-0023.a3	A04-0023	A04-0023.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	1.061522961	20	75	0.475	5	400	10	37816.755485625	1
G01-0083.a2	G01-0083	G01-0083.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	1.390791774	20	75	0.475	5	400	10	49546.95694875	1
C01-0071.a1	C01-0071	C01-0071.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	1.206430316	20	75	0.475	5	400	10	42979.0800075	1
Q01-0053.a2	Q01-0053	Q01-0053.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	9.260868075	20	75	0.475	5	400	10	329918.425171875	1
H01-0045.a3	H01-0045	H01-0045.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.4347637	20	75	0.475	5	400	10	15488.4568125	1
L01-0116.a2	L01-0116	L01-0116.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.802528739	20	75	0.475	5	400	10	28590.086326875	1
A02-0289.a2	A02-0289	A02-0289.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.777253688	20	75	0.475	5	400	10	27689.662635	1
N03-0116.a3	N03-0116	N03-0116.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.057722475	20	75	0.475	5	400	10	2056.363171875	1
G01-0095.a1	G01-0095	G01-0095.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	3.104601145	20	75	0.475	5	400	10	110601.415790625	1
O01-0063.a2	O01-0063	O01-0063.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.142335087	20	75	0.475	5	400	10	5070.687474375	1
C01-0063.a3	C01-0063	C01-0063.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.274887025	20	75	0.475	5	400	10	9792.850265625	1
L01-0059.a1	L01-0059	L01-0059.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
H01-0169.a2	H01-0169	H01-0169.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.157820195	20	75	0.475	5	400	10	5622.344446875	1
A04-0022.a3	A04-0022	A04-0022.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.789890826	20	75	0.475	5	400	10	28139.86067625	1
G01-0082.a2	G01-0082	G01-0082.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	20.9396534	20	75	0.475	5	400	10	745975.152375	1
E01-0078.a1	E01-0078	E01-0078.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.509037555	20	75	0.475	5	400	10	18134.462896875	1
N03-0091.a1	N03-0091	N03-0091.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	1.486917973	20	75	0.475	5	400	10	52971.452788125	1
D01-0027.a2	D01-0027	D01-0027.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	2.507297516	20	75	0.475	5	400	10	89322.4740075	1
H01-0233.a3	H01-0233	H01-0233.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.075176239	20	75	0.475	5	400	10	2678.153514375	1
A03-0286.a3	A03-0286	A03-0286.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	1.533160568	20	75	0.475	5	400	10	54618.845235	1
A02-0342.a1	A02-0342	A02-0342.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
C01-0131.a1	C01-0131	C01-0131.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.248383954	20	75	0.475	5	400	10	8848.67836125	1
L01-0060.a1	L01-0060	L01-0060.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
H01-0150.a2	H01-0150	H01-0150.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.439610392	20	75	0.475	5	400	10	15661.120215	1
M03-0072.a2	M03-0072	M03-0072.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.240202248	20	75	0.475	5	400	10	8557.205085	1
G01-0014.a3	G01-0014	G01-0014.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.330299169	20	75	0.475	5	400	10	11766.907895625	1
A01-0276.a3	A01-0276	A01-0276.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.921276927	20	75	0.475	5	400	10	32820.490524375	1
A02-0190.a1	A02-0190	A02-0190.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	50	0.425	5	400	10	0	1
A04-0098.a2	A04-0098	A04-0098.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	3.886826277	20	75	0.475	5	400	10	138468.186118125	1
M04-0093.a2	M04-0093	M04-0093.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	5.471117975	20	75	0.475	5	400	10	194908.577859375	1
K01-0072.a1	K01-0072	K01-0072.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.48799333	20	75	0.475	5	400	10	17384.76238125	1
R01-0010.a3	R01-0010	R01-0010.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
A01-0005.a1	A01-0005	A01-0005.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	10.5018034	20	50	0.425	5	400	10	223163.32225	1
N02-0056.a1	N02-0056	N02-0056.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.867865563	20	75	0.475	5	400	10	30917.710681875	1
A02-0481.a3	A02-0481	A02-0481.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.56878984	20	75	0.475	5	400	10	20263.13805	1
A02-0351.a3	A02-0351	A02-0351.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.993850589	20	75	0.475	5	400	10	35405.927233125	1
A02-0245.a2	A02-0245	A02-0245.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.182497576	20	75	0.475	5	400	10	6501.476145	1
M04-0070.a1	M04-0070	M04-0070.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.140667245	20	75	0.475	5	400	10	5011.270603125	1
A02-0173.a2	A02-0173	A02-0173.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.437702239	20	50	0.425	5	400	10	9301.17257875	1
G01-0162.a3	G01-0162	G01-0162.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	4.212311268	20	75	0.475	5	400	10	150063.5889225	1
A04-0003.a2	A04-0003	A04-0003.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	23.97792435	20	75	0.475	5	400	10	854213.55496875	1
M04-0008.a2	M04-0008	M04-0008.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
C01-0183.a2	C01-0183	C01-0183.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	4.400596142	20	75	0.475	5	400	10	156771.23755875	1
H01-0089.a3	H01-0089	H01-0089.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.230492204	20	75	0.475	5	400	10	8211.2847675	1
A02-0516.a2.a2	A02-0516	A02-0516.a2.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	7.15858841	20	75	0.475	5	400	10	255024.71210625	1
P01-0041.a1	P01-0041	P01-0041.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	1.571771145	20	75	0.475	5	400	10	55994.347040625	1
D01-0034.a1	D01-0034	D01-0034.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.719676137	20	75	0.475	5	400	10	25638.462380625	1
A02-0036.a1	A02-0036	A02-0036.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	75.35738375	20	50	0.425	5	400	10	1601344.4046875	1
B01-0125.a3	B01-0125	B01-0125.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
S01-0009.a2	S01-0009	S01-0009.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	5.48847389	20	75	0.475	5	400	10	195526.88233125	1
O01-0066.a1	O01-0066	O01-0066.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.633396447	20	75	0.475	5	400	10	22564.748424375	1
B01-0167.a1	B01-0167	B01-0167.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.475987285	20	75	0.475	5	400	10	16957.047028125	1
A03-0004.a1	A03-0004	A03-0004.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	50	0.425	5	400	10	0	1
A1027.a1	A1027	A1027.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	60	4	5	200	100	0	1
G01-0200.a3	G01-0200	G01-0200.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.303456545	20	75	0.475	5	400	10	10810.639415625	1
A01-0050.a1	A01-0050	A01-0050.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	2.429139614	20	50	0.425	5	400	10	51619.2167975	1
M03-0094.a1	M03-0094	M03-0094.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	1.441017509	20	75	0.475	5	400	10	51336.248758125	1
P01-0052.a3	P01-0052	P01-0052.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.466575682	20	75	0.475	5	400	10	16621.75867125	1
C1.a2	C1	C1.a2	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	9	400	10	0	1
K01-0094.a2	K01-0094	K01-0094.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	5.64917135	20	75	0.475	5	400	10	201251.72934375	1
J01-0012.a1	J01-0012	J01-0012.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.074017458	20	75	0.475	5	400	10	2636.87194125	1
Q01-0056.a1	Q01-0056	Q01-0056.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	10.91091824	20	75	0.475	5	400	10	388701.4623	1
H01-0105.a2	H01-0105	H01-0105.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	11.15787316	20	75	0.475	5	400	10	397499.231325	1
