result_id	sample_id	assay_id	target	target_category	target_genetic_locus	responsible_lab_name	responsible_lab_abbrev	assay_target_copies_per_ul_reaction	assay_reaction_ul	extraction_output_ul	concentration_output_ml	assay_input_ul	extraction_input_ul	concentration_input_ml	target_copies_per_literww	target_result_validated
E01-0084.a1	E01-0084	E01-0084.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
B01-0192.a2	B01-0192	B01-0192.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	7.56618023	20	75	0.475	5	400	10	269545.17069375	1
P01-0015.a1	P01-0015	P01-0015.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	32.86856842	20	75	0.475	5	400	10	1170942.7499625	1
J01-0055.a3	J01-0055	J01-0055.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.06785699	20	75	0.475	5	400	10	2417.40526875	1
K01-0117.a1	K01-0117	K01-0117.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	6.249375345	20	75	0.475	5	400	10	222633.996665625	1
N02-0090.a2	N02-0090	N02-0090.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.268907577	20	75	0.475	5	400	10	9579.832430625	1
A03-0226.a1	A03-0226	A03-0226.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.073568493	20	75	0.475	5	400	10	2620.877563125	1
A03-0160.a3	A03-0160	A03-0160.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.720523417	20	75	0.475	5	400	10	25668.646730625	1
I01-0046.a1	I01-0046	I01-0046.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	1.98464787	20	75	0.475	5	400	10	70703.08036875	1
G01-0098.a1	G01-0098	G01-0098.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.648678243	20	75	0.475	5	400	10	23109.162406875	1
A01-0130.a2	A01-0130	A01-0130.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	1.389942765	20	75	0.475	5	400	10	49516.711003125	1
B01-0174.a1	B01-0174	B01-0174.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.071342319	20	75	0.475	5	400	10	2541.570114375	1
A01-0253.a3	A01-0253	A01-0253.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.6124084	20	75	0.475	5	400	10	21817.04925	1
E02-0103.a2	E02-0103	E02-0103.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.565474928	20	75	0.475	5	400	10	20145.04431	1
A02-0366.a1	A02-0366	A02-0366.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.342395395	20	75	0.475	5	400	10	12197.835946875	1
N02-0061.a3	N02-0061	N02-0061.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
A02-0019.a1	A02-0019	A02-0019.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	1.518154502	20	50	0.425	5	400	10	32260.7831675	1
A03-0191.a2	A03-0191	A03-0191.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.362559915	20	75	0.475	5	400	10	12916.196971875	1
H01-0147.a2	H01-0147	H01-0147.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.223599851	20	75	0.475	5	400	10	7965.744691875	1
A02-0211.a2	A02-0211	A02-0211.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.151548445	20	50	0.425	5	400	10	3220.40445625	1
A0033.a2	A0033	A0033.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	60	3.2	5	200	100	0	1
E02-0097.a3	E02-0097	E02-0097.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	1.016828537	20	50	0.475	5	400	10	24149.67775375	1
A02-0421.a1	A02-0421	A02-0421.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
E01-0075.a1	E01-0075	E01-0075.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	2.983863831	20	75	0.475	5	400	10	106300.148979375	1
K01-0101.a1	K01-0101	K01-0101.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	7.484210015	20	75	0.475	5	400	10	266624.981784375	1
H01-0196.a1	H01-0196	H01-0196.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
G01-0146.a3	G01-0146	G01-0146.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
G01-0003.a1	G01-0003	G01-0003.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	24.3887806	20	50	0.425	5	400	10	518261.58775	1
