extraction_id	concentration_id	extraction_batch_id	extraction_location_in_batch	extraction_location_in_storage	extraction_comment
P01-0125.e1	P01-0125.c1	EB75	B08	G8	
L01-0569.e1	L01-0569.c1	EB75	B07	G7	
M03-0397.e1	M03-0397.c1	EB75	C02	H2	
C01-0709.e1	C01-0709.c1	EB75	B01	G1	
A01-0965.e1	A01-0965.c1	EB75	A05	F5	
C01-0706.e1	C01-0706.c1	EB75	A06	F6	
J01-0415.e1	J01-0415.c1	EB75	B03	G3	
C01-0708.e1	C01-0708.c1	EB75	A08	F8	
N02-0362.e1	N02-0362.c1	EB75	C04	H4	
C01-0707.e1	C01-0707.c1	EB75	A07	F7	
R02-0470.e1	R02-0470.c1	EB75	B06	G6	
D01-0418.e1	D01-0418.c1	EB75	B05	G5	
A01-0961.e1	A01-0961.c1	EB75	A01	NAB 137 F1	
A01-0963.e1	A01-0963.c1	EB75	A03	F3	
O01-0504.e1	O01-0504.c1	EB75	C06	H6	
A04-0556.e1	A04-0556.c1	EB75	C05	H5	
A01-0962.e1	A01-0962.c1	EB75	A02	F2	
H01-0937.e1	H01-0937.c1	EB75	B04	G4	
N03-0462.e1	N03-0462.c1	EB75	C03	H3	
M04-0265.e1	M04-0265.c1	EB75	C01	H1	
C01-0710.e1	C01-0710.c1	EB75	B02	G2	
A01-0964.e1	A01-0964.c1	EB75	A04	F4	
