extraction_id	concentration_id	extraction_batch_id	extraction_location_in_batch	extraction_location_in_storage	extraction_comment
C01-0702.e1	C01-0702.c1	EB74	A08	B8	
D01-0417.e1	D01-0417.c1	EB74	B08	C8	
A04-0552.e1	A04-0552.c1	EB74	D06	E6	
O01-0489.e1	O01-0489.c1	EB74	D04	E4	
Q01-0518.e1	Q01-0518.c1	EB74	C08	D8	
A01-0956.e1	A01-0956.c1	EB74	A02	B2	
P01-0116.e1	P01-0116.c1	EB74	D05	E5	
A01-0955.e1	A01-0955.c1	EB74	A01	NAB 137 B1	
L01-0568.e1	L01-0568.c1	EB74	D03	E3	
C01-0704.e1	C01-0704.c1	EB74	B02	C2	
C01-0703.e1	C01-0703.c1	EB74	B01	C1	
J01-0414.e1	J01-0414.c1	EB74	C01	D1	
K01-0394.e1	K01-0394.c1	EB74	C02	D2	
M04-0253.e1	M04-0253.c1	EB74	D07	E7	
E01-0550.e1	E01-0550.c1	EB74	B07	C7	
R02-0458.e1	R02-0458.c1	EB74	C03	D3	
U01-0086.e1	U01-0086.c1	EB74	C05	D5	
C01-0701.e1	C01-0701.c1	EB74	A07	B7	
H01-0936.e1	H01-0936.c1	EB74	C07	D7	
N02-0437.e1	N02-0437.c1	EB74	D02	E2	
T01-0276.e1	T01-0276.c1	EB74	D01	E1	
A01-0959.e1	A01-0959.c1	EB74	A05	B5	
A01-0957.e1	A01-0957.c1	EB74	A03	B3	
E01-0548.e1	E01-0548.c1	EB74	B05	C5	
C01-0705.e1	C01-0705.c1	EB74	B03	C3	
A01-0960.e1	A01-0960.c1	EB74	A06	B6	
A01-0958.e1	A01-0958.c1	EB74	A04	B4	
E01-0549.e1	E01-0549.c1	EB74	B06	C6	
E01-0547.e1	E01-0547.c1	EB74	B04	C4	
R01-0480.e1	R01-0480.c1	EB74	C04	D4	
G01-0534.e1	G01-0534.c1	EB74	C06	D6	
