concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
A01-1399.c1	A01-1399	CB195	C01	
Q01-0637.c1	Q01-0637	CB195	D05	
C01-1112.c1	C01-1112	CB195	B03	
M03-0539.c1	M03-0539	CB195	C04	
A04-0565.c1	A04-0565	CB195	A05	
J01-0559.c1	J01-0559	CB195	B06	
D01-0612.c1	D01-0612	CB195	D04	
A01-1397.c1	A01-1397	CB195	A01	
T01-0398.c1	T01-0398	CB195	C05	
C01-1115.c1	C01-1115	CB195	A04	
A01-1400.c1	A01-1400	CB195	D01	
A01-1402.c1	A01-1402	CB195	B02	
H01-1006.c1	H01-1006	CB195	C06	
C01-1111.c1	C01-1111	CB195	A03	
A01-1403.c1	A01-1403	CB195	C02	
R02-0558.c1	R02-0558	CB195	B05	
C01-1114.c1	C01-1114	CB195	D03	
U01-0175.c1	U01-0175	CB195	A06	
C01-1113.c1	C01-1113	CB195	C03	
A01-1404.c1	A01-1404	CB195	D02	
A01-1398.c1	A01-1398	CB195	B01	
U01-0180.c1	U01-0180	CB195	D06	
N02-0576.c1	N02-0576	CB195	B04	
A01-1401.c1	A01-1401	CB195	A02	
A02-1292.c1	A02-1292	CB196	C01	
A02-1401.c1	A02-1401	CB196	A03	
A02-1399.c1	A02-1399	CB196	C02	
L01-0660.c1	L01-0660	CB196	B01	
A02-1400.c1	A02-1400	CB196	D02	
Q01-0639.c1	Q01-0639	CB196	A01	
A02-1293.c1	A02-1293	CB196	D01	
A02-1398.c1	A02-1398	CB196	B02	
A02-1301.c1	A02-1301	CB196	A02	
