concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
D01-1021.c1	D01-1021	CB242	A01	
H01-1030.c1	H01-1030	CB240	A01	
T01-1000.c1	T01-1000	CB240	B01	
R02-1024.c1	R02-1024	CB240	C01	
A01-1563.c1	A01-1563	CB243	B01	
L01-1018.c1	L01-1018	CB243	B05	
A01-1564.c1	A01-1564	CB243	C01	
O01-1010.c1	O01-1010	CB243	A06	
C01-1251.c1	C01-1251	CB243	A03	
A01-1565.c1	A01-1565	CB243	D01	
A04-0583.c1	A04-0583	CB243	C05	
M04-1009.c1	M04-1009	CB243	D05	
C01-1252.c1	C01-1252	CB243	B03	
N02-1009.c1	N02-1009	CB243	B06	
F01-1016.c1	F01-1016	CB243	D06	
C01-1255.c1	C01-1255	CB243	D03	
M03-1020.c1	M03-1020	CB243	C06	
C01-1253.c1	C01-1253	CB243	C03	
A01-1562.c1	A01-1562	CB243	A01	
O01-0224.c1	O01-0224	CB243	A05	
G01-1012.c1	G01-1012	CB243	B04	
A01-1567.c1	A01-1567	CB243	B02	
K01-0480.c1	K01-0480	CB243	D04	
Q01-1026.c1	Q01-1026	CB243	C04	
A01-1569.c1	A01-1569	CB243	D02	
A01-1568.c1	A01-1568	CB243	C02	
C01-1254.c1	C01-1254	CB243	A04	
A01-1566.c1	A01-1566	CB243	A02	
W01-1011.c1	W01-1011	CB239	B04	
A01-1558.c1	A01-1558	CB239	B02	
O01-0225.c1	O01-0225	CB239	C04	
N03-1006.c1	N03-1006	CB239	D04	
C01-1241.c1	C01-1241	CB239	C02	
C01-1242.c1	C01-1242	CB239	D02	
J01-1024.c1	J01-1024	CB239	A04	
A01-1557.c1	A01-1557	CB239	A02	
A01-1554.c1	A01-1554	CB239	B01	
L01-1016.c1	L01-1016	CB239	B05	
A01-1556.c1	A01-1556	CB239	D01	
C01-1243.c1	C01-1243	CB239	A03	
A04-0582.c1	A04-0582	CB239	A06	
A01-1555.c1	A01-1555	CB239	C01	
N02-0572.c1	N02-0572	CB239	D05	
M03-1018.c1	M03-1018	CB239	C05	
C01-1244.c1	C01-1244	CB239	B03	
K01-0479.c1	K01-0479	CB239	B06	
A01-1553.c1	A01-1553	CB239	A01	
C01-1245.c1	C01-1245	CB239	C03	
F01-1014.c1	F01-1014	CB239	C06	
W02-1002.c1	W02-1002	CB239	D06	
U01-0104.c1	U01-0104	CB239	D03	
M04-1008.c1	M04-1008	CB239	A05	
T01-1002.c1	T01-1002	CB244	A02	
W01-1013.c1	W01-1013	CB244	C02	
H01-1032.c1	H01-1032	CB244	C01	
U01-0171.c1	U01-0171	CB244	D01	
D01-1022.c1	D01-1022	CB244	A01	
J01-1026.c1	J01-1026	CB244	B02	
R02-1026.c1	R02-1026	CB244	B01	
L01-1015.c1	L01-1015	CB237	C06	
C01-1239.c1	C01-1239	CB237	C03	
A01-1546.c1	A01-1546	CB237	A01	
C01-1240.c1	C01-1240	CB237	D03	
O01-0221.c1	O01-0221	CB237	D06	
H01-1029.c1	H01-1029	CB237	A05	
A04-0584.c1	A04-0584	CB237	B06	
C01-1238.c1	C01-1238	CB237	B03	
A01-1549.c1	A01-1549	CB237	D01	
A01-1548.c1	A01-1548	CB237	C01	
N03-1005.c1	N03-1005	CB237	A06	
C01-1237.c1	C01-1237	CB237	A03	
M03-1017.c1	M03-1017	CB237	D05	
Q01-1023.c1	Q01-1023	CB237	C05	
A01-1547.c1	A01-1547	CB237	B01	
K01-0462.c1	K01-0462	CB237	B05	
U01-0155.c1	U01-0155	CB237	A04	
A01-1550.c1	A01-1550	CB237	A02	
T01-0305.c1	T01-0305	CB237	C04	
J01-1023.c1	J01-1023	CB237	D04	
A01-1552.c1	A01-1552	CB237	C02	
C01-1236.c1	C01-1236	CB237	D02	
T01-0304.c1	T01-0304	CB237	B04	
A01-1551.c1	A01-1551	CB237	B02	
L01-1017.c1	L01-1017	CB241	A04	
C01-1247.c1	C01-1247	CB241	A02	
N02-1008.c1	N02-1008	CB241	D04	
M03-1019.c1	M03-1019	CB241	C04	
C01-1250.c1	C01-1250	CB241	D02	
C01-1249.c1	C01-1249	CB241	C02	
N03-1007.c1	N03-1007	CB241	B04	
C01-1248.c1	C01-1248	CB241	B02	
R02-1025.c1	R02-1025	CB241	D06	
P01-1018.c1	P01-1018	CB241	D03	
A01-1559.c1	A01-1559	CB241	A01	
T01-1001.c1	T01-1001	CB241	C03	
F01-1015.c1	F01-1015	CB241	C06	
W01-1012.c1	W01-1012	CB241	A05	
K01-0466.c1	K01-0466	CB241	B06	
U01-0118.c1	U01-0118	CB241	B03	
G01-1011.c1	G01-1011	CB241	A03	
J01-1025.c1	J01-1025	CB241	A06	
A01-1561.c1	A01-1561	CB241	C01	
C01-1246.c1	C01-1246	CB241	D01	
Q01-1025.c1	Q01-1025	CB241	C05	
H01-1031.c1	H01-1031	CB241	D05	
A01-1560.c1	A01-1560	CB241	B01	
Q01-1024.c1	Q01-1024	CB241	B05	
D01-1020.c1	D01-1020	CB238	C02	
W01-1010.c1	W01-1010	CB238	A02	
P01-1017.c1	P01-1017	CB238	A01	
F01-1013.c1	F01-1013	CB238	D01	
G01-1010.c1	G01-1010	CB238	C01	
R02-1023.c1	R02-1023	CB238	B02	
N02-1007.c1	N02-1007	CB238	B01	
