concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
U01-0147.c1	U01-0147	CB178	D02	
A04-0693.c1	A04-0693	CB178	C05	
A01-1344.c1	A01-1344	CB178	A01	
O01-0552.c1	O01-0552	CB178	D06	
Q01-0628.c1	Q01-0628	CB178	D03	
C01-0982.c1	C01-0982	CB178	B01	
C01-0985.c1	C01-0985	CB178	B04	
J01-0550.c1	J01-0550	CB178	C02	
M04-0419.c1	M04-0419	CB178	D05	
A01-1348.c1	A01-1348	CB178	A04	
T01-0324.c1	T01-0324	CB178	C03	
H01-0998.c1	H01-0998	CB178	C06	
A01-1349.c1	A01-1349	CB178	A05	
Q01-0630.c1	Q01-0630	CB178	C01	
K01-0553.c1	K01-0553	CB178	B05	
F01-0145.c1	F01-0145	CB178	D04	
N02-0604.c1	N02-0604	CB178	D01	
D01-0617.c1	D01-0617	CB178	B06	
C01-0984.c1	C01-0984	CB178	B03	
A01-1346.c1	A01-1346	CB178	A02	
C01-0981.c1	C01-0981	CB178	A06	
A01-1347.c1	A01-1347	CB178	A03	
R02-0554.c1	R02-0554	CB178	C04	
C01-0983.c1	C01-0983	CB178	B02	
M03-0532.c1	M03-0532	CB179	A02	
O01-0558.c1	O01-0558	CB179	A01	
O01-0569.c1	O01-0569	CB179	A03	
