assay_id	sample_id	collection_start_datetime	collection_end_datetime	event_type	sample_flow	sample_qc	location_id	target	target_genetic_locus	lab_id	target_copies_per_l	target_copies_per_ld	target_copies_per_ldcap	target_copies_flownorm	target_copies_fn_per_cap	target_per_capita_basis	nc_copies_per_rxn	pc_copies_per_rxn	target_result_validated
C01-0755.a3	C01-0755	03/16/2025 07:00 AM	03/17/2025 07:00 AM	Routine Surveillance	6.9	Pass	WheelingWWTP-01	SARS-CoV-2	SC2	ZooWVU	36893.3585286142	36893.3585286142	73.7867170572283	963629.76932383	1927.25953864766	100	0	NA	yes
H01-0015.a2	H01-0015	10/12/2021 8:00	10/13/2021 8:00	Routine Surveillance		Pass	MoundsvilleWWTP-01	SARS-CoV-2	N2	ZooWVU	718	718	5.98333333333333	NA	NA	100	0	49871.04492	yes
H01-0380.a1	H01-0380	10/20/2022 8:00	10/21/2022 8:00	Routine Surveillance	1.4	Pass	MoundsvilleWWTP-01	SARS-CoV-2	N1	ZooWVU	227116.73049375	227116.73049375	1892.63942078125	1203621.91988968	10030.1826657474	100	0	0	yes
A02-0686.a2	A02-0686	10/05/2022 9:00	10/07/2022 9:00	Routine Surveillance		Pass	Evansdale-01	SARS-CoV-2	N2	ZooWVU	63239.17732125	31619.588660625	NA	NA	NA	100	0	1234.4461824	yes
A01-0650.a2	A01-0650	08/21/2023 0:00	08/22/2023 0:00	Routine Surveillance	7.5	Pass	StarCityWWTP-01	SARS-CoV-2	N2	ZooWVU	4740220.013625	4740220.013625	9808.43406229308	134577571.813322	278467.082878086	100	13.28522444	NA	NTC above threshold
R01-0064.a2	R01-0064	07/24/2022 9:00	07/25/2022 8:30	Routine Surveillance	0.142	Pass	HuttonsvilleWWTP-01	SARS-CoV-2	N2	ZooWVU	1581	1581	75.2498810090433	849.83211582	40.4489345940028	100	0	666.691742	yes
A04-0098.a2	A04-0098	06/23/2022 8:00	06/24/2022 8:00	Routine Surveillance	0.586	Pass	CheatLakeWWTP-01	SARS-CoV-2	N2	ZooWVU	138468.186118125	138468.186118125	6923.40930590625	307157.089858259	15357.854492913	100	0	3305.126572	yes
R01-0036.a2	R01-0036	03/22/2022 9:00	03/23/2022 8:15	Routine Surveillance	0.166	Pass	HuttonsvilleWWTP-01	SARS-CoV-2	N2	ZooWVU	79179.504376875	79179.504376875	3768.65799033198	49754.6633521022	2368.14199676831	100	0	8816.233062	yes
A1013.a1	A1013	03/23/2021 12:00	03/23/2021 12:00	Routine Surveillance	9.556	Pass	StarCityWWTP-01	SARS-CoV-2	N1	ZooWVU	268	268	0.554543949677206	9694.46529328	20.0597278871048	100	0	NA	yes
K01-0456.a1	K01-0456	09/16/2024 06:22 AM	09/17/2024 06:22 AM	Routine Surveillance	3.749	Pass	ParkersburgWWTP-01	Respiratory Syncitial Virus, Human	G	ZooWVU	143	143	0.297606659729448	2029.38479887	4.22348553354839	100	0	570.683708190918	yes
J01-0501.a5	J01-0501	09/29/2024 07:30 AM	09/30/2024 07:30 AM	Routine Surveillance	0.056	Pass	AlpineLakeWWTP-01	SARS-CoV-2	SC2	ZooWVU	77535.318285227	77535.318285227	11076.4740407467	16436.1662746445	2348.02375352065	100	0	278.211517333984	yes
A01-1513.a2	A01-1513	03/09/2026 12:00 AM	03/10/2026 12:00 AM	Routine Surveillance	10.7	Pass	StarCityWWTP-01	Respiratory Syncitial Virus, Human	G	ZooWVU	4243.09425987304	4243.09425987304	8.77978451389058	171861.810432246	355.615399834974	100	NA	NA	Missing controls: all
A04-0544.a4	A04-0544	03/31/2024 12:00 AM	04/01/2024 12:00 AM	Routine Surveillance	0.607	Pass	CheatLakeWWTP-01	SARS-CoV-2	N2	ZooWVU	42980.1417142152	42980.1417142152	2149.00708571076	98757.3571555693	4937.86785777846	100	0	0	yes
A01-0727.a1	A01-0727	11/18/2023 12:00 AM	11/19/2023 12:00 AM	Routine Surveillance	7.3	Pass	StarCityWWTP-01	SARS-CoV-2	N1	ZooWVU	458144.860125	458144.860125	947.990523350853	12660142.7852502	26196.2894910821	100	0	1920.8102416	yes
