concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
P01-0112.c1	P01-0112	CB53	A01	
Q01-0509.c1	Q01-0509	CB53	A03	
R01-0486.c1	R01-0486	CB53	A04	
Q01-0504.c1	Q01-0504	CB53	A02	
T01-0266.c1	T01-0266	CB53	A06	
R02-0469.c1	R02-0469	CB53	A05	
C01-0648.c1	C01-0648	CB52	B02	
E01-0450.c1	E01-0450	CB52	B06	
E01-0528.c1	E01-0528	CB52	C03	
J01-0403.c1	J01-0403	CB52	C06	
C01-0649.c1	C01-0649	CB52	B03	
E01-0527.c1	E01-0527	CB52	C02	
N02-0360.c1	N02-0360	CB52	D05	
C01-0646.c1	C01-0646	CB52	A06	
K01-0377.c1	K01-0377	CB52	D01	
A01-0885.c1	A01-0885	CB52	A02	
M04-0215.c1	M04-0215	CB52	D04	
A01-0886.c1	A01-0886	CB52	A03	
M03-0376.c1	M03-0376	CB52	D03	
A01-0887.c1	A01-0887	CB52	A04	
E01-0449.c1	E01-0449	CB52	B05	
H01-0920.c1	H01-0920	CB52	C05	
L01-0527.c1	L01-0527	CB52	D02	
A01-0884.c1	A01-0884	CB52	A01	
O01-0488.c1	O01-0488	CB52	D06	
C01-0650.c1	C01-0650	CB52	B04	
A04-0536.c1	A04-0536	CB52	A05	
E01-0526.c1	E01-0526	CB52	C01	
C01-0647.c1	C01-0647	CB52	B01	
E01-0529.c1	E01-0529	CB52	C04	
