assay_id	sample_id	collection_start_datetime	collection_end_datetime	event_type	sample_flow	sample_qc	location_id	target	target_genetic_locus	lab_id	target_copies_per_l	target_copies_per_ld	target_copies_per_ldcap	target_copies_flownorm	target_copies_fn_per_cap	target_per_capita_basis	nc_copies_per_rxn	pc_copies_per_rxn	target_result_validated	z	is.outlier	is.extreme
M03-0233.a3	M03-0233	04/10/2023 11:00	04/11/2023 11:00	Routine Surveillance	0.174	Pass	ManningtonWWTP-01	Human	RNase P	ZooWVU	21873.852706875	21873.852706875	2004.93608678964	14407.4611348729	1320.57388953922	100	NA	NA	Missing controls: HEX	NA	NA	NA
R01-0083.a3	R01-0083	07/03/2022 8:00	07/04/2022 8:00	Routine Surveillance	0.129	Pass	HuttonsvilleWWTP-01	Human	RNase P	ZooWVU	15498.958171875	15498.958171875	737.69434421109	7568.41855168826	360.229345630093	100	NA	NA	Missing controls: HEX	NA	NA	NA
N02-0053.a1	N02-0053	05/02/2022 7:00	05/03/2022 7:00	Routine Surveillance	7.88	Pass	ClarksburgWWTP-01	SARS-CoV-2	N1	ZooWVU	28267.53953625	28267.53953625	106.678011684844	843193.307467019	3182.10169622998	100	0	445.4520702	yes	NA	NA	NA
A02-0902.a3	A02-0902	01/07/2023 9:00	01/09/2023 9:00	Routine Surveillance	NA	Pass	UPlace-01	Human	RNase P	ZooWVU	169473.6108225	84736.80541125	NA	NA	NA	100	NA	NA	Missing controls: HEX	NA	NA	NA
A01-1451.a5	A01-1451	01/05/2026 12:00 AM	01/06/2026 12:00 AM	Routine Surveillance	9.3	Pass	StarCityWWTP-01	Respiratory Syncitial Virus, Bovine	Other	ZooWVU	117746.717333794	117746.717333794	243.640782432118	4145192.2917414	8577.20636430517	100	0	NA	yes	NA	NA	NA
K01-0532.a2	K01-0532	06/02/2025 06:00 AM	06/03/2025 06:00 AM	Routine Surveillance	6.438	Pass	ParkersburgWWTP-01	SARS-CoV-2	SC2	ZooWVU	42211.1170738936	42211.1170738936	87.8483185720991	1028704.74458714	2140.90477541549	100	0	NA	yes	-0.676069344337704	FALSE	FALSE
H01-0390.a2	H01-0390	11/01/2022 8:00	11/02/2022 8:00	Routine Surveillance	1.3	Pass	MoundsvilleWWTP-01	SARS-CoV-2	N2	ZooWVU	464572.08215625	464572.08215625	3871.43401796875	2286174.54716962	19051.4545597468	100	0	1246.6836548	yes	-0.0295260290869277	FALSE	FALSE
B01-0167.a2	B01-0167	04/05/2022 7:00	04/06/2022 7:00	Routine Surveillance	5.2	Pass	CharlestonWWTP-01	SARS-CoV-2	N2	ZooWVU	12111.4755675	12111.4755675	24.222951135	238403.883785445	476.80776757089	100	0	0	yes	-0.684843699947545	FALSE	FALSE
R02-0530.a1	R02-0530	03/30/2025 08:00 AM	03/31/2025 08:00 AM	Routine Surveillance	4.24	Pass	ElkinsWWTP-01	SARS-CoV-2	SC2	ZooWVU	4146.70075289907	4146.70075289907	31.5194645249245	66555.1209874143	505.891767918929	100	0	NA	yes	-0.412223081819042	FALSE	FALSE
E01-0679.a5	E01-0679	11/25/2024 09:00 AM	11/26/2024 09:00 AM	Routine Surveillance	3.01	Pass	PrincetonWWTP-01	Respiratory Syncitial Virus, Bovine	Other	ZooWVU	154832.780063152	154832.780063152	430.091055730979	1764177.71747636	4900.49365965656	100	0	NA	yes	NA	NA	NA
N02-0163.a3	N02-0163	10/10/2022 7:00	10/11/2022 7:00	Routine Surveillance	5.86	Pass	ClarksburgWWTP-01	Human	RNase P	ZooWVU	757	757	2.85681938259491	16792.1544682	63.3714033821421	100	NA	NA	Missing controls: HEX	NA	NA	NA
M04-0239.a1	M04-0239	05/15/2023 0:00	05/16/2023 0:00	Routine Surveillance	0.062	Pass	FarmingtonWWTP-01	SARS-CoV-2	N1	ZooWVU	2205	2205	361.475409836066	517.5034011	84.8366231311475	100	0	929.2308808	yes	NA	NA	NA
N03-0030.a1	N03-0030	02/13/2022 10:50	02/14/2022 7:50	Routine Surveillance	4.857	Pass	SalemWWTP-01	SARS-CoV-2	N1	ZooWVU	20757.3906075	20757.3906075	1120.2045659741	381639.911438609	20595.78583047	100	0	4158.39119	yes	NA	NA	NA
A02-0764.a2	A02-0764	11/07/2022 9:00	11/09/2022 9:00	Routine Surveillance	NA	Pass	NorthHighSt-02	SARS-CoV-2	N2	ZooWVU	1057	528.5	NA	NA	NA	100	0	1246.6836548	yes	-0.450606567379232	FALSE	FALSE
