location_id	location_primary_lab	location_status	location_common_name	location_category	location_group	location_lng	location_lat	location_primary_wwtp_id	location_counties_served	location_population_served	location_sampler_type	location_collection_window_hrs	location_collection_pull_ml	location_collection_step_min	location_collection_basis	location_collection_type	location_zipcode	location_comment
HRSB	MUIDSL	inactive	Hurricane	wwtp	non-sentinel	-82.00695961	38.44652408	HurricaneWWTP	Putnam	28759	Facility hardware	72	25	20	time	raw wastewater	25526	
HSB	MUIDSL	inactive	Huntington	wwtp	non-sentinel	-82.52886403	38.40074493	HuntingtonSanitaryBoardWWTP	Cabell,Wayne	56000	Facility hardware	24	25	20	time	raw wastewater	25704	
HuttonsvilleWWTP-01	ZooWVU	active	Huttonsville	wwtp	non-sentinel	-79.97895	38.71288	HuttonsvilleWWTP	Randolph	2,101	WVU ISCO	24	25	20	time	raw wastewater	26273	
KeyserWWTP-01	ZooWVU	active	Keyser	wwtp	non-sentinel	-78.97508	39.44123	KeyserWWTP	Mineral	8,168	WVU ISCO	24	25	20	time	raw wastewater	26726	
Lofts-01	ZooWVU	inactive	The Lofts 1	higher ed dorm	non-sentinel	-79.9551221	39.6691886	StarCityWWTP	Monongalia	NA	WVU ISCO	48	25	30	time	raw wastewater	26505	Captures some combination of Stanley St (probably all) and Station Road (probably partial)
Lofts-02	ZooWVU	inactive	The Lofts 2	higher ed dorm	non-sentinel	-79.9552454	39.6692795	StarCityWWTP	Monongalia	NA	WVU ISCO	48	25	30	time	raw wastewater	26505	Captures the upper section of Station Road. Not clear exactly which buildings drop here vs. Lofts-01
MadisonWWTP-01	ZooWVU	active	Danville	wwtp	non-sentinel	-81.8472888	38.102484	MadisonWWTP	Boone	4,555	WVU ISCO	24	25	20	time	raw wastewater	25053	
ManningtonWWTP-01	ZooWVU	active	Mannington	wwtp	non-sentinel	-80.32371	39.51814	ManningtonWWTP	Marion	1,091	WVU ISCO	24	25	20	time	raw wastewater	26582	
MorgantownHS-01	ZooWVU	inactive	Morgantown High	k12	non-sentinel	-79.95736	39.62542	StarCityWWTP	Monongalia	1851	WVU ISCO	8			time	raw wastewater	26501	
MoundsvilleWWTP-01	ZooWVU	active	Moundsville	wwtp	non-sentinel	-80.75493	39.92986	MoundsvilleWWTP	Marshall	12,000	Facility hardware	24			flow	raw wastewater	26041	
MountainviewES-01	ZooWVU	inactive	Mountainview Elementary	k12	non-sentinel	-79.94331	39.61036	StarCityWWTP	Monongalia	726	WVU ISCO	8			time	raw wastewater	26501	
MtValley-01	ZooWVU	active	Mountain Valley Apartments	higher ed dorm	sentinel	-79.9657691	39.6727656	StarCityWWTP	Monongalia	NA	WVU ISCO	48	25	30	time	raw wastewater	26505	Captures all of Mountain Valley
Northern Wayne Co PSD	MUIDSL	inactive	North Wayne	wwtp	non-sentinel	-82.45130384	38.34333616	HuntingtonSanitaryBoardWWTP	Wayne	1600	Facility hardware	24	25	20	time	raw wastewater	25701	upstream from Huntington Sanitary board
NorthES-01	ZooWVU	inactive	North Elementary	k12	non-sentinel	-79.95674	39.66064	StarCityWWTP	Monongalia	688	WVU ISCO	8			time	raw wastewater	26505	
NorthHighSt-02	ZooWVU	active	North High Street	higher ed dorm	sentinel	-79.9532029	39.6331164	StarCityWWTP	Monongalia	NA	WVU ISCO	48	25	30	time	raw wastewater	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.
OaklandE-02	ZooWVU	active	WVU Oakland Hall	higher ed dorm	sentinel	-79.9622118	39.6511596	StarCityWWTP	Monongalia	862	WVU ISCO	48	25	30	time	raw wastewater	26505	Isolates WVU Oakland Hall.
ParkersburgWWTP-01	ZooWVU	active	Parkersburg	wwtp	non-sentinel	-81.55739	39.28171	ParkersburgWWTP	Wood	48,050	Facility hardware	24			flow	raw wastewater	26101	
Pea Ridge PSD LeSage	MUIDSL	inactive	LeSage	wwtp	non-sentinel	-82.28756396	38.57262365	PeaRidgeWWTP-C	Cabell	1000	Facility hardware	24	25	20	time	raw wastewater	25537	small independent plant under PeaRidge management
PetersburgWWTP-01	ZooWVU	inactive	Petersburg	wwtp	non-sentinel	-79.12725	38.99091	PetersburgWWTP	Grant	2,700	Facility hardware	24			flow	raw wastewater	26847	
PointPleasantWWTP-01	ZooWVU	active	Point Pleasant	wwtp	non-sentinel	-82.1351148	38.8567084	PointPleasantWWTP	Mason	5,515	WVU ISCO	24	25	20	time	raw wastewater	25550	
PotomacState-01	ZooWVU	withdrawn	WVU Keyser	higher ed dorm	non-sentinel	-78.98272	39.43807	KeyserWWTP	Mineral	1193	WVU ISCO	48	25	30	time	raw wastewater	26726	
PrincetonWWTP-01	ZooWVU	active	Princeton	wwtp	sentinel	-81.07993	37.38036	PrincetonWWTP	Mercer	36,000	WVU HACH	24	25	20	time	raw wastewater	24740	
PRPSD	MUIDSL	inactive	Pea Ridge	wwtp	non-sentinel	-82.29820925	38.41966191	PeaRidgeWWTP-A	Cabell	7000	Facility hardware	24	25	20	time	raw wastewater	25705	
SalemWWTP-01	ZooWVU	active	Salem	wwtp	non-sentinel	-80.54515	39.28597	SalemWWTP	Harrison	1,853	WVU ISCO	24	25	20	time	raw wastewater	26426	
Seneca-01	ZooWVU	active	WVU Seneca Hall	higher ed dorm	sentinel	-79.95614	39.6392	StarCityWWTP	Monongalia	474	WVU ISCO	48	25	30	time	raw wastewater	26505	Captures Seneca Hall and associated dining
SistervilleWWTP-01	ZooWVU	withdrawn	Sisterville	wwtp	non-sentinel			SistervilleWWTP	Tyler	1,800	Facility hardware	24			flow	raw wastewater		
SRM	MUIDSL	inactive	Milton, Culloden	wwtp	non-sentinel	-82.105145	38.425437	SaltRockWWTP-A	Cabell	7200	Facility hardware	24	25	20	time	raw wastewater	25541	12" and 20" pipe allow ona (12") and milton (20") to be separated
SRO	MUIDSL	inactive	Ona, Salt Rock	wwtp	non-sentinel	-82.24487775	38.37216236	SaltRockWWTP-B	Cabell	4050	Facility hardware	24	25	20	time	raw wastewater	25545	12" and 20" pipe allow ona (12") and milton (20") to be separated
StarCityWWTP-01	ZooWVU	active	Morgantown Star City	wwtp	sentinel	-79.9920554	39.6551745	StarCityWWTP	Monongalia	48,328	Facility hardware	24			flow	raw wastewater	26505	
StMarysWWTP-01	ZooWVU	inactive	Saint Marys	wwtp	non-sentinel	-81.20511	39.39125	StMarysWWTP	Pleasants	2,892	WVU ISCO	24	25	20	time	raw wastewater	26170	
SuncrestES-01	ZooWVU	inactive	Suncrest Elementary	k12	non-sentinel	-79.97825	39.67137	StarCityWWTP	Monongalia	515	WVU ISCO	8			time	raw wastewater	26505	
TowersBB-01	ZooWVU	active	WVU Brooke & Braxton Towers	higher ed dorm	sentinel	-79.9663361	39.6495489	StarCityWWTP	Monongalia	904	WVU ISCO	48	25	30	time	raw wastewater	26505	Captures Brooke and Braxton Towers. Taken from the University Ave. side of the bottom flow, which compiles both towers
TTE	MUIDSL	inactive	MU Towers East	higher ed dorm	non-sentinel				Cabell							raw wastewater		
TTW	MUIDSL	inactive	MU Towers West	higher ed dorm	non-sentinel				Cabell							raw wastewater		
UniversityHS-01	ZooWVU	inactive	University High	k12	non-sentinel	-79.92615	39.68782	StarCityWWTP	Monongalia	1310	WVU ISCO	8			time	raw wastewater	26508	
UPlace-01	ZooWVU	active	University Place Apartments	higher ed dorm	sentinel	-79.9567559	39.64019	StarCityWWTP	Monongalia	NA	WVU ISCO	48	25	30	time	raw wastewater	26505	Captures UPlace and associated dining
WarmSpringsWWTP-01	ZooWVU	withdrawn	Warm Springs	wwtp	non-sentinel	-78.22662	39.62802	WarmSpringsWWTP	Morgan	3,255	Facility hardware	24			flow	raw wastewater	25411	
WeirtonWWTP-01	ZooWVU	withdrawn	Weirton	wwtp	non-sentinel			WeirtonWWTP	Brooke	20,411	Facility hardware	24			flow	raw wastewater		
WestonWWTP-01	ZooWVU	active	Weston	wwtp	non-sentinel	-80.45991	39.06224	WestonWWTP	Lewis	10,364	WVU ISCO	24	25	20	time	raw wastewater	26452	
WestRun-01	ZooWVU	inactive	West Run Apartments	higher ed dorm	non-sentinel	-79.925397	39.6565887	StarCityWWTP	Monongalia	NA	WVU ISCO	48	25	30	time	raw wastewater	26505	Captures all of West Run Apartments
WestUnionWWTP-01	ZooWVU	active	West Union	wwtp	non-sentinel	-80.77899	39.29906	WestUnionWWTP	Doddridge	564	WVU ISCO	24	25	20	time	raw wastewater	26456	
WheelingWWTP-01	ZooWVU	active	Wheeling	wwtp	sentinel	-80.72757	40.05588	WheelingWWTP	Ohio	50,000	Facility hardware	24			flow	raw wastewater	26003	
WorthingtonWWTP-01	ZooWVU	withdrawn	Worthington	wwtp	non-sentinel	-80.26036	39.45258	WorthingtonWWTP	Marion	2,742	WVU ISCO	24	25	30	time	raw wastewater	26591	
