concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
A01-1246.c1	A01-1246	CB148	B01	
A01-1243.c1	A01-1243	CB148	A04	
A04-0675.c1	A04-0675	CB148	D01	
A01-1241.c1	A01-1241	CB148	A02	
H01-0982.c1	H01-0982	CB148	C04	
E01-0733.c1	E01-0733	CB148	C02	
C01-0893.c1	C01-0893	CB148	B03	
Q01-0612.c1	Q01-0612	CB148	D05	
C01-0895.c1	C01-0895	CB148	B05	
R02-0533.c1	R02-0533	CB148	D03	
J01-0553.c1	J01-0553	CB148	C06	
A01-1245.c1	A01-1245	CB148	A06	
E01-0734.c1	E01-0734	CB148	C03	
A01-1242.c1	A01-1242	CB148	A03	
U01-0079.c1	U01-0079	CB148	C05	
A01-1244.c1	A01-1244	CB148	A05	
F01-0128.c1	F01-0128	CB148	D06	
C01-0896.c1	C01-0896	CB148	B06	
D01-0585.c1	D01-0585	CB148	D02	
T01-0306.c1	T01-0306	CB148	D04	
A01-1240.c1	A01-1240	CB148	A01	
E01-0732.c1	E01-0732	CB148	C01	
C01-0894.c1	C01-0894	CB148	B04	
C01-0892.c1	C01-0892	CB148	B02	
G01-0638.c1	G01-0638	CB149	A02	
Q01-0611.c1	Q01-0611	CB149	A01	
K01-0525.c1	K01-0525	CB149	A03	
