Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Accepted Droplets,Positives,Negatives
B03,,,,,BRSV,2.39204859733582,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,19475,37,19438
B03,,,,,RSV,0.064590185880661,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,19475,1,19474
B03,,,,,FLUB,0.129183694720268,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,19475,2,19473
B03,,,,,SC2,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,19475,0,19475
B04,,,,,FLUA,0.683536052703857,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20248,11,20237
B04,,,,,BRSV,0.248515591025352,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20248,4,20244
B04,,,,,RSV,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,20248,0,20248
B04,,,,,FLUB,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,20248,0,20248
B04,,,,,SC2,0.621381044387817,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,20248,10,20238
B05,,,,,FLUA,1.65662527084351,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,18235,24,18211
B05,,,,,BRSV,1.93294179439545,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,18235,28,18207
B05,,,,,RSV,0.482957035303116,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,18235,7,18228
B05,,,,,FLUB,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,18235,0,18235
B05,,,,,SC2,0.137968808412552,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,18235,2,18233
C01,,,,,FLUA,1.38649022579193,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,19970,22,19948
C01,,,,,BRSV,3.72176671028137,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,19970,59,19911
C01,,,,,RSV,0.630033433437347,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,19970,10,19960
C01,,,,,FLUB,0.44099023938179,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,19970,7,19963
C01,,,,,SC2,1.95413160324097,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,19970,31,19939
C02,,,,,FLUA,1.21844494342804,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20657,20,20637
C02,,,,,BRSV,2.43807148933411,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20657,40,20617
C02,,,,,RSV,0.36540961265564,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,20657,6,20651
C02,,,,,FLUB,0.182691529393196,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,20657,3,20654
C02,,,,,SC2,1.03560304641724,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,20657,17,20640
C03,,,,,FLUA,0.374902874231339,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20134,6,20128
C03,,,,,BRSV,2.1259286403656,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20134,34,20100
C03,,,,,RSV,0.0624760538339615,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,20134,1,20133
C03,,,,,FLUB,0.0624760538339615,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,20134,1,20133
C03,,,,,SC2,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,20134,0,20134
C04,,,,,FLUA,0.551035761833191,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20549,9,20540
C04,,,,,BRSV,0.244874998927116,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20549,4,20545
C04,,,,,RSV,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,20549,0,20549
C04,,,,,FLUB,0.122431538999081,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,20549,2,20547
C04,,,,,SC2,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,20549,0,20549
C05,,,,,FLUA,0.700173497200012,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,14376,8,14368
C05,,,,,BRSV,3.68026638031006,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,14376,42,14334
C05,,,,,RSV,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,14376,0,14376
C05,,,,,FLUB,0.0875003710389137,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,14376,1,14375
C05,,,,,SC2,4.03133058547974,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,14376,46,14330
D01,,,,,FLUA,1.25017309188843,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20133,20,20113
D01,,,,,BRSV,2.68940997123718,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20133,43,20090
D01,,,,,RSV,0.812471210956573,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,20133,13,20120
D01,,,,,FLUB,0.124961413443089,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,20133,2,20131
D01,,,,,SC2,1.75059044361115,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,20133,28,20105
D02,,,,,FLUA,2.77115225791931,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20903,46,20857
D02,,,,,BRSV,4.46093416213989,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20903,74,20829
D02,,,,,RSV,0.060177568346262,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,20903,1,20902
D02,,,,,FLUB,1.02341032028198,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,20903,17,20886
D02,,,,,SC2,0.78253298997879,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,20903,13,20890
D03,,,,,FLUA,1.31867790222168,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20042,21,20021
D03,,,,,BRSV,3.89723062515259,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20042,62,19980
D03,,,,,RSV,0.25107017159462,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,20042,4,20038
D03,,,,,FLUB,0.50219053030014,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,20042,8,20034
D03,,,,,SC2,1.31867790222168,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,20042,21,20021
D04,,,,,FLUA,0.577250838279724,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,19616,9,19607
D04,,,,,BRSV,0.962231934070587,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,19616,15,19601
D04,,,,,RSV,0.0641259029507637,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,19616,1,19615
D04,,,,,FLUB,0.0641259029507637,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,19616,1,19615
D04,,,,,SC2,0.962231934070587,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,19616,15,19601
D05,,,,,FLUA,0.903311789035797,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,19502,14,19488
D05,,,,,BRSV,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,19502,0,19502
D05,,,,,RSV,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,19502,0,19502
D05,,,,,FLUB,0.0645007640123367,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,19502,1,19501
D05,,,,,SC2,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,19502,0,19502
E01,,,,,FLUA,1.05260384082794,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,19128,16,19112
E01,,,,,BRSV,2.63316321372986,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,19128,40,19088
