concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
K01-0511.c1	K01-0511	CB101	A04	
P01-0166.c1	P01-0166	CB101	A06	
H01-0957.c1	H01-0957	CB101	A02	
O01-0222.c1	O01-0222	CB101	B01	
R02-0511.c1	R02-0511	CB101	A05	
U01-0135.c1	U01-0135	CB101	A01	
Q01-0585.c1	Q01-0585	CB101	A03	
N02-0541.c1	N02-0541	CB102	D06	
C01-0805.c1	C01-0805	CB102	C04	
C01-0803.c1	C01-0803	CB102	C02	
A02-1362.c1	A02-1362	CB102	B03	
E01-0671.c1	E01-0671	CB102	C05	
E01-0676.c1	E01-0676	CB102	D03	
C01-0801.c1	C01-0801	CB102	B06	
E01-0673.c1	E01-0673	CB102	D01	
A01-1098.c1	A01-1098	CB102	B01	
A01-1096.c1	A01-1096	CB102	A05	
A01-1093.c1	A01-1093	CB102	A02	
A01-1095.c1	A01-1095	CB102	A04	
A01-1094.c1	A01-1094	CB102	A03	
C01-0802.c1	C01-0802	CB102	C01	
A01-1097.c1	A01-1097	CB102	A06	
E01-0677.c1	E01-0677	CB102	D04	
E01-0675.c1	E01-0675	CB102	D02	
E01-0672.c1	E01-0672	CB102	C06	
M04-0380.c1	M04-0380	CB102	D05	
A02-1364.c1	A02-1364	CB102	B05	
C01-0804.c1	C01-0804	CB102	C03	
A01-1092.c1	A01-1092	CB102	A01	
A02-1361.c1	A02-1361	CB102	B02	
A02-1363.c1	A02-1363	CB102	B04	
A02-1354.c1	A02-1354	CB91	A06	
A01-1067.c1	A01-1067	CB91	A03	
C01-0779.c1	C01-0779	CB91	C01	
A02-1356.c1	A02-1356	CB91	B02	
C01-0776.c1	C01-0776	CB91	B04	
O01-0534.c1	O01-0534	CB91	C03	
C01-0777.c1	C01-0777	CB91	B05	
A01-1065.c1	A01-1065	CB91	A01	
N02-0532.c1	N02-0532	CB91	D05	
G01-0602.c1	G01-0602	CB91	C06	
K01-0504.c1	K01-0504	CB91	D04	
R02-0506.c1	R02-0506	CB91	D02	
C01-0778.c1	C01-0778	CB91	B06	
M03-0477.c1	M03-0477	CB91	D03	
P01-0153.c1	P01-0153	CB91	C05	
A02-1357.c1	A02-1357	CB91	B03	
Q01-0582.c1	Q01-0582	CB91	C04	
C01-0780.c1	C01-0780	CB91	C02	
H01-0951.c1	H01-0951	CB91	D06	
A01-1066.c1	A01-1066	CB91	A02	
A01-1068.c1	A01-1068	CB91	A04	
A02-1355.c1	A02-1355	CB91	B01	
A01-1069.c1	A01-1069	CB91	A05	
T01-0379.c1	T01-0379	CB91	D01	
L01-0557.c1	L01-0557	CB92	A02	
D01-0552.c1	D01-0552	CB92	A04	
M04-0378.c1	M04-0378	CB92	A03	
A04-0566.c1	A04-0566	CB92	A01	
N03-0554.c1	N03-0554	CB97	A03	
D01-0562.c1	D01-0562	CB97	A01	
K01-0510.c1	K01-0510	CB97	A05	
L01-0604.c1	L01-0604	CB97	A06	
O01-0533.c1	O01-0533	CB97	A04	
M03-0476.c1	M03-0476	CB97	A02	
O01-0546.c1	O01-0546	CB103	A02	
K01-0513.c1	K01-0513	CB103	A06	
A04-0605.c1	A04-0605	CB103	A04	
R02-0513.c1	R02-0513	CB103	B02	
U01-0133.c1	U01-0133	CB103	B04	
J01-0509.c1	J01-0509	CB103	A05	
Q01-0586.c1	Q01-0586	CB103	A01	
M03-0496.c1	M03-0496	CB103	B01	
D01-0563.c1	D01-0563	CB103	B03	
L01-0619.c1	L01-0619	CB103	A03	
D01-0559.c1	D01-0559	CB106	C06	
Q01-0590.c1	Q01-0590	CB106	D04	
U01-0137.c1	U01-0137	CB106	D02	
K01-0509.c1	K01-0509	CB106	D05	
A01-1104.c1	A01-1104	CB106	A01	
E01-0679.c1	E01-0679	CB106	C03	
C01-0813.c1	C01-0813	CB106	B05	
C01-0812.c1	C01-0812	CB106	B04	
A01-1111.c1	A01-1111	CB106	B02	
C01-0815.c1	C01-0815	CB106	C01	
A01-1106.c1	A01-1106	CB106	A03	
A01-1109.c1	A01-1109	CB106	A06	
H01-0959.c1	H01-0959	CB106	D01	
A01-1108.c1	A01-1108	CB106	A05	
A01-1110.c1	A01-1110	CB106	B01	
A01-1105.c1	A01-1105	CB106	A02	
A01-1107.c1	A01-1107	CB106	A04	
E01-0678.c1	E01-0678	CB106	C02	
E01-0680.c1	E01-0680	CB106	C04	
D01-0556.c1	D01-0556	CB106	D06	
A04-0637.c1	A04-0637	CB106	C05	
C01-0811.c1	C01-0811	CB106	B03	
R02-0512.c1	R02-0512	CB106	D03	
C01-0814.c1	C01-0814	CB106	B06	
L01-0602.c1	L01-0602	CB107	A03	
T01-0384.c1	T01-0384	CB107	A02	
M04-0393.c1	M04-0393	CB107	A06	
O01-0547.c1	O01-0547	CB107	A04	
N02-0531.c1	N02-0531	CB107	B01	
J01-0510.c1	J01-0510	CB107	A01	
M03-0498.c1	M03-0498	CB107	A05	
L01-0605.c1	L01-0605	CB94	A02	
O01-0531.c1	O01-0531	CB94	A04	
M03-0480.c1	M03-0480	CB94	A03	
A04-0560.c1	A04-0560	CB94	A01	
U01-0131.c1	U01-0131	CB108	D01	
A01-1113.c1	A01-1113	CB108	A02	
A02-1380.c1	A02-1380	CB108	A04	
C01-0816.c1	C01-0816	CB108	A05	
C01-0818.c1	C01-0818	CB108	B01	
C01-0820.c1	C01-0820	CB108	B03	
K01-0512.c1	K01-0512	CB108	C05	
O01-0545.c1	O01-0545	CB108	C04	
G01-0607.c1	G01-0607	CB108	C02	
M03-0495.c1	M03-0495	CB108	B06	
P01-0170.c1	P01-0170	CB108	D03	
J01-0511.c1	J01-0511	CB108	D02	
Q01-0591.c1	Q01-0591	CB108	D04	
M04-0391.c1	M04-0391	CB108	C06	
R02-0514.c1	R02-0514	CB108	B04	
C01-0819.c1	C01-0819	CB108	B02	
A01-1112.c1	A01-1112	CB108	A01	
H01-0960.c1	H01-0960	CB108	B05	
L01-0620.c1	L01-0620	CB108	C03	
N02-0529.c1	N02-0529	CB108	C01	
A01-1114.c1	A01-1114	CB108	A03	
C01-817.c1	C01-817	CB108	A06	
A01-1091.c1	A01-1091	CB100	A06	
A01-1088.c1	A01-1088	CB100	A03	
E01-0670.c1	E01-0670	CB100	C01	
A04-0602.c1	A04-0602	CB100	C03	
C01-0800.c1	C01-0800	CB100	B05	
A01-1086.c1	A01-1086	CB100	A01	
C01-0799.c1	C01-0799	CB100	B04	
C01-0797.c1	C01-0797	CB100	B02	
J01-0507.c1	J01-0507	CB100	C06	
M04-0377.c1	M04-0377	CB100	D04	
M03-0494.c1	M03-0494	CB100	D02	
N02-0526.c1	N02-0526	CB100	D05	
L01-0614.c1	L01-0614	CB100	D03	
E01-0668.c1	E01-0668	CB100	B06	
E01-0669.c1	E01-0669	CB100	C02	
G01-0610.c1	G01-0610	CB100	C04	
N03-0553.c1	N03-0553	CB100	D06	
D01-0557.c1	D01-0557	CB100	C05	
C01-0798.c1	C01-0798	CB100	B03	
C01-0796.c1	C01-0796	CB100	B01	
A01-1090.c1	A01-1090	CB100	A05	
A01-1087.c1	A01-1087	CB100	A02	
A01-1089.c1	A01-1089	CB100	A04	
M04-0376.c1	M04-0376	CB100	D01	
A02-1366.c1	A02-1366	CB93	A06	
A01-1072.c1	A01-1072	CB93	A03	
E01-0659.c1	E01-0659	CB93	C01	
C01-0784.c1	C01-0784	CB93	B05	
E01-0661.c1	E01-0661	CB93	C03	
A01-1070.c1	A01-1070	CB93	A01	
C01-0783.c1	C01-0783	CB93	B04	
