concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
T01-0416.c1	T01-0416	CB208	A01	
G01-1001.c1	G01-1001	CB208	A02	
A04-0600.c1	A04-0600	CB208	A04	
H01-1014.c1	H01-1014	CB208	B03	
O01-0572.c1	O01-0572	CB208	C03	
N02-0578.c1	N02-0578	CB208	D03	
O01-0574.c1	O01-0574	CB208	A05	
U01-1004.c1	U01-1004	CB208	A03	
D01-1004.c1	D01-1004	CB208	C04	
D01-0610.c1	D01-0610	CB208	B04	
G01-0657.c1	G01-0657	CB208	B02	
U01-1002.c1	U01-1002	CB208	C02	
Q01-1006.c1	Q01-1006	CB208	C01	
J01-1007.c1	J01-1007	CB208	B01	
Q01-1007.c1	Q01-1007	CB208	D01	
U01-1003.c1	U01-1003	CB208	D02	
D01-1005.c1	D01-1005	CB208	D04	
F01-1002.c1	F01-1002	CB208	B05	
A01-1436.c1	A01-1436	CB206	B01	
A01-1437.c1	A01-1437	CB206	C01	
A01-1440.c1	A01-1440	CB206	B02	
A01-1441.c1	A01-1441	CB206	C02	
A01-1448.c1	A01-1448	CB206	B04	
A01-1449.c1	A01-1449	CB206	C04	
C01-1144.c1	C01-1144	CB206	D05	
A01-1443.c1	A01-1443	CB206	A03	
C01-1142.c1	C01-1142	CB206	B05	
C01-1143.c1	C01-1143	CB206	C05	
C01-1145.c1	C01-1145	CB206	A06	
A01-1450.c1	A01-1450	CB206	D04	
A01-1442.c1	A01-1442	CB206	D02	
A01-1438.c1	A01-1438	CB206	D01	
A01-1445.c1	A01-1445	CB206	C03	
A01-1444.c1	A01-1444	CB206	B03	
A01-1447.c1	A01-1447	CB206	A04	
C01-1148.c1	C01-1148	CB206	D06	
A01-1439.c1	A01-1439	CB206	A02	
A01-1431.c1	A01-1431	CB206	A01	
C01-1147.c1	C01-1147	CB206	C06	
C01-1146.c1	C01-1146	CB206	B06	
C01-1141.c1	C01-1141	CB206	A05	
A01-1446.c1	A01-1446	CB206	D03	
C01-1151.c1	C01-1151	CB207	C01	
C01-1150.c1	C01-1150	CB207	B01	
C01-1157.c1	C01-1157	CB207	C02	
C01-1156.c1	C01-1156	CB207	B02	
N02-0586.c1	N02-0586	CB207	B04	
L01-1002.c1	L01-1002	CB207	C04	
J01-1006.c1	J01-1006	CB207	D05	
M03-1003.c1	M03-1003	CB207	A03	
K01-0545.c1	K01-0545	CB207	B05	
K01-0549.c1	K01-0549	CB207	C05	
Q01-1005.c1	Q01-1005	CB207	A06	
J01-1005.c1	J01-1005	CB207	D04	
M04-0426.c1	M04-0426	CB207	D02	
C01-1152.c1	C01-1152	CB207	D01	
M04-0432.c1	M04-0432	CB207	C03	
M03-1004.c1	M03-1004	CB207	B03	
N02-0594.c1	N02-0594	CB207	A04	
T01-0417.c1	T01-0417	CB207	D06	
C01-1155.c1	C01-1155	CB207	A02	
C01-1149.c1	C01-1149	CB207	A01	
H01-1013.c1	H01-1013	CB207	C06	
H01-1012.c1	H01-1012	CB207	B06	
K01-0465.c1	K01-0465	CB207	A05	
O01-0573.c1	O01-0573	CB207	D03	
F01-1004.c1	F01-1004	CB210	D02	
M04-0429.c1	M04-0429	CB210	D01	
A04-0599.c1	A04-0599	CB210	A02	
O01-0579.c1	O01-0579	CB210	A01	
P01-1006.c1	P01-1006	CB210	B01	
A02-1295.c1	A02-1295	CB210	C01	
R02-1008.c1	R02-1008	CB210	B02	
F01-1003.c1	F01-1003	CB210	C02	
C01-1158.c1	C01-1158	CB209	D02	
A01-1454.c1	A01-1454	CB209	D01	
D01-1006.c1	D01-1006	CB209	D04	
H01-1015.c1	H01-1015	CB209	C05	
U01-0172.c1	U01-0172	CB209	B05	
R02-1006.c1	R02-1006	CB209	A06	
R02-1005.c1	R02-1005	CB209	D05	
K01-0453.c1	K01-0453	CB209	B04	
Q01-1008.c1	Q01-1008	CB209	C04	
C01-1159.c1	C01-1159	CB209	A03	
A01-1452.c1	A01-1452	CB209	B01	
A01-1453.c1	A01-1453	CB209	C01	
A01-1457.c1	A01-1457	CB209	C02	
A01-1456.c1	A01-1456	CB209	B02	
R02-1007.c1	R02-1007	CB209	B06	
N02-0581.c1	N02-0581	CB209	C06	
J01-1008.c1	J01-1008	CB209	A05	
C01-1162.c1	C01-1162	CB209	D03	
A01-1455.c1	A01-1455	CB209	A02	
A01-1451.c1	A01-1451	CB209	A01	
C01-1160.c1	C01-1160	CB209	B03	
C01-1161.c1	C01-1161	CB209	C03	
L01-1003.c1	L01-1003	CB209	D06	
T01-0422.c1	T01-0422	CB209	A04	
