Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/uL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-
A12,,,,,1,533.310668945313,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,10666.212890625,,,547.035888671875,519.733581542969,17224,5952,11272,,,,,,,,,8774.763671875,,,1.84345471257461,11.0364461455469,,,,,,,,,,,,10611.8314870199,5089.8129728167,6998.02559453855,,,,,540.294616699219,526.365295410156,,,,,,,,,,,,,No,0,0,0,0
B01,,,,,1,196.338195800781,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,3926.76391601563,,,204.308059692383,188.418518066406,16268,2351,13917,,,,,,,,,7179.8349609375,,,2.37842746671384,7.6872423632285,,,,,,,,,,,,8571.91846762349,5103.84322507222,5605.03851000202,,,,,200.398147583008,192.291320800781,,,,,,,,,,,,,No,0,0,0,0
B02,,,,,1,38.3649291992188,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,767.298583984375,,,41.4437789916992,35.2936019897461,19907,598,19309,,,,,,,,,8087.85400390625,,,2.65588841071252,15.9780665676941,,,,,,,,,,,,8812.1126198657,4914.62198730545,5031.70137637819,,,,,39.9348297119141,36.796989440918,,,,,,,,,,,,,No,0,0,0,0
B03,,,,,1,1.86432766914368,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,37.2865524291992,,,2.6976056098938,1.22358214855194,16880,25,16855,,,,,,,,,7847.87744140625,,,1.71751602739951,13.7633744180072,,,,,,,,,,,,8337.35919921875,4602.11119663235,4607.64325824756,,,,,2.26193594932556,1.51638352870941,,,,,,,,,,,,,No,0,0,0,0
B04,,,,,1,70.2883605957031,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,1405.76721191406,,,74.5805282592773,66.0107955932617,19026,1034,17992,,,,,,,,,7750.58984375,,,2.2834438049014,9.28064408510467,,,,,,,,,,,,8617.00344063558,4891.98087381013,5094.42349622669,,,,,72.4764175415039,68.1041107177734,,,,,,,,,,,,,No,0,0,0,0
B05,,,,,1,285.702209472656,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,5714.0439453125,,,295.195281982422,276.280242919922,17329,3521,13808,,,,,,,,,7127.9482421875,,,1.8993558785166,9.19906130675791,,,,,,,,,,,,8169.81843342845,4773.41493530981,5463.5145785019,,,,,290.536682128906,280.886260986328,,,,,,,,,,,,,No,0,0,0,0
B06,,,,,1,18.2890396118164,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,365.780792236328,,,20.6002597808838,15.9820594787598,16696,241,16455,,,,,,,,,8243.513671875,,,2.05428383236672,14.2400915331864,,,,,,,,,,,,8785.06164905342,4786.83950408963,4844.55222192242,,,,,19.4677028656006,17.1114807128906,,,,,,,,,,,,,No,0,0,0,0
B07,,,,,1,96.3760681152344,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,1927.52136230469,,,101.320518493652,91.4509811401367,19876,1466,18410,,,,,,,,,8010.0234375,,,2.47593617625359,14.7337304764893,,,,,,,,,,,,8698.15432185528,4728.16317537174,5020.97898442512,,,,,98.8963241577148,93.8608627319336,,,,,,,,,,,,,No,0,0,0,0
B08,,,,,1,741.654357910156,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,14833.0869140625,,,758.788635253906,724.750427246094,16859,7510,9349,,,,,,,,,7187.5,,,2.64292216248306,8.76275082713617,,,,,,,,,,,,8357.54172197487,4765.15448742951,6365.41714425587,,,,,750.3671875,733.001586914063,,,,,,,,,,,,,No,0,0,0,0
B09,,,,,1,332.615661621094,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,6652.3134765625,,,343.305328369141,322.016082763672,16238,3773,12465,,,,,,,,,7309.5517578125,,,1.8027662467718,10.4059628266131,,,,,,,,,,,,8352.00006548378,4847.84601759928,5662.05794164585,,,,,338.058227539063,327.196533203125,,,,,,,,,,,,,No,0,0,0,0
B10,,,,,1,49.3432464599609,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,986.864929199219,,,53.1602935791016,45.5377464294434,16741,644,16097,,,,,,,,,8347.2880859375,,,2.59302490814007,10.9455114571061,,,,,,,,,,,,9068.7570482337,4880.39689864207,5041.51654121641,,,,,51.2892723083496,47.4002265930176,,,,,,,,,,,,,No,0,0,0,0
B11,,,,,1,0.668826282024384,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,13.3765258789063,,,1.17830920219421,0.332964181900024,18812,10,18802,,,,,,,,,8243.513671875,,,1.29195434709343,21.8978044241771,,,,,,,,,,,,8733.6328125,5053.30214663001,5055.2585205753,,,,,0.904003262519836,0.478509038686752,,,,,,,,,,,,,No,0,0,0,0
