run_id	sample_id	assay_id	extract_id	plate_id	plate_cell	assay_input_ml	assay_type	accepted_droplets	target	target_category	target_genetic_locus	target_macromolecule	target_fluorophore	target_calculated_copies_per_reaction	target_copies_per_reaction	target_result	notes
A02-0416.a3	A02-0416	3	A02-0416.e1	AP57	G03	0.005	Direct Quantification	12627	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
A02-0417.a1	A02-0417	1	A02-0417.e1	AP57	G04	0.005	Direct Quantification	15417	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0417.a2	A02-0417	2	A02-0417.e1	AP57	G04	0.005	Direct Quantification	15417	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0417.a3	A02-0417	3	A02-0417.e1	AP57	G04	0.005	Direct Quantification	15417	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
A02-0418.a1	A02-0418	1	A02-0418.e1	AP58	E05	0.005	Direct Quantification	12906	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	10.94136834	19489.31236	
A02-0418.a2	A02-0418	2	A02-0418.e1	AP58	E05	0.005	Direct Quantification	12906	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	3.646557629	6495.430777	
A02-0418.a3	A02-0418	3	A02-0418.e1	AP58	E05	0.005	Direct Quantification	12906	Human	Internal Control	RNase P	RNA	HEX	0	7.29368031	12991.86805	
A02-0419.a1	A02-0419	1	A02-0419.e1	AP58	F01	0.005	Direct Quantification	13408	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0419.a2	A02-0419	2	A02-0419.e1	AP58	F01	0.005	Direct Quantification	13408	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	1.754944026	3125.994047	
A02-0419.a3	A02-0419	3	A02-0419.e1	AP58	F01	0.005	Direct Quantification	13408	Human	Internal Control	RNase P	RNA	HEX	0	19.31158662	34398.76366	
A02-0420.a1	A02-0420	1	A02-0420.e1	AP58	E04	0.005	Direct Quantification	13274	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	5.318382978	9473.36968	
A02-0420.a2	A02-0420	2	A02-0420.e1	AP58	E04	0.005	Direct Quantification	13274	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	1.772660762	3157.551982	
A02-0420.a3	A02-0420	3	A02-0420.e1	AP58	E04	0.005	Direct Quantification	13274	Human	Internal Control	RNase P	RNA	HEX	0	5.318382978	9473.36968	
A02-0421.a1	A02-0421	1	A02-0421.e1	AP58	F02	0.005	Direct Quantification	7092	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0421.a2	A02-0421	2	A02-0421.e1	AP58	F02	0.005	Direct Quantification	7092	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0421.a2.a1	A02-0421.a2	1	A02-0421.e1	AP59	G04	0.005	Direct Quantification	2405	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0421.a2.a2	A02-0421.a2	2	A02-0421.e1	AP59	G04	0.005	Direct Quantification	2405	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0421.a2.a3	A02-0421.a2	3	A02-0421.e1	AP59	G04	0.005	Direct Quantification	2405	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
A02-0421.a3	A02-0421	3	A02-0421.e1	AP58	F02	0.005	Direct Quantification	7092	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
A02-0422.a1	A02-0422	1	A02-0422.e1	AP58	E08	0.005	Direct Quantification	13689	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0422.a2	A02-0422	2	A02-0422.e1	AP58	E08	0.005	Direct Quantification	13689	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0422.a3	A02-0422	3	A02-0422.e1	AP58	E08	0.005	Direct Quantification	13689	Human	Internal Control	RNase P	RNA	HEX	0	25.79696655	45950.84667	
A02-0423.a1	A02-0423	1	A02-0423.e1	AP59	C04	0.005	Direct Quantification	13562	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0423.a2	A02-0423	2	A02-0423.e1	AP59	C04	0.005	Direct Quantification	13562	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0423.a3	A02-0423	3	A02-0423.e1	AP59	C04	0.005	Direct Quantification	13562	Human	Internal Control	RNase P	RNA	HEX	0	19.09220934	34007.99789	
A02-0424.a1	A02-0424	1	A02-0424.e1	AP58	E07	0.005	Direct Quantification	13649	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0424.a2	A02-0424	2	A02-0424.e1	AP58	E07	0.005	Direct Quantification	13649	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0424.a3	A02-0424	3	A02-0424.e1	AP58	E07	0.005	Direct Quantification	13649	Human	Internal Control	RNase P	RNA	HEX	0	5.172246695	9213.064425	
A02-0425.a1	A02-0425	1	A02-0425.e1	AP59	C05	0.005	Direct Quantification	8336	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0425.a2	A02-0425	2	A02-0425.e1	AP59	C05	0.005	Direct Quantification	8336	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0425.a2.a1	A02-0425.a2	1	A02-0425.e1	AP60	B08	0.005	Direct Quantification	5820	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0425.a2.a2	A02-0425.a2	2	A02-0425.e1	AP60	B08	0.005	Direct Quantification	5820	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0425.a2.a3	A02-0425.a2	3	A02-0425.e1	AP60	B08	0.005	Direct Quantification	5820	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
A02-0425.a3	A02-0425	3	A02-0425.e1	AP59	C05	0.005	Direct Quantification	8336	Human	Internal Control	RNase P	RNA	HEX	0	5.645929575	10056.81206	
A02-0426.a1	A02-0426	1	A02-0426.e1	AP59	C06	0.005	Direct Quantification	12800	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0426.a2	A02-0426	2	A02-0426.e1	AP59	C06	0.005	Direct Quantification	12800	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0426.a3	A02-0426	3	A02-0426.e1	AP59	C06	0.005	Direct Quantification	12800	Human	Internal Control	RNase P	RNA	HEX	0	11.0319972	19650.74502	
A02-0427.a1	A02-0427	1	A02-0427.e1	AP59	C03	0.005	Direct Quantification	14966	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	1.572243571	2800.558861	
A02-0427.a2	A02-0427	2	A02-0427.e1	AP59	C03	0.005	Direct Quantification	14966	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0427.a3	A02-0427	3	A02-0427.e1	AP59	C03	0.005	Direct Quantification	14966	Human	Internal Control	RNase P	RNA	HEX	0	12.58089185	22409.7136	
A02-0428.a1	A02-0428	1	A02-0428.e1	AP63	D03	0.005	Direct Quantification	7934	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0428.a2	A02-0428	2	A02-0428.e1	AP63	D03	0.005	Direct Quantification	7934	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0428.a2.a1	A02-0428.a2	1	A02-0428.e1	AP64	G01	0.005	Direct Quantification	3248	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0428.a2.a2	A02-0428.a2	2	A02-0428.e1	AP64	G01	0.005	Direct Quantification	3248	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0428.a2.a3	A02-0428.a2	3	A02-0428.e1	AP64	G01	0.005	Direct Quantification	3248	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
A02-0429.a1	A02-0429	1	A02-0429.e1	AP61	D01	0.005	Direct Quantification	13714	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0429.a2	A02-0429	2	A02-0429.e1	AP61	D01	0.005	Direct Quantification	13714	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0430.a1	A02-0430	1	A02-0430.e1	AP63	D01	0.005	Direct Quantification	15980	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	8.836231828	15739.53794	
A02-0430.a2	A02-0430	2	A02-0430.e1	AP63	D01	0.005	Direct Quantification	15980	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	2.945041955	5245.855981	
A02-0431.a1	A02-0431	1	A02-0431.e1	AP63	C08	0.005	Direct Quantification	17130	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	67.401824	120059.499	
A02-0431.a2	A02-0431	2	A02-0431.e1	AP63	C08	0.005	Direct Quantification	17130	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	56.3842535	100434.4516	
A02-0432.a1	A02-0432	1	A02-0432.e1	AP61	D02	0.005	Direct Quantification	14237	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0432.a2	A02-0432	2	A02-0432.e1	AP61	D02	0.005	Direct Quantification	14237	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	1.652752608	2943.965583	
A02-0433.a1	A02-0433	1	A02-0433.e1	AP63	D04	0.005	Direct Quantification	16138	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	1.458058059	2597.165918	
A02-0433.a2	A02-0433	2	A02-0433.e1	AP63	D04	0.005	Direct Quantification	16138	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	1.458058059	2597.165918	
A02-0434.a1	A02-0434	1	A02-0434.e1	AP63	D05	0.005	Direct Quantification	14343	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0434.a2	A02-0434	2	A02-0434.e1	AP63	D05	0.005	Direct Quantification	14343	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0435.a1	A02-0435	1	A02-0435.e1	AP63	D02	0.005	Direct Quantification	13256	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0435.a2	A02-0435	2	A02-0435.e1	AP63	D02	0.005	Direct Quantification	13256	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0436.a1	A02-0436	1	A02-0436.e1	AP61	D03	0.005	Direct Quantification	15638	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0436.a2	A02-0436	2	A02-0436.e1	AP61	D03	0.005	Direct Quantification	15638	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0437.a1	A02-0437	1	A02-0437.e1	AP61	D04	0.005	Direct Quantification	15767	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0437.a2	A02-0437	2	A02-0437.e1	AP61	D04	0.005	Direct Quantification	15767	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0439.a1	A02-0439	1	A02-0439.e1	AP63	C05	0.005	Direct Quantification	15709	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0439.a2	A02-0439	2	A02-0439.e1	AP63	C05	0.005	Direct Quantification	15709	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0440.a1	A02-0440	1	A02-0440.e1	AP63	C06	0.005	Direct Quantification	10445	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0440.a2	A02-0440	2	A02-0440.e1	AP63	C06	0.005	Direct Quantification	10445	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0441.a1	A02-0441	1	A02-0441.e1	AP63	C07	0.005	Direct Quantification	16071	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	7.32159555	13041.59207	
A02-0441.a2	A02-0441	2	A02-0441.e1	AP63	C07	0.005	Direct Quantification	16071	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	2.928364873	5216.14993	
A02-0442.a1	A02-0442	1	A02-0442.e1	AP64	A01	0.005	Direct Quantification	16782	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	270.7477379	482269.4081	
A02-0442.a2	A02-0442	2	A02-0442.e1	AP64	A01	0.005	Direct Quantification	16782	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	267.9113197	477217.0383	
A02-0442.a3	A02-0442	3	A02-0442.e1	AP64	A01	0.005	Direct Quantification	16782	Human	Internal Control	RNase P	RNA	HEX	0	14.02480245	24981.67936	
A02-0443.a1	A02-0443	1	A02-0443.e1	AP64	A08	0.005	Direct Quantification	18100	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0443.a2	A02-0443	2	A02-0443.e1	AP64	A08	0.005	Direct Quantification	18100	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0443.a3	A02-0443	3	A02-0443.e1	AP64	A08	0.005	Direct Quantification	18100	Human	Internal Control	RNase P	RNA	HEX	0	5.20044446	9263.291694	
A02-0444.a1	A02-0444	1	A02-0444.e1	AP64	A03	0.005	Direct Quantification	5535	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0444.a2	A02-0444	2	A02-0444.e1	AP64	A03	0.005	Direct Quantification	5535	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0444.a2.a1	A02-0444.a2	1	A02-0444.e1	AP65	D01	0.005	Direct Quantification	5430	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0444.a2.a2	A02-0444.a2	2	A02-0444.e1	AP65	D01	0.005	Direct Quantification	5430	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0444.a2.a3	A02-0444.a2	3	A02-0444.e1	AP65	D01	0.005	Direct Quantification	5430	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
A02-0444.a3	A02-0444	3	A02-0444.e1	AP64	A03	0.005	Direct Quantification	5535	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
A02-0445.a1	A02-0445	1	A02-0445.e1	AP64	B01	0.005	Direct Quantification	9604	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0445.a2	A02-0445	2	A02-0445.e1	AP64	B01	0.005	Direct Quantification	9604	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0445.a2.a1	A02-0445.a2	1	A02-0445.e1	AP65	D02	0.005	Direct Quantification	2101	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0445.a2.a2	A02-0445.a2	2	A02-0445.e1	AP65	D02	0.005	Direct Quantification	2101	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0445.a2.a3	A02-0445.a2	3	A02-0445.e1	AP65	D02	0.005	Direct Quantification	2101	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
A02-0445.a3	A02-0445	3	A02-0445.e1	AP64	B01	0.005	Direct Quantification	9604	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
A02-0446.a1	A02-0446	1	A02-0446.e1	AP64	A02	0.005	Direct Quantification	14387	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	4.906901717	8740.418684	
A02-0446.a2	A02-0446	2	A02-0446.e1	AP64	A02	0.005	Direct Quantification	14387	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	1.63552016	2913.270285	
A02-0446.a3	A02-0446	3	A02-0446.e1	AP64	A02	0.005	Direct Quantification	14387	Human	Internal Control	RNase P	RNA	HEX	0	1.63552016	2913.270285	
A02-0447.a1	A02-0447	1	A02-0447.e1	AP64	D06	0.005	Direct Quantification	13705	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	42.96041012	76523.23052	
A02-0447.a2	A02-0447	2	A02-0447.e1	AP64	D06	0.005	Direct Quantification	13705	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	46.40063763	82651.13577	
A02-0447.a3	A02-0447	3	A02-0447.e1	AP64	D06	0.005	Direct Quantification	13705	Human	Internal Control	RNase P	RNA	HEX	0	20.61120987	36713.71758	
A02-0448.a1	A02-0448	1	A02-0448.e1	AP64	D07	0.005	Direct Quantification	14955	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	1.573400199	2802.619105	
A02-0448.a2	A02-0448	2	A02-0448.e1	AP64	D07	0.005	Direct Quantification	14955	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0448.a3	A02-0448	3	A02-0448.e1	AP64	D07	0.005	Direct Quantification	14955	Human	Internal Control	RNase P	RNA	HEX	0	14.16439056	25230.32069	
A02-0449.a1	A02-0449	1	A02-0449.e1	AP64	E04	0.005	Direct Quantification	14629	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0449.a2	A02-0449	2	A02-0449.e1	AP64	E04	0.005	Direct Quantification	14629	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0449.a3	A02-0449	3	A02-0449.e1	AP64	E04	0.005	Direct Quantification	14629	Human	Internal Control	RNase P	RNA	HEX	0	17.69915104	31526.61279	
A02-0450.a1	A02-0450	1	A02-0450.e1	AP64	D08	0.005	Direct Quantification	14097	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	88.62941742	157871.1498	
A02-0450.a2	A02-0450	2	A02-0450.e1	AP64	D08	0.005	Direct Quantification	14097	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	65.18541336	116111.5175	
A02-0450.a3	A02-0450	3	A02-0450.e1	AP64	D08	0.005	Direct Quantification	14097	Human	Internal Control	RNase P	RNA	HEX	0	5.007855892	8920.243308	
A02-0451.a1	A02-0451	1	A02-0451.e1	AP64	D05	0.005	Direct Quantification	14395	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0451.a2	A02-0451	2	A02-0451.e1	AP64	D05	0.005	Direct Quantification	14395	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0451.a3	A02-0451	3	A02-0451.e1	AP64	D05	0.005	Direct Quantification	14395	Human	Internal Control	RNase P	RNA	HEX	0	16.35122538	29125.6202	
A02-0452.a1	A02-0452	1	A02-0452.e1	AP66	A02	0.005	Direct Quantification	16649	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	5.653730035	10070.70662	
A02-0452.a2	A02-0452	2	A02-0452.e1	AP66	A02	0.005	Direct Quantification	16649	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	4.240170121	7552.803028	
A02-0452.a3	A02-0452	3	A02-0452.e1	AP66	A02	0.005	Direct Quantification	16649	Human	Internal Control	RNase P	RNA	HEX	0	7.067374587	12588.76098	
A02-0453.a1	A02-0453	1	A02-0453.e1	AP69	A03	0.005	Direct Quantification	17854	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	1.317915916	2347.537726	
A02-0453.a2	A02-0453	2	A02-0453.e1	AP69	A03	0.005	Direct Quantification	17854	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0453.a3	A02-0453	3	A02-0453.e1	AP69	A03	0.005	Direct Quantification	17854	Human	Internal Control	RNase P	RNA	HEX	0	5.272106528	9390.939754	
A02-0454.a1	A02-0454	1	A02-0454.e1	AP66	A03	0.005	Direct Quantification	7469	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0454.a2	A02-0454	2	A02-0454.e1	AP66	A03	0.005	Direct Quantification	7469	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0454.a2.a1	A02-0454.a2	1	A02-0454.e1	AP68	G01	0.005	Direct Quantification	9844	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	45.45823097	80972.47392	
A02-0454.a2.a2	A02-0454.a2	2	A02-0454.e1	AP68	G01	0.005	Direct Quantification	9844	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	9.562857747	17033.84036	
A02-0454.a2.a3	A02-0454.a2	3	A02-0454.e1	AP68	G01	0.005	Direct Quantification	9844	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
A02-0454.a3	A02-0454	3	A02-0454.e1	AP66	A03	0.005	Direct Quantification	7469	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
A02-0455.a1	A02-0455	1	A02-0455.e1	AP66	A04	0.005	Direct Quantification	16051	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	63.11895847	112430.6448	
A02-0455.a2	A02-0455	2	A02-0455.e1	AP66	A04	0.005	Direct Quantification	16051	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	60.17943382	107194.6165	
A02-0455.a3	A02-0455	3	A02-0455.e1	AP66	A04	0.005	Direct Quantification	16051	Human	Internal Control	RNase P	RNA	HEX	0	24.93377209	44413.28153	
A02-0456.a1	A02-0456	1	A02-0456.e1	AP66	A05	0.005	Direct Quantification	7672	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0456.a2	A02-0456	2	A02-0456.e1	AP66	A05	0.005	Direct Quantification	7672	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0456.a2.a1	A02-0456.a2	1	A02-0456.e1	AP68	G02	0.005	Direct Quantification	5217	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0456.a2.a2	A02-0456.a2	2	A02-0456.e1	AP68	G02	0.005	Direct Quantification	5217	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0456.a2.a3	A02-0456.a2	3	A02-0456.e1	AP68	G02	0.005	Direct Quantification	5217	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
A02-0456.a3	A02-0456	3	A02-0456.e1	AP66	A05	0.005	Direct Quantification	7672	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
A02-0457.a1	A02-0457	1	A02-0457.e1	AP66	D08	0.005	Direct Quantification	14634	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0457.a2	A02-0457	2	A02-0457.e1	AP66	D08	0.005	Direct Quantification	14634	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0457.a3	A02-0457	3	A02-0457.e1	AP66	D08	0.005	Direct Quantification	14634	Human	Internal Control	RNase P	RNA	HEX	0	8.040670156	14322.44372	
A02-0459.a1	A02-0459	1	A02-0459.e1	AP70	A04	0.005	Direct Quantification	16264	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	36.19576216	64473.70134	
A02-0459.a2	A02-0459	2	A02-0459.e1	AP70	A04	0.005	Direct Quantification	16264	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	36.19576216	64473.70134	
A02-0459.a3	A02-0459	3	A02-0459.e1	AP70	A04	0.005	Direct Quantification	16264	Human	Internal Control	RNase P	RNA	HEX	0	2.893612683	5154.247591	
A02-0460.a1	A02-0460	1	A02-0460.e1	AP69	A04	0.005	Direct Quantification	16976	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	2.772243023	4938.057885	
A02-0460.a2	A02-0460	2	A02-0460.e1	AP69	A04	0.005	Direct Quantification	16976	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	1.386080682	2468.956215	
A02-0460.a3	A02-0460	3	A02-0460.e1	AP69	A04	0.005	Direct Quantification	16976	Human	Internal Control	RNase P	RNA	HEX	0	8.317708969	14815.9191	
A02-0461.a1	A02-0461	1	A02-0461.e1	AP66	E01	0.005	Direct Quantification	13814	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0461.a2	A02-0461	2	A02-0461.e1	AP66	E01	0.005	Direct Quantification	13814	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0461.a2.a1	A02-0461.a2	1	A02-0461.e1	AP68	G04	0.005	Direct Quantification	8672	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	13.57022405	24171.96158	
A02-0461.a2.a2	A02-0461.a2	2	A02-0461.e1	AP68	G04	0.005	Direct Quantification	8672	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	21.71611786	38681.83494	
A02-0461.a2.a3	A02-0461.a2	3	A02-0461.e1	AP68	G04	0.005	Direct Quantification	8672	Human	Internal Control	RNase P	RNA	HEX	0	19.0005064	33844.65203	
A02-0461.a3	A02-0461	3	A02-0461.e1	AP66	E01	0.005	Direct Quantification	13814	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
A02-0462.a1	A02-0462	1	A02-0462.e1	AP69	A02	0.005	Direct Quantification	16961	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0462.a2	A02-0462	2	A02-0462.e1	AP69	A02	0.005	Direct Quantification	16961	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0462.a3	A02-0462	3	A02-0462.e1	AP69	A02	0.005	Direct Quantification	16961	Human	Internal Control	RNase P	RNA	HEX	0	9.712863564	17301.03822	
A02-0463.a1	A02-0463	1	A02-0463.e1	AP70	A03	0.005	Direct Quantification	16080	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0463.a2	A02-0463	2	A02-0463.e1	AP70	A03	0.005	Direct Quantification	16080	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0463.a3	A02-0463	3	A02-0463.e1	AP70	A03	0.005	Direct Quantification	16080	Human	Internal Control	RNase P	RNA	HEX	0	5.853815675	10427.10917	
A02-0464.a1	A02-0464	1	A02-0464.e1	AP70	B04	0.005	Direct Quantification	17448	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	17.53761768	31238.8815	
A02-0464.a2	A02-0464	2	A02-0464.e1	AP70	B04	0.005	Direct Quantification	17448	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	20.23687363	36046.93115	
A02-0464.a3	A02-0464	3	A02-0464.e1	AP70	B04	0.005	Direct Quantification	17448	Human	Internal Control	RNase P	RNA	HEX	0	8.092660904	14415.05224	
A02-0465.a1	A02-0465	1	A02-0465.e1	AP70	C01	0.005	Direct Quantification	18567	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0465.a2	A02-0465	2	A02-0465.e1	AP70	C01	0.005	Direct Quantification	18567	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	2.534677684	4514.894625	
A02-0465.a3	A02-0465	3	A02-0465.e1	AP70	C01	0.005	Direct Quantification	18567	Human	Internal Control	RNase P	RNA	HEX	0	6.337205768	11288.14777	
A02-0466.a1	A02-0466	1	A02-0466.e1	AP70	A06	0.005	Direct Quantification	10727	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
A02-0466.a2	A02-0466	2	A02-0466.e1	AP70	A06	0.005	Direct Quantification	10727	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A02-0466.a2.a1	A02-0466.a2	1	A02-0466.e1	AP71	C04	0.005	Direct Quantification	8683	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	2.709981203	4827.154018	
A02-0466.a2.a2	A02-0466.a2	2	A02-0466.e1	AP71	C04	0.005	Direct Quantification	8683	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	2.709981203	4827.154018	
A02-0466.a2.a3	A02-0466.a2	3	A02-0466.e1	AP71	C04	0.005	Direct Quantification	8683	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
A02-0466.a3	A02-0466	3	A02-0466.e1	AP70	A06	0.005	Direct Quantification	10727	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
A02-0467.a1	A02-0467	1	A02-0467.e1	AP70	B05	0.005	Direct Quantification	17505	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	6.72172904	11973.07985	
