extraction_plate_id	extraction_date	extraction_input_ml	extraction_output_ml	extraction_method	extraction_method_lot_id	extraction_machine	extraction_plate_comment	extraction_run_by
EP96	3/15/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	Kookaburra		AJ
EP98	3/16/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	Kookaburra		AJ
EP100	3/21/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	Halcyon		AJ
EP102	3/23/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	Halcyon		AJ
EP104	3/25/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	Kookaburra		AJ
EP106	3/29/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	Halcyon		AJ
EP108	3/30/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	Halcyon		AJ
EP110	3/31/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	Kookaburra		AJ
EP109	4/1/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	Kookaburra		AJ
EP111	4/4/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2120258	Kookaburra		AJ
EP112	4/5/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	Kookaburra		JL
EP114	4/6/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	Kookaburra		AJ
EP116	4/8/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	Halcyon		AJ
EP117	4/12/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	Kookaburra		AJ
EP119	4/13/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	Kookaburra		AJ
EP118	4/14/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP121	4/18/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP122	4/19/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP124	4/20/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP125	4/21/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP126	4/22/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP127	4/25/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP128	4/26/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP130	4/27/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP131	4/28/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP132	4/29/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP133	5/3/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP135	5/4/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP136	5/4/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP137	5/5/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP138	5/6/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP140	5/11/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP141	5/11/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP143	5/13/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP144	5/17/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP146	5/18/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP148	5/19/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP149	5/20/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP150	5/23/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP152	5/25/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP153	5/25/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP155	5/27/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP156	5/31/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP158	6/1/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP160	6/2/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP161	6/3/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP163	6/8/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP164	6/8/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP166	6/10/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP168	6/14/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP170	6/17/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP173	6/22/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP175	6/24/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP178	6/29/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP179	6/30/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP181	7/6/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP182	7/7/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Kookaburra		AJ
EP184	7/8/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
EP187	7/13/22	0.4	0.075	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	Halcyon		AJ
